"","Parameter","MeltR.method","MeltWin.method","Error"
"1","dH",1,1,1.72563979933256
"2","dS",1,1,2.06262080766957
"3","dG",1,1,2.32604152936827
"4","Tm",1,1,1.97099518767843
"5","dH",1,2,3.56048235491866
"6","dS",1,2,4.05669767846456
"7","dG",1,2,2.73837690076713
"8","Tm",1,2,2.05616257754649
"9","dH",2,1,3.33789150461454
"10","dS",2,1,3.77834257790146
"11","dG",2,1,2.04147656567949
"12","Tm",2,1,2.00617084983567
"13","dH",2,2,2.5240166654154
"14","dS",2,2,2.89372294232127
"15","dG",2,2,2.2771222372579
"16","Tm",2,2,2.06814240714123
"17","dH",3,1,1.3902844344341
"18","dS",3,1,1.50540035212621
"19","dG",3,1,2.61637544452397
"20","Tm",3,1,1.79872407884291
"21","dH",3,2,3.53663864650427
"22","dS",3,2,3.88425615420415
"23","dG",3,2,2.99109066827628
"24","Tm",3,2,1.88389405164989
