"","Parameter","MeltR.method","MeltWin.method","Error"
"1","dH",1,1,2.68308737711286
"2","dS",1,1,3.16511845862358
"3","dG",1,1,2.44388679605201
"4","Tm",1,1,2.11522480833916
"5","dH",1,2,4.33747792371219
"6","dS",1,2,4.96195215515336
"7","dG",1,2,2.79598739617092
"8","Tm",1,2,2.20486456994697
"9","dH",2,1,3.6517820526054
"10","dS",2,1,4.18584393098579
"11","dG",2,1,1.95768834593319
"12","Tm",2,1,2.11093350824189
"13","dH",2,2,2.80892902569003
"14","dS",2,2,3.25065587987463
"15","dG",2,2,2.18630842960596
"16","Tm",2,2,2.17488438798912
"17","dH",3,1,2.02900788039201
"18","dS",3,1,2.2708772995191
"19","dG",3,1,2.49659808497883
"20","Tm",3,1,1.95491469707471
"21","dH",3,2,3.95177715813093
"22","dS",3,2,4.44960355362701
"23","dG",3,2,2.79819399831468
"24","Tm",3,2,2.04455717247027
