"Sample","Ct","dH","dS","dG","Tm"
"190",0.000322,-75.68,-202.46,-12.89,73.34
"191",6.32e-05,-76.5,-203.65,-13.34,70.1
"192",1.21e-05,-74.78,-198.16,-13.32,65.71
"194",0.000189,-78.37,-209.83,-13.29,72.31
"195",3.68e-05,-76.7,-203.9,-13.46,68.99
"196",7.68e-06,-78.6,-210.14,-13.42,63.4
"198",0.000108,-77.95,-208.25,-13.36,71.15
"199",2.16e-05,-78.04,-208.08,-13.5,67
"200",6.34e-06,-56.67,-145.36,-11.58,61.86
"202",6.51e-05,-71.99,-191.42,-12.62,68.72
"203",1.5e-05,-66.9,-175.73,-12.39,65.05
