Sample,Pathlength,Temperature,Absorbance
js7008_CPEB3-Cell 02.o3a,1,40.2,0.213684082
js7008_CPEB3-Cell 02.o3a,1,40.69,0.214538574
js7008_CPEB3-Cell 02.o3a,1,41.21,0.214233398
js7008_CPEB3-Cell 02.o3a,1,41.7,0.213806152
js7008_CPEB3-Cell 02.o3a,1,42.2,0.213943481
js7008_CPEB3-Cell 02.o3a,1,42.72,0.213943481
js7008_CPEB3-Cell 02.o3a,1,43.21,0.215194702
js7008_CPEB3-Cell 02.o3a,1,43.72,0.214492798
js7008_CPEB3-Cell 02.o3a,1,44.23,0.214645386
js7008_CPEB3-Cell 02.o3a,1,44.71,0.213516235
js7008_CPEB3-Cell 02.o3a,1,45.23,0.214324951
js7008_CPEB3-Cell 02.o3a,1,45.72,0.214691162
js7008_CPEB3-Cell 02.o3a,1,46.23,0.214599609
js7008_CPEB3-Cell 02.o3a,1,46.73,0.214096069
js7008_CPEB3-Cell 02.o3a,1,47.23,0.214263916
js7008_CPEB3-Cell 02.o3a,1,47.74,0.214523315
js7008_CPEB3-Cell 02.o3a,1,48.23,0.21472168
js7008_CPEB3-Cell 02.o3a,1,48.73,0.214431763
js7008_CPEB3-Cell 02.o3a,1,49.24,0.214752197
js7008_CPEB3-Cell 02.o3a,1,49.74,0.215438843
js7008_CPEB3-Cell 02.o3a,1,50.25,0.214813232
js7008_CPEB3-Cell 02.o3a,1,50.73,0.215591431
js7008_CPEB3-Cell 02.o3a,1,51.24,0.215438843
js7008_CPEB3-Cell 02.o3a,1,51.74,0.214813232
js7008_CPEB3-Cell 02.o3a,1,52.25,0.215194702
js7008_CPEB3-Cell 02.o3a,1,52.76,0.215270996
js7008_CPEB3-Cell 02.o3a,1,53.25,0.215393066
js7008_CPEB3-Cell 02.o3a,1,53.74,0.215042114
js7008_CPEB3-Cell 02.o3a,1,54.23,0.21546936
js7008_CPEB3-Cell 02.o3a,1,54.77,0.215362549
js7008_CPEB3-Cell 02.o3a,1,55.24,0.215820313
js7008_CPEB3-Cell 02.o3a,1,55.75,0.215606689
js7008_CPEB3-Cell 02.o3a,1,56.25,0.216644287
js7008_CPEB3-Cell 02.o3a,1,56.76,0.215621948
js7008_CPEB3-Cell 02.o3a,1,57.25,0.215988159
js7008_CPEB3-Cell 02.o3a,1,57.75,0.216369629
js7008_CPEB3-Cell 02.o3a,1,58.26,0.217086792
js7008_CPEB3-Cell 02.o3a,1,58.77,0.216644287
js7008_CPEB3-Cell 02.o3a,1,59.25,0.216781616
js7008_CPEB3-Cell 02.o3a,1,59.76,0.2162323
