"MeltR H1","MeltR H2","MeltR H3","MeltWin H1","MeltWin H2","MeltR S1","MeltR S2","MeltR S3","MeltWin S1","MeltWin S2","MeltR G1","MeltR G2","MeltR G3","MeltWin G1","MeltWin G2","MeltR Tm1","MeltR Tm2","MeltR Tm3","MeltWin Tm1","MeltWin Tm2"
"-56.29 (-58.62 to -54.09)","-58.51 (-60.6 to -56.34)","-56.55 (-59.83 to -53.64)","-54.1 (4)","-53.8 (2.9)","-159.37 (-166.82 to -152.47)","-166.4 (-172.99 to -159.47)","-160.03 (-170.58 to -151)","-151.5 (12.4)","-150.5 (9.1)","-6.87 (-6.92 to -6.8)","-6.9 (-6.95 to -6.87)","-6.92 (-7.07 to -6.78)","-7.11 (0.2)","-7.12 (0.06)","43.69 (43.44 to 44.06)","43.64 (43.43 to 43.9)","43.96 (43.2 to 44.57)","45.4","45.6"
"-60.24 (-60.9 to -59.4)","-59.81 (-60.59 to -59.11)","-59.81 (-61.28 to -58.85)","-60.4 (2)","-59.8 (1)","-172.67 (-174.72 to -170.02)","-171.28 (-173.8 to -169.06)","-171.26 (-175.82 to -168.22)","-173.6 (6.4)","-171.9 (3.3)","-6.69 (-6.71 to -6.66)","-6.69 (-6.7 to -6.67)","-6.7 (-6.75 to -6.66)","-6.52 (0.05)","-6.52 (0.01)","42.3 (42.16 to 42.38)","42.33 (42.23 to 42.41)","42.38 (42.28 to 42.52)","41.4","41.4"
"-68.63 (-70.08 to -67.3)","-67.92 (-70.05 to -66.03)","-67.96 (-70.05 to -66.27)","-67.02 (3.025)","-65.85 (1.448)","-188.66 (-193.14 to -184.46)","-186.45 (-193 to -180.69)","-186.53 (-192.96 to -181.29)","-184.51 (9.497)","-180.82 (4.495)","-10.12 (-10.19 to -10.06)","-10.09 (-10.19 to -9.99)","-10.11 (-10.21 to -10.01)","-9.8 (0.087)","-9.77 (0.055)","54.13 (53.88 to 54.44)","54.14 (53.93 to 54.36)","54.22 (53.94 to 54.6)","52.9","53"
"-55.71 (-56.58 to -54.93)","-55.81 (-56.89 to -54.72)","-56.81 (-58.02 to -55.85)","-55.6 (1.3)","-52 (3.8)","-153.82 (-156.54 to -151.35)","-154.15 (-157.51 to -150.75)","-157.11 (-160.73 to -154.06)","-153.9 (4.3)","-142.6 (11.9)","-8.01 (-8.04 to -7.98)","-8 (-8.05 to -7.96)","-8.09 (-8.16 to -8)","-7.85 (0.17)","-7.72 (0.16)","50.55 (50.44 to 50.65)","50.48 (50.35 to 50.61)","50.73 (50.31 to 51)","49.6","49.7"
"-51.75 (-53.3 to -49.96)","-47.46 (-49.63 to -46.02)","-51.96 (-54.18 to -50.39)","-51.06 (3.567)","-48.17 (1.779)","-143.18 (-148.19 to -137.46)","-129.54 (-136.55 to -124.89)","-143.72 (-150.77 to -138.69)","-141.39 (11.476)","-132.17 (5.73)","-7.34 (-7.4 to -7.27)","-7.28 (-7.33 to -7.23)","-7.38 (-7.45 to -7.3)","-7.21 (0.087)","-7.18 (0.024)","41.94 (41.49 to 42.35)","42.01 (41.54 to 42.43)","42.15 (41.72 to 42.43)","41.2","41.2"
"-64.1 (-65.11 to -63.18)","-64.18 (-65.28 to -63.11)","-63.31 (-64.04 to -62.74)","-63.32 (1.928)","-63.61 (1.507)","-176.38 (-179.59 to -173.48)","-176.63 (-180.07 to -173.3)","-173.84 (-176.06 to -172.06)","-174.65 (6.191)","-175.57 (4.712)","-9.4 (-9.43 to -9.38)","-9.4 (-9.44 to -9.36)","-9.39 (-9.45 to -9.36)","-9.15 (0.03)","-9.16 (0.047)","51.52 (51.36 to 51.65)","51.5 (51.38 to 51.61)","51.69 (51.43 to 51.88)","50.4","50.4"
"-83.39 (-85.59 to -81.35)","-81.68 (-84.98 to -79.25)","-81.03 (-83.71 to -79.11)","-81.12 (1.583)","-81.05 (6.734)","-223.59 (-230.19 to -217.48)","-218.5 (-228.34 to -211.29)","-216.68 (-224.73 to -210.93)","-217.61 (5.076)","-217.41 (20.017)","-14.05 (-14.19 to -13.89)","-13.91 (-14.16 to -13.73)","-13.82 (-14.03 to -13.66)","-13.63 (0.092)","-13.62 (0.538)","67.71 (67.45 to 67.92)","67.81 (67.55 to 68.02)","67.67 (67.07 to 68.19)","66.7","66.7"
"-58.73 (-61.23 to -56.59)","-63.95 (-69.21 to -57.27)","-60.25 (-62 to -58.16)","-61.47 (3.4)","-62.23 (3.751)","-155.86 (-163.58 to -149.43)","-171.84 (-187.76 to -151.58)","-160.5 (-165.69 to -154.17)","-164.74 (10.499)","-167.11 (11.45)","-10.39 (-10.53 to -10.25)","-10.65 (-10.95 to -10.3)","-10.47 (-10.62 to -10.32)","-10.38 (0.163)","-10.4 (0.207)","58.82 (58.55 to 59.34)","58.38 (58.1 to 59.6)","58.7 (58.4 to 58.93)","57.7","57.6"
"-74.71 (-75.97 to -73.37)","-74.93 (-76.82 to -72.54)","-75.46 (-77.41 to -73.1)","-74.43 (2.316)","-74.63 (6.17)","-197.61 (-201.33 to -193.74)","-198.25 (-203.88 to -191.17)","-199.62 (-205.3 to -192.64)","-197.46 (6.709)","-198.05 (18.308)","-13.42 (-13.53 to -13.3)","-13.44 (-13.59 to -13.25)","-13.55 (-13.72 to -13.33)","-13.19 (0.275)","-13.21 (0.508)","68.51 (68.33 to 68.65)","68.5 (68.36 to 68.67)","68.8 (68.45 to 69.23)","67.5","67.5"
"-73.52 (-74.35 to -72.5)","-63.14 (-64.68 to -61.98)","-74.09 (-78.83 to -71.81)","-74.2 (4.4)","-66 (2.4)","-220.03 (-222.79 to -216.73)","-186.25 (-191.34 to -182.4)","-221.77 (-237.04 to -214.48)","-221.7 (14.2)","-195 (7.9)","-5.28 (-5.3 to -5.24)","-5.37 (-5.4 to -5.33)","-5.31 (-5.34 to -5.26)","-5.41 (0.06)","-5.48 (0.04)","35.33 (35.18 to 35.43)","35.52 (35.34 to 35.63)","35.46 (35.2 to 35.6)","35.9","36.1"
