Sample,Pathlength,Temperature,Absorbance
js7008_Gua-Cell 02.o3a,1,40.2,0.219665527
js7008_Gua-Cell 02.o3a,1,40.7,0.219543457
js7008_Gua-Cell 02.o3a,1,41.21,0.219650269
js7008_Gua-Cell 02.o3a,1,41.72,0.220336914
js7008_Gua-Cell 02.o3a,1,42.21,0.220581055
js7008_Gua-Cell 02.o3a,1,42.72,0.220809937
js7008_Gua-Cell 02.o3a,1,43.22,0.221130371
js7008_Gua-Cell 02.o3a,1,43.71,0.221435547
js7008_Gua-Cell 02.o3a,1,44.21,0.221694946
js7008_Gua-Cell 02.o3a,1,44.72,0.221160889
js7008_Gua-Cell 02.o3a,1,45.23,0.222061157
js7008_Gua-Cell 02.o3a,1,45.72,0.222717285
js7008_Gua-Cell 02.o3a,1,46.22,0.222549438
js7008_Gua-Cell 02.o3a,1,46.72,0.22177124
js7008_Gua-Cell 02.o3a,1,47.23,0.22203064
js7008_Gua-Cell 02.o3a,1,47.74,0.223495483
js7008_Gua-Cell 02.o3a,1,48.23,0.221984863
js7008_Gua-Cell 02.o3a,1,48.73,0.222564697
js7008_Gua-Cell 02.o3a,1,49.23,0.223403931
js7008_Gua-Cell 02.o3a,1,49.72,0.224029541
js7008_Gua-Cell 02.o3a,1,50.23,0.223876953
js7008_Gua-Cell 02.o3a,1,50.74,0.223205566
js7008_Gua-Cell 02.o3a,1,51.23,0.224273682
js7008_Gua-Cell 02.o3a,1,51.73,0.223892212
js7008_Gua-Cell 02.o3a,1,52.24,0.224853516
js7008_Gua-Cell 02.o3a,1,52.76,0.224914551
js7008_Gua-Cell 02.o3a,1,53.25,0.225494385
js7008_Gua-Cell 02.o3a,1,53.76,0.225708008
js7008_Gua-Cell 02.o3a,1,54.24,0.226455688
js7008_Gua-Cell 02.o3a,1,54.75,0.22668457
js7008_Gua-Cell 02.o3a,1,55.24,0.226913452
js7008_Gua-Cell 02.o3a,1,55.75,0.227142334
js7008_Gua-Cell 02.o3a,1,56.26,0.226776123
js7008_Gua-Cell 02.o3a,1,56.77,0.227722168
js7008_Gua-Cell 02.o3a,1,57.27,0.227737427
js7008_Gua-Cell 02.o3a,1,57.77,0.228912354
js7008_Gua-Cell 02.o3a,1,58.26,0.229888916
js7008_Gua-Cell 02.o3a,1,58.78,0.230010986
js7008_Gua-Cell 02.o3a,1,59.28,0.230041504
js7008_Gua-Cell 02.o3a,1,59.76,0.230239868
js7008_Gua-Cell 02.o3a,1,60.28,0.231155396
js7008_Gua-Cell 02.o3a,1,60.8,0.232620239
js7008_Gua-Cell 02.o3a,1,61.27,0.232009888
js7008_Gua-Cell 02.o3a,1,61.8,0.23374939
js7008_Gua-Cell 02.o3a,1,62.27,0.23425293
js7008_Gua-Cell 02.o3a,1,62.76,0.23538208
js7008_Gua-Cell 02.o3a,1,63.28,0.235137939
js7008_Gua-Cell 02.o3a,1,63.8,0.236618042
js7008_Gua-Cell 02.o3a,1,64.3,0.236862183
js7008_Gua-Cell 02.o3a,1,64.79,0.238586426
js7008_Gua-Cell 02.o3a,1,65.29,0.238830566
js7008_Gua-Cell 02.o3a,1,65.82,0.238464355
js7008_Gua-Cell 02.o3a,1,66.32,0.240020752
js7008_Gua-Cell 02.o3a,1,66.8,0.240768433
js7008_Gua-Cell 02.o3a,1,67.33,0.241394043
js7008_Gua-Cell 02.o3a,1,67.81,0.242202759
js7008_Gua-Cell 02.o3a,1,68.3,0.242645264
js7008_Gua-Cell 02.o3a,1,68.82,0.242965698
js7008_Gua-Cell 02.o3a,1,69.32,0.244110107
js7008_Gua-Cell 02.o3a,1,69.81,0.244857788
js7008_Gua-Cell 02.o3a,1,70.33,0.245162964
js7008_Gua-Cell 02.o3a,1,70.83,0.245910645
