Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DP1_Run1.dux
Date Acquired:,,,"December 17, 2015 11:21 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.7000,,0.0030,,0.8731,,1.0426,,0.4330
11.0000,,0.0031,,0.8750,,1.0436,,0.4331
11.4000,,0.0030,,0.8766,,1.0441,,0.4336
11.9000,,0.0029,,0.8779,,1.0450,,0.4340
12.3000,,0.0029,,0.8795,,1.0464,,0.4343
12.8000,,0.0030,,0.8815,,1.0474,,0.4348
13.3000,,0.0030,,0.8828,,1.0484,,0.4352
13.7000,,0.0029,,0.8838,,1.0493,,0.4355
14.2000,,0.0030,,0.8858,,1.0517,,0.4362
14.7000,,0.0029,,0.8874,,1.0527,,0.4367
15.2000,,0.0029,,0.8884,,1.0532,,0.4372
15.7000,,0.0030,,0.8901,,1.0551,,0.4379
16.1000,,0.0030,,0.8914,,1.0561,,0.4385
16.6000,,0.0029,,0.8927,,1.0576,,0.4389
17.1000,,0.0031,,0.8941,,1.0586,,0.4395
17.6000,,0.0031,,0.8954,,1.0595,,0.4402
18.1000,,0.0030,,0.8968,,1.0610,,0.4407
18.6000,,0.0030,,0.8981,,1.0625,,0.4414
19.1000,,0.0031,,0.8995,,1.0640,,0.4422
19.6000,,0.0030,,0.9019,,1.0650,,0.4427
20.1000,,0.0030,,0.9036,,1.0660,,0.4437
20.6000,,0.0031,,0.9050,,1.0685,,0.4443
21.1000,,0.0031,,0.9057,,1.0690,,0.4450
21.6000,,0.0030,,0.9071,,1.0710,,0.4458
22.1000,,0.0030,,0.9084,,1.0725,,0.4467
22.6000,,0.0031,,0.9098,,1.0736,,0.4474
23.1000,,0.0031,,0.9112,,1.0756,,0.4483
23.6000,,0.0031,,0.9130,,1.0771,,0.4496
24.1000,,0.0031,,0.9144,,1.0792,,0.4503
24.6000,,0.0032,,0.9155,,1.0812,,0.4512
25.0000,,0.0032,,0.9172,,1.0833,,0.4522
25.5000,,0.0032,,0.9186,,1.0844,,0.4533
26.0000,,0.0032,,0.9201,,1.0870,,0.4544
26.5000,,0.0032,,0.9219,,1.0886,,0.4554
26.8000,,0.0033,,0.9229,,1.0896,,0.4561
27.4000,,0.0033,,0.9247,,1.0923,,0.4577
27.9000,,0.0033,,0.9262,,1.0944,,0.4591
28.4000,,0.0033,,0.9276,,1.0965,,0.4606
28.8000,,0.0034,,0.9302,,1.0987,,0.4617
