Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DP1_Run2.dux
Date Acquired:,,,"December 17, 2015 1:04 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.8000,,0.0152,,0.5122,,0.6905,,0.3250
11.0000,,0.0150,,0.5127,,0.6911,,0.3249
11.5000,,0.0149,,0.5138,,0.6920,,0.3252
12.0000,,0.0149,,0.5145,,0.6928,,0.3255
12.4000,,0.0148,,0.5153,,0.6937,,0.3259
12.9000,,0.0149,,0.5162,,0.6943,,0.3262
13.4000,,0.0149,,0.5169,,0.6954,,0.3266
13.9000,,0.0149,,0.5177,,0.6960,,0.3267
14.3000,,0.0148,,0.5183,,0.6964,,0.3271
14.8000,,0.0148,,0.5193,,0.6975,,0.3276
15.3000,,0.0148,,0.5200,,0.6986,,0.3279
15.8000,,0.0149,,0.5206,,0.6994,,0.3282
16.3000,,0.0149,,0.5214,,0.7003,,0.3288
16.8000,,0.0148,,0.5223,,0.7012,,0.3291
17.3000,,0.0149,,0.5233,,0.7020,,0.3297
17.8000,,0.0148,,0.5239,,0.7027,,0.3301
18.3000,,0.0149,,0.5247,,0.7035,,0.3306
18.7000,,0.0149,,0.5253,,0.7044,,0.3312
19.3000,,0.0149,,0.5263,,0.7051,,0.3315
19.7000,,0.0148,,0.5272,,0.7064,,0.3320
20.2000,,0.0149,,0.5282,,0.7072,,0.3324
20.7000,,0.0149,,0.5288,,0.7083,,0.3332
21.2000,,0.0150,,0.5296,,0.7092,,0.3337
21.8000,,0.0150,,0.5305,,0.7105,,0.3342
22.2000,,0.0149,,0.5314,,0.7114,,0.3348
22.7000,,0.0149,,0.5323,,0.7123,,0.3355
23.3000,,0.0149,,0.5333,,0.7139,,0.3361
23.7000,,0.0149,,0.5337,,0.7143,,0.3367
24.3000,,0.0149,,0.5347,,0.7159,,0.3375
24.8000,,0.0150,,0.5358,,0.7170,,0.3382
25.3000,,0.0150,,0.5367,,0.7186,,0.3390
25.7000,,0.0149,,0.5371,,0.7192,,0.3395
26.0000,,0.0148,,0.5378,,0.7199,,0.3402
26.5000,,0.0148,,0.5390,,0.7215,,0.3409
27.0000,,0.0150,,0.5399,,0.7231,,0.3419
27.5000,,0.0149,,0.5408,,0.7242,,0.3426
27.9000,,0.0150,,0.5416,,0.7256,,0.3435
28.4000,,0.0150,,0.5428,,0.7269,,0.3444
28.9000,,0.0151,,0.5438,,0.7283,,0.3455
