Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,11,0.0493,,,,,
1,1,11.3,0.0492,,,,,
1,1,11.8,0.0491,,,,,
1,1,12.2,0.0493,,,,,
1,1,12.7,0.0492,,,,,
1,1,13.1,0.0492,,,,,
1,1,13.6,0.0493,,,,,
1,1,14.1,0.0494,,,,,
1,1,14.6,0.0493,,,,,
1,1,15.1,0.0493,,,,,
1,1,15.6,0.0494,,,,,
1,1,16,0.0495,,,,,
1,1,16.5,0.0494,,,,,
1,1,17,0.0496,,,,,
1,1,17.5,0.0496,,,,,
1,1,18,0.0496,,,,,
1,1,18.5,0.0497,,,,,
1,1,19,0.0497,,,,,
1,1,19.5,0.0497,,,,,
1,1,20,0.0498,,,,,
1,1,20.5,0.0498,,,,,
1,1,21,0.0498,,,,,
1,1,21.5,0.0498,,,,,
1,1,22,0.0498,,,,,
1,1,22.5,0.0498,,,,,
1,1,23,0.0499,,,,,
1,1,23.5,0.0499,,,,,
1,1,24,0.0499,,,,,
1,1,24.5,0.0499,,,,,
1,1,25,0.05,,,,,
1,1,25.5,0.0501,,,,,
1,1,26,0.05,,,,,
1,1,26.4,0.0499,,,,,
1,1,26.8,0.0499,,,,,
1,1,27.2,0.05,,,,,
1,1,27.6,0.0501,,,,,
1,1,28.1,0.0502,,,,,
1,1,28.6,0.0502,,,,,
1,1,29,0.0502,,,,,
1,1,29.5,0.0502,,,,,
1,1,30,0.0503,,,,,
1,1,30.5,0.0503,,,,,
1,1,31,0.0503,,,,,
1,1,31.4,0.0505,,,,,
1,1,31.9,0.0506,,,,,
1,1,32.5,0.0507,,,,,
1,1,32.9,0.0507,,,,,
1,1,33.4,0.0508,,,,,
1,1,33.9,0.0508,,,,,
1,1,34.4,0.0509,,,,,
1,1,34.9,0.0508,,,,,
1,1,35.4,0.051,,,,,
1,1,35.9,0.051,,,,,
1,1,36.3,0.0511,,,,,
1,1,36.8,0.0511,,,,,
1,1,37.3,0.0511,,,,,
1,1,37.7,0.0512,,,,,
1,1,38.2,0.0513,,,,,
1,1,38.7,0.0514,,,,,
1,1,39.2,0.0515,,,,,
1,1,39.7,0.0515,,,,,
1,1,40.2,0.0515,,,,,
1,1,40.7,0.0515,,,,,
1,1,41.2,0.0516,,,,,
1,1,41.7,0.0516,,,,,
1,1,42.2,0.0517,,,,,
1,1,42.7,0.0517,,,,,
1,1,43.2,0.0518,,,,,
1,1,43.7,0.0519,,,,,
1,1,44.2,0.0519,,,,,
1,1,44.7,0.0519,,,,,
1,1,45.2,0.052,,,,,
1,1,45.6,0.052,,,,,
1,1,46.1,0.0521,,,,,
1,1,46.7,0.0521,,,,,
1,1,47.2,0.0521,,,,,
1,1,47.7,0.0523,,,,,
1,1,48.1,0.0523,,,,,
1,1,48.6,0.0524,,,,,
1,1,49.1,0.0523,,,,,
1,1,49.6,0.0524,,,,,
1,1,50.1,0.0525,,,,,
1,1,50.6,0.0525,,,,,
1,1,51.1,0.0526,,,,,
1,1,51.6,0.0528,,,,,
1,1,52.1,0.0527,,,,,
1,1,52.7,0.0528,,,,,
1,1,53.1,0.053,,,,,
1,1,53.6,0.053,,,,,
1,1,54.1,0.0532,,,,,
1,1,54.6,0.0531,,,,,
1,1,55.1,0.0533,,,,,
1,1,55.6,0.0533,,,,,
1,1,56.1,0.0534,,,,,
1,1,56.6,0.0534,,,,,
1,1,57.1,0.0534,,,,,
1,1,57.6,0.0535,,,,,
1,1,58.1,0.0536,,,,,
1,1,58.6,0.0536,,,,,
1,1,59.1,0.0538,,,,,
1,1,59.5,0.0537,,,,,
1,1,60,0.0539,,,,,
1,1,60.6,0.054,,,,,
1,1,61,0.0541,,,,,
1,1,61.5,0.0542,,,,,
1,1,62,0.0544,,,,,
1,1,62.6,0.0544,,,,,
1,1,63,0.0546,,,,,
1,1,63.5,0.0548,,,,,
1,1,64.1,0.055,,,,,
1,1,64.5,0.0551,,,,,
1,1,65,0.0553,,,,,
1,1,65.5,0.0556,,,,,
1,1,66,0.0556,,,,,
1,1,66.5,0.0557,,,,,
1,1,67,0.0559,,,,,
1,1,67.5,0.0561,,,,,
1,1,68,0.0565,,,,,
1,1,68.5,0.0567,,,,,
1,1,69,0.057,,,,,
1,1,69.5,0.0572,,,,,
1,1,69.9,0.0574,,,,,
1,1,70.5,0.0578,,,,,
1,1,70.9,0.0579,,,,,
1,1,71.5,0.0584,,,,,
1,1,72,0.0584,,,,,
1,1,72.5,0.0588,,,,,
1,1,73,0.0587,,,,,
1,1,73.4,0.059,,,,,
1,1,74.1,0.0592,,,,,
1,1,74.4,0.0595,,,,,
1,1,74.9,0.0597,,,,,
1,1,75.4,0.0598,,,,,
1,1,75.9,0.0601,,,,,
1,1,76.6,0.0604,,,,,
1,1,76.9,0.0607,,,,,
1,1,77.4,0.061,,,,,
1,1,77.8,0.0614,,,,,
1,1,78.4,0.0618,,,,,
1,1,78.8,0.0621,,,,,
1,1,79.5,0.0625,,,,,
1,1,79.9,0.063,,,,,
1,1,80.4,0.0633,,,,,
1,1,80.8,0.0637,,,,,
1,1,81.4,0.0643,,,,,
1,1,81.8,0.0647,,,,,
1,1,82.5,0.0653,,,,,
1,1,82.9,0.0659,,,,,
1,1,83.4,0.0663,,,,,
1,1,83.8,0.0667,,,,,
1,1,84.3,0.0673,,,,,
1,1,84.8,0.0678,,,,,
1,1,85.2,0.0683,,,,,
1,1,85.8,0.0688,,,,,
1,1,86.3,0.0694,,,,,
1,1,86.8,0.07,,,,,
1,1,87.2,0.0707,,,,,
1,1,87.8,0.0714,,,,,
1,1,88.3,0.0721,,,,,
1,1,88.7,0.0729,,,,,
1,1,89.5,0.0737,,,,,
2,0.1,11,0.8723,,,,,
2,0.1,11.3,0.8729,,,,,
2,0.1,11.8,0.8735,,,,,
2,0.1,12.2,0.8741,,,,,
2,0.1,12.7,0.8741,,,,,
2,0.1,13.1,0.8744,,,,,
2,0.1,13.6,0.8753,,,,,
2,0.1,14.1,0.875,,,,,
2,0.1,14.6,0.8759,,,,,
2,0.1,15.1,0.8759,,,,,
2,0.1,15.6,0.8765,,,,,
2,0.1,16,0.8768,,,,,
2,0.1,16.5,0.8771,,,,,
2,0.1,17,0.8771,,,,,
2,0.1,17.5,0.878,,,,,
2,0.1,18,0.878,,,,,
2,0.1,18.5,0.878,,,,,
2,0.1,19,0.8786,,,,,
2,0.1,19.5,0.8789,,,,,
2,0.1,20,0.8792,,,,,
2,0.1,20.5,0.8795,,,,,
2,0.1,21,0.8801,,,,,
2,0.1,21.5,0.8801,,,,,
2,0.1,22,0.8801,,,,,
2,0.1,22.5,0.8804,,,,,
2,0.1,23,0.881,,,,,
2,0.1,23.5,0.8813,,,,,
2,0.1,24,0.8813,,,,,
2,0.1,24.5,0.8819,,,,,
2,0.1,25,0.8825,,,,,
2,0.1,25.5,0.8828,,,,,
2,0.1,26,0.8831,,,,,
2,0.1,26.4,0.8834,,,,,
2,0.1,26.8,0.884,,,,,
2,0.1,27.2,0.884,,,,,
2,0.1,27.6,0.8843,,,,,
2,0.1,28.1,0.8849,,,,,
2,0.1,28.6,0.8852,,,,,
2,0.1,29,0.8858,,,,,
2,0.1,29.5,0.8858,,,,,
2,0.1,30,0.8865,,,,,
2,0.1,30.5,0.8877,,,,,
2,0.1,31,0.8877,,,,,
2,0.1,31.4,0.8883,,,,,
2,0.1,31.9,0.8889,,,,,
2,0.1,32.5,0.8898,,,,,
2,0.1,32.9,0.8908,,,,,
