Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DP5_Run1a.dux
Date Acquired:,,,"February 22, 2016 10:27 AM"

Analytical Wavelength:,,,260.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 260.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.8000,,0.0296,,1.5025,,1.0755,,0.4826
11.1000,,0.0297,,1.5038,,1.0759,,0.4829
11.5000,,0.0297,,1.5063,,1.0764,,0.4829
12.0000,,0.0297,,1.5051,,1.0764,,0.4830
12.5000,,0.0297,,1.5076,,1.0764,,0.4830
13.0000,,0.0297,,1.5089,,1.0764,,0.4831
13.4000,,0.0297,,1.5089,,1.0764,,0.4832
13.9000,,0.0296,,1.5089,,1.0764,,0.4836
14.4000,,0.0297,,1.5128,,1.0774,,0.4837
14.9000,,0.0297,,1.5115,,1.0778,,0.4839
15.4000,,0.0297,,1.5128,,1.0778,,0.4841
15.9000,,0.0298,,1.5141,,1.0788,,0.4844
16.4000,,0.0297,,1.5167,,1.0788,,0.4845
16.9000,,0.0297,,1.5154,,1.0793,,0.4848
17.4000,,0.0297,,1.5180,,1.0797,,0.4850
17.9000,,0.0297,,1.5167,,1.0802,,0.4853
18.4000,,0.0298,,1.5193,,1.0802,,0.4856
18.9000,,0.0298,,1.5206,,1.0817,,0.4859
19.4000,,0.0298,,1.5220,,1.0817,,0.4861
19.9000,,0.0299,,1.5220,,1.0817,,0.4865
20.4000,,0.0299,,1.5233,,1.0821,,0.4869
20.9000,,0.0299,,1.5246,,1.0831,,0.4871
21.4000,,0.0299,,1.5233,,1.0836,,0.4876
21.9000,,0.0299,,1.5259,,1.0836,,0.4880
22.4000,,0.0299,,1.5273,,1.0845,,0.4883
22.9000,,0.0299,,1.5286,,1.0855,,0.4888
23.4000,,0.0299,,1.5300,,1.0865,,0.4893
23.9000,,0.0300,,1.5313,,1.0870,,0.4897
24.4000,,0.0301,,1.5313,,1.0875,,0.4902
24.9000,,0.0301,,1.5340,,1.0889,,0.4908
25.4000,,0.0301,,1.5327,,1.0889,,0.4913
25.8000,,0.0302,,1.5368,,1.0904,,0.4919
26.3000,,0.0302,,1.5368,,1.0909,,0.4924
26.7000,,0.0302,,1.5368,,1.0919,,0.4928
27.1000,,0.0302,,1.5368,,1.0924,,0.4935
27.6000,,0.0303,,1.5395,,1.0933,,0.4940
28.0000,,0.0303,,1.5381,,1.0948,,0.4946
28.4000,,0.0304,,1.5409,,1.0948,,0.4952
29.0000,,0.0305,,1.5409,,1.0963,,0.4961
