Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DP5_Run2.dux
Date Acquired:,,,"February 22, 2016 12:16 PM"

Analytical Wavelength:,,,260.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 260.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
11.0000,,0.0493,,0.8723,,0.6620,,0.3341
11.3000,,0.0492,,0.8729,,0.6622,,0.3341
11.8000,,0.0491,,0.8735,,0.6623,,0.3341
12.2000,,0.0493,,0.8741,,0.6627,,0.3342
12.7000,,0.0492,,0.8741,,0.6631,,0.3342
13.1000,,0.0492,,0.8744,,0.6647,,0.3343
13.6000,,0.0493,,0.8753,,0.6655,,0.3344
14.1000,,0.0494,,0.8750,,0.6656,,0.3346
14.6000,,0.0493,,0.8759,,0.6655,,0.3348
15.1000,,0.0493,,0.8759,,0.6653,,0.3348
15.6000,,0.0494,,0.8765,,0.6651,,0.3350
16.0000,,0.0495,,0.8768,,0.6651,,0.3350
16.5000,,0.0494,,0.8771,,0.6655,,0.3353
17.0000,,0.0496,,0.8771,,0.6658,,0.3355
17.5000,,0.0496,,0.8780,,0.6671,,0.3356
18.0000,,0.0496,,0.8780,,0.6666,,0.3357
18.5000,,0.0497,,0.8780,,0.6668,,0.3360
19.0000,,0.0497,,0.8786,,0.6671,,0.3362
19.5000,,0.0497,,0.8789,,0.6673,,0.3364
20.0000,,0.0498,,0.8792,,0.6677,,0.3365
20.5000,,0.0498,,0.8795,,0.6679,,0.3369
21.0000,,0.0498,,0.8801,,0.6682,,0.3371
21.5000,,0.0498,,0.8801,,0.6686,,0.3373
22.0000,,0.0498,,0.8801,,0.6690,,0.3375
22.5000,,0.0498,,0.8804,,0.6694,,0.3378
23.0000,,0.0499,,0.8810,,0.6697,,0.3381
23.5000,,0.0499,,0.8813,,0.6701,,0.3384
24.0000,,0.0499,,0.8813,,0.6705,,0.3388
24.5000,,0.0499,,0.8819,,0.6712,,0.3391
25.0000,,0.0500,,0.8825,,0.6718,,0.3396
25.5000,,0.0501,,0.8828,,0.6721,,0.3399
26.0000,,0.0500,,0.8831,,0.6727,,0.3403
26.4000,,0.0499,,0.8834,,0.6731,,0.3407
26.8000,,0.0499,,0.8840,,0.6738,,0.3410
27.2000,,0.0500,,0.8840,,0.6744,,0.3415
27.6000,,0.0501,,0.8843,,0.6750,,0.3418
28.1000,,0.0502,,0.8849,,0.6753,,0.3424
28.6000,,0.0502,,0.8852,,0.6761,,0.3430
29.0000,,0.0502,,0.8858,,0.6769,,0.3434
