Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8003356
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Current Members-Red UV\Miranda\CROWD_DP9_Run3.dux
Date Acquired:,,,"April 12, 2016 11:59 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,65.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.6000,,0.0058,,0.3651,,0.3968,,0.2228
10.9000,,0.0057,,0.3653,,0.3971,,0.2222
11.4000,,0.0058,,0.3656,,0.3973,,0.2224
11.9000,,0.0057,,0.3658,,0.3974,,0.2224
12.4000,,0.0057,,0.3660,,0.3978,,0.2227
12.9000,,0.0057,,0.3663,,0.3982,,0.2227
13.4000,,0.0059,,0.3665,,0.3985,,0.2229
13.9000,,0.0059,,0.3669,,0.3991,,0.2233
14.4000,,0.0058,,0.3675,,0.3995,,0.2237
14.9000,,0.0059,,0.3677,,0.3996,,0.2240
15.4000,,0.0058,,0.3681,,0.4002,,0.2244
15.9000,,0.0059,,0.3686,,0.4006,,0.2250
16.4000,,0.0059,,0.3688,,0.4010,,0.2255
17.0000,,0.0059,,0.3695,,0.4012,,0.2258
17.4000,,0.0059,,0.3700,,0.4016,,0.2259
17.9000,,0.0059,,0.3706,,0.4018,,0.2262
18.4000,,0.0059,,0.3708,,0.4021,,0.2267
19.0000,,0.0060,,0.3712,,0.4023,,0.2270
19.5000,,0.0059,,0.3715,,0.4027,,0.2271
20.0000,,0.0058,,0.3717,,0.4029,,0.2274
20.5000,,0.0059,,0.3719,,0.4038,,0.2278
21.0000,,0.0059,,0.3725,,0.4047,,0.2288
21.5000,,0.0059,,0.3730,,0.4058,,0.2294
22.0000,,0.0060,,0.3735,,0.4068,,0.2293
22.5000,,0.0059,,0.3739,,0.4072,,0.2297
23.0000,,0.0058,,0.3742,,0.4078,,0.2304
23.5000,,0.0059,,0.3743,,0.4087,,0.2314
24.0000,,0.0060,,0.3746,,0.4101,,0.2320
24.5000,,0.0060,,0.3752,,0.4108,,0.2329
25.0000,,0.0059,,0.3756,,0.4119,,0.2333
25.5000,,0.0059,,0.3762,,0.4127,,0.2341
26.0000,,0.0059,,0.3769,,0.4136,,0.2346
26.4000,,0.0060,,0.3771,,0.4145,,0.2354
26.8000,,0.0059,,0.3778,,0.4155,,0.2362
27.3000,,0.0058,,0.3784,,0.4166,,0.2369
27.6000,,0.0059,,0.3787,,0.4177,,0.2376
28.1000,,0.0059,,0.3794,,0.4184,,0.2385
28.6000,,0.0060,,0.3803,,0.4197,,0.2399
29.0000,,0.0060,,0.3808,,0.4209,,0.2411
