Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\CROWD_DR1_Run1.dux
Date Acquired:,,,"November 23, 2016 8:29 AM"

Analytical Wavelength:,,,260.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 260.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
11.0000,,-0.0006,,1.4708,,1.4981,,1.0829
11.3000,,-0.0006,,1.4739,,1.5013,,1.0846
11.8000,,-0.0006,,1.4769,,1.5035,,1.0859
12.2000,,-0.0006,,1.4801,,1.5057,,1.0876
12.7000,,-0.0007,,1.4832,,1.5079,,1.0884
13.2000,,-0.0006,,1.4853,,1.5113,,1.0905
13.7000,,-0.0007,,1.4895,,1.5124,,1.0918
14.1000,,-0.0005,,1.4916,,1.5158,,1.0935
14.6000,,-0.0004,,1.4959,,1.5192,,1.0952
15.1000,,-0.0005,,1.4970,,1.5214,,1.0973
15.5000,,-0.0002,,1.4992,,1.5260,,1.0986
16.0000,,-0.0001,,1.5035,,1.5284,,1.1008
16.5000,,-0.0001,,1.5068,,1.5307,,1.1025
16.9000,,-0.0001,,1.5113,,1.5354,,1.1047
17.4000,,-0.0000,,1.5135,,1.5389,,1.1069
17.9000,,0.0001,,1.5180,,1.5437,,1.1087
18.4000,,0.0004,,1.5203,,1.5461,,1.1113
18.9000,,0.0001,,1.5237,,1.5510,,1.1131
19.3000,,0.0001,,1.5284,,1.5572,,1.1158
19.8000,,-0.0001,,1.5319,,1.5622,,1.1185
20.2000,,-0.0001,,1.5342,,1.5647,,1.1203
20.7000,,0.0000,,1.5389,,1.5685,,1.1235
21.2000,,0.0000,,1.5437,,1.5723,,1.1267
21.6000,,0.0000,,1.5449,,1.5775,,1.1295
22.1000,,0.0006,,1.5510,,1.5814,,1.1327
22.6000,,0.0004,,1.5535,,1.5867,,1.1365
23.0000,,0.0002,,1.5609,,1.5920,,1.1408
23.5000,,0.0003,,1.5647,,1.5974,,1.1451
24.0000,,0.0003,,1.5685,,1.6029,,1.1489
24.5000,,0.0004,,1.5723,,1.6099,,1.1548
25.0000,,0.0009,,1.5762,,1.6155,,1.1592
25.5000,,0.0008,,1.5801,,1.6212,,1.1647
26.0000,,0.0006,,1.5827,,1.6270,,1.1698
26.4000,,0.0006,,1.5893,,1.6344,,1.1754
26.8000,,0.0007,,1.5934,,1.6403,,1.1801
27.3000,,0.0007,,1.5988,,1.6494,,1.1869
27.8000,,0.0007,,1.6057,,1.6588,,1.1938
28.4000,,0.0009,,1.6113,,1.6667,,1.2009
28.8000,,0.0008,,1.6169,,1.6747,,1.2069
