Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda Low Temp
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR17_Run3.dux
Date Acquired:,,,"June 20, 2017 11:40 AM"

Analytical Wavelength:,,,260.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,2.0 °C
  Delay:,,,5.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,55.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 260.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
3.8000,,-0.0008,,0.7130,,0.6613,,0.3524
3.8000,,-0.0008,,0.7132,,0.6611,,0.3522
4.0000,,-0.0008,,0.7141,,0.6617,,0.3525
4.0000,,-0.0007,,0.7143,,0.6622,,0.3527
4.3000,,-0.0008,,0.7163,,0.6648,,0.3539
4.8000,,-0.0009,,0.7181,,0.6672,,0.3550
5.3000,,-0.0006,,0.7205,,0.6687,,0.3560
5.8000,,-0.0007,,0.7223,,0.6707,,0.3583
6.2000,,-0.0006,,0.7243,,0.6729,,0.3598
6.7000,,-0.0006,,0.7266,,0.6759,,0.3626
7.2000,,-0.0006,,0.7286,,0.6790,,0.3655
7.7000,,-0.0006,,0.7309,,0.6814,,0.3686
8.1000,,-0.0006,,0.7332,,0.6849,,0.3715
8.7000,,-0.0006,,0.7362,,0.6890,,0.3734
9.1000,,-0.0006,,0.7388,,0.6922,,0.3754
9.6000,,-0.0005,,0.7420,,0.6968,,0.3780
10.2000,,-0.0005,,0.7456,,0.7017,,0.3813
10.7000,,-0.0004,,0.7484,,0.7062,,0.3846
11.2000,,-0.0004,,0.7515,,0.7106,,0.3882
11.6000,,-0.0004,,0.7549,,0.7150,,0.3916
12.1000,,-0.0003,,0.7591,,0.7198,,0.3950
12.6000,,-0.0003,,0.7627,,0.7255,,0.3985
13.1000,,-0.0003,,0.7669,,0.7311,,0.4023
13.5000,,-0.0001,,0.7712,,0.7367,,0.4050
14.0000,,-0.0002,,0.7760,,0.7428,,0.4083
14.5000,,-0.0002,,0.7808,,0.7487,,0.4124
15.0000,,-0.0000,,0.7863,,0.7556,,0.4151
15.4000,,0.0000,,0.7915,,0.7622,,0.4178
15.9000,,0.0000,,0.7971,,0.7692,,0.4212
16.4000,,0.0001,,0.8032,,0.7762,,0.4245
16.9000,,-0.0000,,0.8098,,0.7834,,0.4268
17.4000,,0.0000,,0.8164,,0.7904,,0.4293
17.9000,,0.0000,,0.8232,,0.7979,,0.4321
18.3000,,0.0001,,0.8312,,0.8051,,0.4348
18.8000,,0.0001,,0.8387,,0.8125,,0.4369
19.3000,,0.0001,,0.8470,,0.8195,,0.4387
19.8000,,0.0003,,0.8555,,0.8263,,0.4409
20.3000,,0.0004,,0.8635,,0.8326,,0.4422
