Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,20.7,0,,,,,
1,1,21,-0.0001,,,,,
1,1,21.5,0,,,,,
1,1,22,0,,,,,
1,1,22.5,0,,,,,
1,1,23,0,,,,,
1,1,23.5,0,,,,,
1,1,24,0,,,,,
1,1,24.5,0.0001,,,,,
1,1,25,0,,,,,
1,1,25.5,0,,,,,
1,1,26,0.0001,,,,,
1,1,26.4,0,,,,,
1,1,26.8,0,,,,,
1,1,27.3,0,,,,,
1,1,27.6,0,,,,,
1,1,28.1,0.0001,,,,,
1,1,28.6,0.0001,,,,,
1,1,29,0.0002,,,,,
1,1,29.5,0.0002,,,,,
1,1,30,0.0002,,,,,
1,1,30.5,0.0002,,,,,
1,1,31,0.0003,,,,,
1,1,31.4,0.0003,,,,,
1,1,31.9,0.0004,,,,,
1,1,32.4,0.0004,,,,,
1,1,32.9,0.0004,,,,,
1,1,33.4,0.0004,,,,,
1,1,33.9,0.0005,,,,,
1,1,34.4,0.0006,,,,,
1,1,34.9,0.0006,,,,,
1,1,35.3,0.0005,,,,,
1,1,35.8,0.0007,,,,,
1,1,36.2,0.0007,,,,,
1,1,36.7,0.0008,,,,,
1,1,37.3,0.0008,,,,,
1,1,37.8,0.001,,,,,
1,1,38.3,0.0009,,,,,
1,1,38.7,0.001,,,,,
1,1,39.3,0.0011,,,,,
1,1,39.7,0.0011,,,,,
1,1,40.3,0.0012,,,,,
1,1,40.7,0.0011,,,,,
1,1,41.2,0.0012,,,,,
1,1,41.7,0.0012,,,,,
1,1,42.2,0.0012,,,,,
1,1,42.7,0.0011,,,,,
1,1,43.2,0.0012,,,,,
1,1,43.7,0.0012,,,,,
1,1,44.2,0.0012,,,,,
1,1,44.7,0.0013,,,,,
1,1,45.2,0.0016,,,,,
1,1,45.7,0.0014,,,,,
1,1,46.2,0.0014,,,,,
1,1,46.7,0.0014,,,,,
1,1,47.2,0.0013,,,,,
1,1,47.7,0.0014,,,,,
1,1,48.1,0.0015,,,,,
1,1,48.6,0.0014,,,,,
1,1,49.1,0.0015,,,,,
1,1,49.6,0.0015,,,,,
1,1,50.1,0.0015,,,,,
1,1,50.7,0.0014,,,,,
1,1,51.1,0.0016,,,,,
1,1,51.6,0.0014,,,,,
1,1,52.1,0.0013,,,,,
1,1,52.6,0.0013,,,,,
1,1,53.1,0.0013,,,,,
1,1,53.6,0.0012,,,,,
1,1,54.1,0.0012,,,,,
1,1,54.6,0.0013,,,,,
1,1,55.1,0.0012,,,,,
1,1,55.6,0.0014,,,,,
1,1,56.1,0.0013,,,,,
1,1,56.6,0.0013,,,,,
1,1,57.1,0.0015,,,,,
1,1,57.6,0.0016,,,,,
1,1,58.1,0.0016,,,,,
