Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Melissa
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR5_Run2.dux
Date Acquired:,,,"November 30, 2016 10:08 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,20.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
20.7000,,0.0086,,0.6497,,0.6608,,0.2962
20.9000,,0.0087,,0.6507,,0.6598,,0.2971
21.4000,,0.0087,,0.6513,,0.6604,,0.2982
21.9000,,0.0088,,0.6517,,0.6612,,0.2968
22.4000,,0.0087,,0.6520,,0.6616,,0.2970
22.9000,,0.0088,,0.6528,,0.6622,,0.2967
23.4000,,0.0088,,0.6536,,0.6631,,0.2968
23.9000,,0.0088,,0.6540,,0.6637,,0.2969
24.4000,,0.0089,,0.6547,,0.6645,,0.2976
24.9000,,0.0090,,0.6555,,0.6653,,0.2978
25.3000,,0.0091,,0.6563,,0.6659,,0.2981
25.8000,,0.0090,,0.6569,,0.6665,,0.2982
26.2000,,0.0091,,0.6577,,0.6671,,0.2983
26.6000,,0.0091,,0.6582,,0.6677,,0.2985
27.1000,,0.0090,,0.6594,,0.6687,,0.2988
27.5000,,0.0091,,0.6602,,0.6695,,0.2994
27.9000,,0.0092,,0.6606,,0.6703,,0.3000
28.4000,,0.0092,,0.6616,,0.6711,,0.3005
28.9000,,0.0092,,0.6624,,0.6717,,0.3010
29.4000,,0.0093,,0.6633,,0.6727,,0.3016
29.9000,,0.0093,,0.6643,,0.6739,,0.3025
30.4000,,0.0094,,0.6655,,0.6747,,0.3028
30.9000,,0.0094,,0.6671,,0.6760,,0.3033
31.4000,,0.0095,,0.6677,,0.6768,,0.3041
31.9000,,0.0097,,0.6693,,0.6778,,0.3052
32.4000,,0.0098,,0.6703,,0.6788,,0.3058
32.8000,,0.0096,,0.6705,,0.6801,,0.3069
33.3000,,0.0098,,0.6715,,0.6817,,0.3072
33.8000,,0.0099,,0.6725,,0.6831,,0.3083
34.3000,,0.0100,,0.6739,,0.6846,,0.3094
34.9000,,0.0101,,0.6756,,0.6856,,0.3103
35.2000,,0.0102,,0.6760,,0.6867,,0.3111
35.7000,,0.0102,,0.6768,,0.6879,,0.3122
36.2000,,0.0102,,0.6782,,0.6898,,0.3134
36.7000,,0.0103,,0.6801,,0.6919,,0.3148
37.2000,,0.0104,,0.6817,,0.6942,,0.3163
37.7000,,0.0105,,0.6836,,0.6966,,0.3176
38.2000,,0.0105,,0.6850,,0.6989,,0.3189
38.7000,,0.0104,,0.6871,,0.7017,,0.3204
