Sample,Pathlength,Temperature,Absorbance
7,1,29.8,0.4785
7,1,30.1,0.479
7,1,30.7,0.4789
7,1,31.2,0.4797
7,1,31.7,0.4807
7,1,32.2,0.4807
7,1,32.5,0.4801
7,1,33.1,0.4789
7,1,33.6,0.4802
7,1,34.1,0.4815
7,1,34.6,0.4811
7,1,35,0.4817
7,1,35.5,0.4824
7,1,36,0.4831
7,1,36.6,0.4832
7,1,37.1,0.4844
7,1,37.5,0.4844
7,1,38,0.4851
7,1,38.5,0.4852
7,1,39,0.4855
7,1,39.5,0.4858
7,1,40,0.4887
7,1,40.5,0.4873
7,1,41,0.4895
7,1,41.5,0.4912
7,1,42,0.4915
7,1,42.5,0.491
7,1,43,0.4916
7,1,43.5,0.4919
7,1,44,0.493
7,1,44.5,0.4938
7,1,45,0.4942
7,1,45.5,0.4947
7,1,46,0.4957
7,1,46.5,0.4969
7,1,47,0.4983
7,1,47.5,0.4991
7,1,48,0.4999
7,1,48.5,0.5018
7,1,49,0.5028
7,1,49.5,0.5042
7,1,50,0.5063
7,1,50.5,0.5068
7,1,51,0.5084
7,1,51.5,0.5102
7,1,52,0.5126
7,1,52.5,0.5137
7,1,53,0.5158
7,1,53.5,0.5178
7,1,54,0.5198
7,1,54.5,0.5223
7,1,55,0.5245
7,1,55.5,0.5266
7,1,56,0.5297
7,1,56.5,0.5325
7,1,57,0.5356
7,1,57.5,0.5391
7,1,57.9,0.543
7,1,58.5,0.5469
7,1,58.9,0.5514
7,1,59.5,0.5546
7,1,59.9,0.5582
7,1,60.5,0.5633
7,1,61,0.5679
7,1,61.4,0.5732
7,1,62,0.5795
7,1,62.4,0.5859
7,1,63,0.5918
7,1,63.5,0.5983
7,1,64,0.604
7,1,64.5,0.6102
7,1,65,0.6166
7,1,65.5,0.6249
7,1,65.9,0.6306
7,1,66.4,0.6377
7,1,67,0.6461
7,1,67.4,0.6544
7,1,67.9,0.6613
7,1,68.4,0.6659
7,1,68.9,0.674
7,1,69.4,0.681
7,1,69.9,0.6869
7,1,70.4,0.6937
7,1,71,0.7
7,1,71.4,0.7059
7,1,71.9,0.7112
7,1,72.4,0.7168
7,1,72.9,0.7211
7,1,73.4,0.7259
7,1,73.9,0.7301
7,1,74.4,0.7341
7,1,74.9,0.7372
7,1,75.3,0.7403
7,1,75.9,0.7436
7,1,76.4,0.7463
7,1,76.9,0.7487
7,1,77.4,0.7511
7,1,77.8,0.7531
7,1,78.4,0.7553
7,1,78.8,0.7573
7,1,79.4,0.7585
7,1,79.8,0.7605
7,1,80.3,0.7618
7,1,80.8,0.7635
7,1,81.4,0.7648
7,1,81.9,0.7668
7,1,82.3,0.7676
7,1,82.8,0.7688
7,1,83.2,0.7699
7,1,83.8,0.7709
7,1,84.3,0.7729
7,1,84.8,0.7745
7,1,85.2,0.776
7,1,85.7,0.7771
7,1,86.3,0.7786
7,1,86.8,0.7797
7,1,87.2,0.7812
7,1,87.8,0.782
7,1,88.2,0.7836
7,1,88.8,0.7847
7,1,89.5,0.7849
7,1,89.7,0.786
7,1,90.1,0.786
7,1,90.8,0.7863
7,1,91.1,0.7868
7,1,91.7,0.7873
7,1,92.2,0.7878
7,1,92.6,0.7884
7,1,93.2,0.7889
7,1,93.7,0.7892
7,1,94.3,0.7905
2,0.1,39.9,0.7708
2,0.1,40.1,0.771
2,0.1,40.7,0.7718
2,0.1,41.2,0.7731
2,0.1,41.6,0.7737
2,0.1,42.2,0.7745
2,0.1,42.7,0.7756
2,0.1,43.1,0.7766
2,0.1,43.7,0.7772
2,0.1,44.2,0.7782
2,0.1,44.7,0.7788
2,0.1,45.2,0.7793
2,0.1,45.6,0.7804
2,0.1,46.1,0.7809
2,0.1,46.6,0.7818
2,0.1,47.2,0.7826
2,0.1,47.7,0.7837
2,0.1,48.1,0.7842
2,0.1,48.6,0.785
2,0.1,49.1,0.7861
2,0.1,49.6,0.7867
2,0.1,50.1,0.7881
2,0.1,50.6,0.7889
2,0.1,51.1,0.7894
2,0.1,51.6,0.7903
2,0.1,52.1,0.7919
2,0.1,52.6,0.7922
2,0.1,53.1,0.7933
2,0.1,53.6,0.795
2,0.1,54.1,0.797
2,0.1,54.6,0.7987
2,0.1,55.2,0.8001
2,0.1,55.6,0.8018
2,0.1,56.1,0.8038
2,0.1,56.6,0.8061
2,0.1,57.1,0.8081
2,0.1,57.6,0.8101
2,0.1,58.1,0.8128
2,0.1,58.6,0.8151
2,0.1,59.1,0.8175
2,0.1,59.6,0.8204
2,0.1,60.1,0.8237
2,0.1,60.5,0.8258
