Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Melissa
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR8_Run1.dux
Date Acquired:,,,"December 08, 2016 9:02 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,95.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.8000,,0.0011,,1.2964,,1.2904,,0.4785
30.1000,,-0.0005,,1.2973,,1.2904,,0.4790
30.7000,,-0.0007,,1.2973,,1.2904,,0.4789
31.2000,,-0.0007,,1.2981,,1.2913,,0.4797
31.7000,,-0.0006,,1.2981,,1.2904,,0.4807
32.2000,,-0.0006,,1.2990,,1.2904,,0.4807
32.5000,,-0.0004,,1.2981,,1.2913,,0.4801
33.1000,,-0.0007,,1.2999,,1.2913,,0.4789
33.6000,,-0.0005,,1.3025,,1.2913,,0.4802
34.1000,,-0.0000,,1.3025,,1.2938,,0.4815
34.6000,,0.0000,,1.3025,,1.2938,,0.4811
35.0000,,-0.0009,,1.3051,,1.2930,,0.4817
35.5000,,0.0000,,1.3051,,1.2938,,0.4824
36.0000,,-0.0005,,1.3051,,1.2956,,0.4831
36.6000,,-0.0006,,1.3060,,1.2956,,0.4832
37.1000,,-0.0006,,1.3060,,1.2956,,0.4844
37.5000,,-0.0002,,1.3068,,1.2973,,0.4844
38.0000,,0.0000,,1.3068,,1.2973,,0.4851
38.5000,,-0.0006,,1.3086,,1.2981,,0.4852
39.0000,,-0.0005,,1.3086,,1.2990,,0.4855
39.5000,,0.0005,,1.3104,,1.3007,,0.4858
40.0000,,0.0000,,1.3113,,1.3007,,0.4887
40.5000,,-0.0002,,1.3113,,1.3007,,0.4873
41.0000,,0.0006,,1.3130,,1.3007,,0.4895
41.5000,,0.0000,,1.3148,,1.3033,,0.4912
42.0000,,0.0002,,1.3175,,1.3042,,0.4915
42.5000,,0.0000,,1.3175,,1.3060,,0.4910
43.0000,,0.0009,,1.3184,,1.3068,,0.4916
43.5000,,0.0008,,1.3193,,1.3086,,0.4919
44.0000,,0.0006,,1.3202,,1.3104,,0.4930
44.5000,,0.0003,,1.3220,,1.3095,,0.4938
45.0000,,0.0009,,1.3220,,1.3113,,0.4942
45.5000,,0.0004,,1.3220,,1.3121,,0.4947
46.0000,,0.0016,,1.3248,,1.3139,,0.4957
46.5000,,0.0012,,1.3248,,1.3148,,0.4969
47.0000,,0.0013,,1.3266,,1.3166,,0.4983
47.5000,,0.0012,,1.3285,,1.3184,,0.4991
48.0000,,0.0013,,1.3294,,1.3193,,0.4999
48.5000,,0.0011,,1.3303,,1.3211,,0.5018
