Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Melissa
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR8_Run3.dux
Date Acquired:,,,"December 08, 2016 12:03 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,40.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,95.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
40.1000,,0.0005,,0.4359,,0.4528,,0.2704
40.3000,,0.0004,,0.4359,,0.4533,,0.2747
40.8000,,0.0004,,0.4364,,0.4543,,0.2690
41.3000,,0.0005,,0.4369,,0.4551,,0.2731
41.8000,,0.0004,,0.4371,,0.4550,,0.2717
42.2000,,0.0004,,0.4372,,0.4555,,0.2734
42.8000,,0.0004,,0.4377,,0.4560,,0.2741
43.2000,,0.0004,,0.4384,,0.4567,,0.2749
43.8000,,0.0005,,0.4389,,0.4573,,0.2735
44.2000,,0.0005,,0.4394,,0.4579,,0.2786
44.7000,,0.0005,,0.4398,,0.4584,,0.2771
45.2000,,0.0005,,0.4405,,0.4593,,0.2779
45.7000,,0.0005,,0.4406,,0.4598,,0.2777
46.2000,,0.0005,,0.4413,,0.4608,,0.2805
46.7000,,0.0005,,0.4418,,0.4619,,0.2819
47.2000,,0.0005,,0.4423,,0.4629,,0.2817
47.7000,,0.0005,,0.4427,,0.4633,,0.2834
48.2000,,0.0006,,0.4432,,0.4639,,0.2871
48.7000,,0.0005,,0.4438,,0.4647,,0.2880
49.2000,,0.0005,,0.4444,,0.4654,,0.2880
49.7000,,0.0006,,0.4452,,0.4667,,0.2894
50.2000,,0.0005,,0.4456,,0.4675,,0.2905
50.7000,,0.0005,,0.4462,,0.4685,,0.2909
51.1000,,0.0005,,0.4471,,0.4698,,0.2935
51.7000,,0.0005,,0.4481,,0.4708,,0.2953
52.2000,,0.0005,,0.4487,,0.4721,,0.2973
52.7000,,0.0005,,0.4495,,0.4733,,0.2993
53.2000,,0.0004,,0.4505,,0.4746,,0.3013
53.6000,,0.0006,,0.4516,,0.4762,,0.3035
54.1000,,0.0005,,0.4523,,0.4773,,0.3070
54.6000,,0.0006,,0.4530,,0.4794,,0.3105
55.2000,,0.0006,,0.4542,,0.4810,,0.3115
55.6000,,0.0005,,0.4555,,0.4830,,0.3112
56.1000,,0.0005,,0.4568,,0.4848,,0.3143
56.6000,,0.0005,,0.4581,,0.4867,,0.3168
57.2000,,0.0005,,0.4593,,0.4890,,0.3200
57.6000,,0.0005,,0.4610,,0.4917,,0.3206
58.1000,,0.0007,,0.4626,,0.4938,,0.3232
58.6000,,0.0006,,0.4641,,0.4962,,0.3259
