Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Melissa
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR8_Run4.dux
Date Acquired:,,,"January 17, 2017 8:38 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,20.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3
(°C),,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, 
20.1000,,-0.0002,,0.2365,,0.3048
20.4000,,-0.0001,,0.2368,,0.3052
20.9000,,-0.0003,,0.2366,,0.3047
21.3000,,-0.0005,,0.2368,,0.3052
21.8000,,-0.0003,,0.2370,,0.3055
22.3000,,-0.0009,,0.2369,,0.3055
22.8000,,-0.0007,,0.2371,,0.3055
23.4000,,-0.0005,,0.2372,,0.3052
23.9000,,-0.0008,,0.2374,,0.3056
24.4000,,-0.0011,,0.2375,,0.3058
24.8000,,-0.0013,,0.2376,,0.3054
25.2000,,-0.0013,,0.2379,,0.3055
25.7000,,-0.0015,,0.2379,,0.3055
26.2000,,-0.0015,,0.2383,,0.3058
26.8000,,-0.0016,,0.2384,,0.3059
27.2000,,-0.0014,,0.2388,,0.3064
27.7000,,-0.0013,,0.2390,,0.3064
28.2000,,-0.0007,,0.2392,,0.3066
28.7000,,-0.0002,,0.2395,,0.3068
29.2000,,-0.0006,,0.2396,,0.3071
29.7000,,-0.0008,,0.2400,,0.3074
30.2000,,-0.0011,,0.2402,,0.3079
30.7000,,-0.0013,,0.2404,,0.3083
31.2000,,-0.0011,,0.2404,,0.3085
31.7000,,-0.0013,,0.2406,,0.3091
32.2000,,-0.0014,,0.2409,,0.3098
