Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AC2\New Melts\melt2.dux
Date Acquired:,,,"July 18, 2006 1:16 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.9000,,-0.0210,,0.4052,,0.7513,,0.3242
11.2000,,-0.0716,,0.4698,,0.8229,,0.4131
11.7000,,-0.1263,,0.5319,,0.8922,,0.4865
12.2000,,-0.1669,,0.5783,,0.9462,,0.5414
12.6000,,-0.1946,,0.6099,,0.9839,,0.5756
13.1000,,-0.2018,,0.6193,,0.9983,,0.5887
13.6000,,-0.2020,,0.6197,,1.0029,,0.5900
14.1000,,-0.2025,,0.6200,,1.0069,,0.5913
14.6000,,-0.2034,,0.6184,,1.0097,,0.5925
15.0000,,-0.2050,,0.6164,,1.0114,,0.5936
15.5000,,-0.2083,,0.6155,,1.0136,,0.5949
16.0000,,-0.2147,,0.6172,,1.0171,,0.5950
16.5000,,-0.2320,,0.6289,,1.0256,,0.5971
17.0000,,-0.2762,,0.6718,,1.0550,,0.6163
17.5000,,-0.3000,,0.6966,,1.0526,,0.6061
17.9000,,-0.3000,,0.6980,,1.0147,,0.5626
18.5000,,-0.3000,,0.6995,,0.9896,,0.4991
18.9000,,-0.3000,,0.7007,,0.9900,,0.4503
19.4000,,-0.3000,,0.7021,,0.9915,,0.4506
19.9000,,-0.3000,,0.7033,,0.9930,,0.4514
20.4000,,-0.3000,,0.7046,,0.9946,,0.4518
20.9000,,-0.3000,,0.7058,,0.9961,,0.4525
21.4000,,-0.3000,,0.7074,,0.9973,,0.4530
21.9000,,-0.3000,,0.7088,,0.9996,,0.4536
22.4000,,-0.3000,,0.7106,,1.0008,,0.4541
22.9000,,-0.3000,,0.7118,,1.0023,,0.4547
23.4000,,-0.3000,,0.7132,,1.0043,,0.4549
23.9000,,-0.3000,,0.7146,,1.0055,,0.4556
24.4000,,-0.3000,,0.7165,,1.0075,,0.4564
24.9000,,-0.3000,,0.7175,,1.0094,,0.4569
25.4000,,-0.3000,,0.7191,,1.0102,,0.4576
25.8000,,-0.3000,,0.7205,,1.0118,,0.4579
26.3000,,-0.3000,,0.7218,,1.0126,,0.4584
26.6000,,-0.3000,,0.7230,,1.0142,,0.4588
27.1000,,-0.3000,,0.7244,,1.0147,,0.4593
27.6000,,-0.3000,,0.7261,,1.0167,,0.4597
28.0000,,-0.3000,,0.7273,,1.0179,,0.4599
28.5000,,-0.3000,,0.7288,,1.0199,,0.4605
