Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AC2\New Melts\melt3.dux
Date Acquired:,,,"July 19, 2006 9:52 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.3000,,0.0085,,0.4505,,0.6198,,0.3886
10.7000,,0.0094,,0.4654,,0.6190,,0.4224
11.1000,,0.0033,,0.4841,,0.6254,,0.4447
11.6000,,-0.0117,,0.5089,,0.6415,,0.4695
12.1000,,-0.0039,,0.5101,,0.6345,,0.4619
12.6000,,0.0030,,0.5109,,0.6292,,0.4574
13.1000,,0.0076,,0.5114,,0.6236,,0.4533
13.6000,,0.0120,,0.5113,,0.6197,,0.4494
14.1000,,0.0153,,0.5112,,0.6170,,0.4448
14.6000,,0.0185,,0.5109,,0.6155,,0.4402
15.0000,,0.0199,,0.5102,,0.6149,,0.4289
15.5000,,0.0200,,0.5092,,0.6148,,0.4075
16.0000,,0.0197,,0.5087,,0.6162,,0.3838
16.5000,,0.0192,,0.5072,,0.6179,,0.3544
17.0000,,0.0173,,0.5020,,0.6209,,0.3250
17.5000,,0.0151,,0.4921,,0.6242,,0.2987
18.0000,,0.0091,,0.4785,,0.6303,,0.2751
18.4000,,-0.0014,,0.4498,,0.6419,,0.2620
19.0000,,-0.0175,,0.4392,,0.6591,,0.2644
19.4000,,-0.0449,,0.4672,,0.6874,,0.2919
19.9000,,-0.0833,,0.5067,,0.7276,,0.3307
20.4000,,-0.0877,,0.5112,,0.7320,,0.3347
20.9000,,-0.0877,,0.5120,,0.7333,,0.3350
21.4000,,-0.0875,,0.5129,,0.7343,,0.3353
21.9000,,-0.0875,,0.5135,,0.7351,,0.3356
22.4000,,-0.0873,,0.5145,,0.7361,,0.3360
22.9000,,-0.0880,,0.5156,,0.7375,,0.3363
23.4000,,-0.0880,,0.5165,,0.7388,,0.3367
23.9000,,-0.0879,,0.5175,,0.7401,,0.3370
24.4000,,-0.0877,,0.5180,,0.7409,,0.3371
25.0000,,-0.0876,,0.5194,,0.7422,,0.3375
25.4000,,-0.0883,,0.5201,,0.7434,,0.3378
25.8000,,-0.0882,,0.5206,,0.7441,,0.3381
26.3000,,-0.0879,,0.5214,,0.7451,,0.3380
26.8000,,-0.0879,,0.5221,,0.7459,,0.3382
27.3000,,-0.0878,,0.5233,,0.7474,,0.3386
27.7000,,-0.0884,,0.5239,,0.7485,,0.3390
28.2000,,-0.0884,,0.5249,,0.7495,,0.3392
