Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AC4\melt3.dux
Date Acquired:,,,"August 09, 2006 12:28 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.3000,,-0.0512,,0.3352,,0.5305,,0.4465
10.6000,,-0.0470,,0.3346,,0.5265,,0.3611
11.1000,,-0.0395,,0.3312,,0.5188,,0.3183
11.6000,,-0.0372,,0.3307,,0.5168,,0.3136
12.1000,,-0.0375,,0.3310,,0.5178,,0.3111
12.6000,,-0.0398,,0.3310,,0.5205,,0.3136
13.1000,,-0.0416,,0.3296,,0.5230,,0.3146
13.5000,,-0.0444,,0.3257,,0.5263,,0.3156
14.0000,,-0.0472,,0.3185,,0.5298,,0.3186
14.5000,,-0.0505,,0.3083,,0.5336,,0.3217
15.0000,,-0.0523,,0.2967,,0.5359,,0.3239
15.5000,,-0.0528,,0.2902,,0.5369,,0.3248
16.0000,,-0.0529,,0.2901,,0.5376,,0.3251
16.5000,,-0.0529,,0.2902,,0.5380,,0.3255
16.9000,,-0.0529,,0.2903,,0.5387,,0.3256
17.4000,,-0.0529,,0.2907,,0.5393,,0.3262
17.9000,,-0.0529,,0.2907,,0.5399,,0.3266
18.4000,,-0.0530,,0.2912,,0.5407,,0.3269
18.9000,,-0.0529,,0.2912,,0.5413,,0.3271
19.4000,,-0.0531,,0.2914,,0.5421,,0.3279
19.9000,,-0.0529,,0.2915,,0.5426,,0.3279
20.4000,,-0.0531,,0.2918,,0.5433,,0.3285
20.9000,,-0.0530,,0.2918,,0.5441,,0.3290
21.3000,,-0.0530,,0.2921,,0.5445,,0.3292
21.8000,,-0.0530,,0.2922,,0.5452,,0.3294
22.3000,,-0.0530,,0.2925,,0.5459,,0.3300
22.9000,,-0.0529,,0.2927,,0.5466,,0.3304
23.4000,,-0.0530,,0.2930,,0.5473,,0.3309
23.9000,,-0.0529,,0.2932,,0.5479,,0.3313
24.4000,,-0.0530,,0.2935,,0.5488,,0.3319
24.9000,,-0.0529,,0.2937,,0.5494,,0.3321
25.3000,,-0.0530,,0.2942,,0.5500,,0.3325
25.7000,,-0.0530,,0.2946,,0.5509,,0.3330
26.3000,,-0.0530,,0.2950,,0.5517,,0.3339
26.8000,,-0.0530,,0.2954,,0.5526,,0.3343
27.2000,,-0.0529,,0.2956,,0.5535,,0.3351
27.7000,,-0.0530,,0.2961,,0.5544,,0.3355
28.2000,,-0.0529,,0.2964,,0.5551,,0.3357
