Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AQ1\melt1.dux
Date Acquired:,,,"September 21, 2006 9:12 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
30.1000,,0.0028,,1.8555,,2.3884,,0.7796
29.5000,,-0.0001,,1.8494,,2.3913,,0.7958
30.1000,,-0.0004,,1.8409,,2.3269,,0.8084
30.7000,,-0.0004,,1.8366,,2.3405,,0.7905
31.2000,,-0.0021,,1.8361,,2.3562,,0.8127
31.6000,,-0.0002,,1.8342,,2.3472,,0.8205
32.1000,,-0.0007,,1.8368,,2.3476,,0.8243
32.6000,,-0.0008,,1.8413,,2.3620,,0.8234
33.1000,,-0.0002,,1.8473,,2.3687,,0.8282
33.6000,,-0.0006,,1.8522,,2.3691,,0.8329
34.1000,,-0.0006,,1.8590,,2.3766,,0.8370
34.6000,,-0.0009,,1.8638,,2.3844,,0.8393
35.0000,,-0.0005,,1.8727,,2.3995,,0.8404
35.5000,,-0.0005,,1.8774,,2.3995,,0.8416
36.0000,,-0.0009,,1.8826,,2.4160,,0.8436
36.5000,,-0.0035,,1.8901,,2.4269,,0.8469
37.0000,,-0.0007,,1.8921,,2.4241,,0.8454
37.5000,,-0.0008,,1.9021,,2.4412,,0.8459
38.0000,,-0.0011,,1.9100,,2.4415,,0.8471
38.5000,,-0.0008,,1.9149,,2.4413,,0.8482
39.0000,,-0.0009,,1.9176,,2.4413,,0.8490
39.5000,,-0.0012,,1.9284,,2.4684,,0.8498
40.0000,,-0.0012,,1.9284,,2.4594,,0.8495
40.5000,,-0.0008,,1.9388,,2.4590,,0.8511
41.0000,,-0.0010,,1.9417,,2.4591,,0.8517
41.5000,,-0.0013,,1.9503,,2.4779,,0.8526
42.0000,,-0.0017,,1.9564,,2.4783,,0.8538
42.5000,,-0.0008,,1.9584,,2.4870,,0.8535
43.0000,,-0.0013,,1.9674,,2.4874,,0.8546
43.4000,,-0.0012,,1.9674,,2.4874,,0.8548
43.9000,,-0.0008,,1.9788,,2.4967,,0.8553
44.4000,,-0.0010,,1.9851,,2.4970,,0.8562
44.9000,,-0.0011,,1.9882,,2.5070,,0.8565
45.4000,,-0.0041,,1.9943,,2.5100,,0.8579
45.9000,,-0.0009,,2.0036,,2.5275,,0.8577
46.5000,,-0.0013,,2.0103,,2.5174,,0.8582
46.9000,,-0.0014,,2.0137,,2.5280,,0.8588
47.4000,,-0.0028,,2.0216,,2.5294,,0.8607
