Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AQ1\melt5.dux
Date Acquired:,,,"October 10, 2006 2:34 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.9000,,0.0001,,0.0681,,0.3871,,0.1964
30.3000,,0.0001,,0.0680,,0.3881,,0.1977
30.8000,,0.0001,,0.0681,,0.3894,,0.1980
31.3000,,0.0002,,0.0681,,0.3902,,0.1974
31.8000,,0.0002,,0.0683,,0.3918,,0.1977
32.2000,,0.0003,,0.0684,,0.3928,,0.1982
32.6000,,0.0002,,0.0688,,0.3940,,0.1987
33.1000,,0.0002,,0.0689,,0.3950,,0.1993
33.6000,,0.0002,,0.0691,,0.3959,,0.1997
34.1000,,0.0002,,0.0692,,0.3967,,0.2000
34.6000,,0.0002,,0.0693,,0.3974,,0.2006
35.0000,,0.0002,,0.0694,,0.3980,,0.2004
35.5000,,0.0002,,0.0695,,0.3986,,0.2006
36.0000,,0.0002,,0.0696,,0.3992,,0.2010
36.6000,,0.0002,,0.0698,,0.3994,,0.2011
37.0000,,0.0002,,0.0698,,0.4000,,0.2010
37.5000,,0.0002,,0.0699,,0.4003,,0.2014
38.0000,,0.0002,,0.0699,,0.4007,,0.2015
38.5000,,0.0002,,0.0700,,0.4012,,0.2014
39.0000,,0.0002,,0.0702,,0.4017,,0.2018
39.5000,,0.0002,,0.0703,,0.4021,,0.2017
40.0000,,0.0002,,0.0704,,0.4021,,0.2017
40.5000,,0.0003,,0.0704,,0.4025,,0.2016
41.0000,,0.0003,,0.0706,,0.4028,,0.2018
41.5000,,0.0002,,0.0707,,0.4032,,0.2019
41.9000,,0.0002,,0.0709,,0.4034,,0.2019
42.5000,,0.0003,,0.0709,,0.4037,,0.2021
42.9000,,0.0003,,0.0711,,0.4042,,0.2022
43.5000,,0.0003,,0.0711,,0.4044,,0.2024
43.9000,,0.0003,,0.0713,,0.4050,,0.2024
44.4000,,0.0003,,0.0715,,0.4057,,0.2026
44.9000,,0.0002,,0.0719,,0.4065,,0.2028
45.5000,,0.0002,,0.0724,,0.4069,,0.2028
45.9000,,0.0003,,0.0729,,0.4073,,0.2029
46.4000,,0.0003,,0.0736,,0.4077,,0.2030
46.9000,,0.0003,,0.0745,,0.4086,,0.2032
47.4000,,0.0003,,0.0753,,0.4080,,0.2034
47.9000,,0.0003,,0.0756,,0.4088,,0.2035
48.4000,,0.0003,,0.0758,,0.4094,,0.2037
