Sample,Pathlength,Temperature,Absorbance
4,0.5,29.4,1.4612
4,0.5,29.9,1.4628
4,0.5,30.3,1.4642
4,0.5,30.9,1.4657
4,0.5,31.4,1.4678
4,0.5,31.8,1.4709
4,0.5,32.2,1.4723
4,0.5,32.7,1.4758
4,0.5,33.2,1.4789
4,0.5,33.7,1.4823
4,0.5,34.2,1.4859
4,0.5,34.7,1.4892
4,0.5,35.2,1.4933
4,0.5,35.6,1.4997
4,0.5,36.1,1.5045
4,0.5,36.6,1.5092
4,0.5,37.1,1.5151
4,0.5,37.6,1.5223
4,0.5,38.1,1.5292
4,0.5,38.6,1.5354
4,0.5,39.1,1.5422
4,0.5,39.6,1.5482
4,0.5,40.1,1.5539
4,0.5,40.6,1.5593
4,0.5,41.1,1.5653
4,0.5,41.5,1.5705
4,0.5,42.1,1.5744
4,0.5,42.5,1.5808
4,0.5,43,1.5859
4,0.5,43.5,1.5915
4,0.5,44,1.5972
4,0.5,44.6,1.6039
4,0.5,45,1.607
4,0.5,45.5,1.6138
4,0.5,46,1.6196
4,0.5,46.5,1.6256
4,0.5,46.9,1.6314
4,0.5,47.5,1.6385
4,0.5,47.9,1.6437
4,0.5,48.5,1.6496
4,0.5,49,1.6572
4,0.5,49.4,1.6635
4,0.5,49.9,1.6701
4,0.5,50.4,1.6766
4,0.5,50.9,1.6831
4,0.5,51.4,1.6912
4,0.5,51.9,1.6952
4,0.5,52.4,1.7025
4,0.5,52.9,1.711
4,0.5,53.4,1.718
4,0.5,53.9,1.7268
4,0.5,54.3,1.7343
4,0.5,54.9,1.7404
4,0.5,55.3,1.7499
4,0.5,55.9,1.7577
4,0.5,56.3,1.764
4,0.5,56.9,1.7723
4,0.5,57.3,1.7804
4,0.5,57.8,1.7889
4,0.5,58.4,1.7976
4,0.5,58.8,1.8063
4,0.5,59.3,1.8171
4,0.5,59.8,1.8245
4,0.5,60.2,1.834
4,0.5,60.7,1.8434
4,0.5,61.3,1.8553
4,0.5,61.8,1.8634
4,0.5,62.2,1.8755
4,0.5,62.7,1.8863
4,0.5,63.2,1.8949
4,0.5,63.7,1.9061
4,0.5,64.2,1.9174
4,0.5,64.7,1.9337
4,0.5,65.2,1.941
4,0.5,65.6,1.9559
4,0.5,66.2,1.971
4,0.5,66.7,1.9815
4,0.5,67.2,1.9923
4,0.5,67.7,2.0088
4,0.5,68.2,2.0206
4,0.5,68.6,2.0383
4,0.5,69.1,2.0506
4,0.5,69.6,2.0635
4,0.5,70,2.0764
4,0.5,70.6,2.0901
4,0.5,71.1,2.1039
4,0.5,71.5,2.1219
4,0.5,72.1,2.137
4,0.5,72.7,2.1485
4,0.5,73.1,2.1643
4,0.5,73.5,2.1768
4,0.5,74,2.198
4,0.5,74.5,2.2115
4,0.5,75.1,2.2208
4,0.5,75.5,2.2346
4,0.5,76,2.2542
4,0.5,76.5,2.2593
4,0.5,76.9,2.2746
4,0.5,77.4,2.2906
4,0.5,77.9,2.296
4,0.5,78.5,2.3128
4,0.5,78.9,2.3304
4,0.5,79.4,2.3423
4,0.5,80,2.3548
4,0.5,80.2,2.3609
4,0.5,80.9,2.374
4,0.5,81.3,2.3805
4,0.5,81.7,2.3873
4,0.5,82.1,2.3942
4,0.5,82.3,2.4082
4,0.5,82.4,2.4082
4,0.5,82.6,2.4226
4,0.5,82.9,2.4226
4,0.5,83.4,2.4372
4,0.5,84,2.4373
4,0.5,84.4,2.453
4,0.5,84.9,2.4528
4,0.5,85.4,2.4528
4,0.5,85.7,2.4689
4,0.5,86.4,2.4854
4,0.5,86.9,2.4856
4,0.5,87.3,2.5028
4,0.5,87.8,2.494
4,0.5,88.3,2.5027
4,0.5,88.9,2.53
4,0.5,89.2,2.5207
4,0.5,89.7,2.53
4,0.5,90,2.5396
4,0.5,90.3,2.5395
4,0.5,90.5,2.5395
4,0.5,90.6,2.5591
4,0.5,90.8,2.5591
4,0.5,91.2,2.5489
4,0.5,91.3,2.5691
4,0.5,91.4,2.5692
4,0.5,91.6,2.5691
4,0.5,91.6,2.5589
4,0.5,91.7,2.5795
4,0.5,91.7,2.5796
4,0.5,91.8,2.5795
4,0.5,92,2.5901
4,0.5,92,2.5795
4,0.5,92.1,2.5901
4,0.5,92.1,2.59
4,0.5,92.1,2.6011
4,0.5,92.2,2.59
4,0.5,92.2,2.601
4,0.5,92.4,2.6009
4,0.5,92.4,2.6008
4,0.5,92.4,2.6008
4,0.5,92.4,2.6235
