Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AQ2\melt2.dux
Date Acquired:,,,"September 25, 2006 4:37 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.4000,,-0.0001,,0.1108,,0.8851,,0.3962
29.9000,,-0.0001,,0.1130,,0.8869,,0.3972
30.4000,,-0.0002,,0.1153,,0.8886,,0.3975
30.9000,,-0.0002,,0.1166,,0.8904,,0.3982
31.4000,,-0.0002,,0.1167,,0.8917,,0.3989
31.9000,,-0.0002,,0.1160,,0.8939,,0.4002
32.3000,,-0.0001,,0.1151,,0.8958,,0.4004
32.8000,,-0.0002,,0.1141,,0.8974,,0.4014
33.3000,,-0.0002,,0.1138,,0.8995,,0.4022
33.8000,,-0.0002,,0.1140,,0.9014,,0.4031
34.3000,,-0.0002,,0.1149,,0.9042,,0.4039
34.8000,,-0.0002,,0.1162,,0.9066,,0.4045
35.3000,,-0.0002,,0.1178,,0.9093,,0.4055
35.7000,,-0.0003,,0.1194,,0.9121,,0.4065
36.2000,,-0.0001,,0.1206,,0.9152,,0.4077
36.8000,,-0.0002,,0.1218,,0.9181,,0.4090
37.2000,,-0.0002,,0.1223,,0.9218,,0.4104
37.7000,,-0.0001,,0.1228,,0.9255,,0.4121
38.2000,,-0.0002,,0.1235,,0.9294,,0.4139
38.7000,,-0.0002,,0.1246,,0.9342,,0.4164
39.2000,,-0.0002,,0.1261,,0.9386,,0.4184
39.7000,,-0.0002,,0.1281,,0.9430,,0.4210
40.2000,,-0.0002,,0.1304,,0.9474,,0.4232
40.7000,,-0.0002,,0.1335,,0.9514,,0.4257
41.2000,,-0.0003,,0.1366,,0.9550,,0.4279
41.6000,,-0.0002,,0.1395,,0.9590,,0.4300
42.2000,,-0.0001,,0.1422,,0.9620,,0.4319
42.6000,,-0.0002,,0.1447,,0.9654,,0.4335
43.2000,,-0.0002,,0.1468,,0.9694,,0.4352
43.7000,,-0.0002,,0.1485,,0.9733,,0.4363
44.1000,,-0.0004,,0.1497,,0.9761,,0.4380
44.6000,,-0.0002,,0.1502,,0.9800,,0.4390
45.1000,,-0.0002,,0.1502,,0.9829,,0.4403
45.6000,,-0.0002,,0.1502,,0.9867,,0.4415
46.1000,,-0.0002,,0.1501,,0.9906,,0.4428
46.6000,,-0.0003,,0.1495,,0.9936,,0.4440
47.1000,,-0.0003,,0.1490,,0.9975,,0.4454
47.6000,,-0.0002,,0.1482,,1.0011,,0.4464
