Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AQ2\melt3.dux
Date Acquired:,,,"October 04, 2006 9:01 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.5000,,0.0002,,0.0325,,0.5407,,0.2694
29.9000,,0.0002,,0.0324,,0.5418,,0.2698
30.5000,,0.0000,,0.0324,,0.5429,,0.2705
30.9000,,0.0001,,0.0323,,0.5437,,0.2707
31.4000,,-0.0001,,0.0323,,0.5456,,0.2714
32.0000,,-0.0001,,0.0322,,0.5465,,0.2716
32.3000,,-0.0002,,0.0321,,0.5476,,0.2722
32.8000,,-0.0003,,0.0321,,0.5490,,0.2730
33.4000,,-0.0001,,0.0317,,0.5501,,0.2738
33.9000,,-0.0003,,0.0318,,0.5520,,0.2739
34.3000,,-0.0002,,0.0317,,0.5532,,0.2744
34.8000,,-0.0004,,0.0319,,0.5549,,0.2752
35.3000,,-0.0004,,0.0322,,0.5567,,0.2761
35.9000,,-0.0004,,0.0323,,0.5588,,0.2768
36.3000,,-0.0004,,0.0324,,0.5607,,0.2779
36.8000,,-0.0005,,0.0327,,0.5632,,0.2790
37.3000,,-0.0004,,0.0328,,0.5655,,0.2801
37.8000,,-0.0005,,0.0331,,0.5685,,0.2815
38.3000,,-0.0005,,0.0334,,0.5715,,0.2832
38.9000,,-0.0005,,0.0335,,0.5748,,0.2848
39.3000,,-0.0005,,0.0338,,0.5778,,0.2867
39.8000,,-0.0006,,0.0341,,0.5810,,0.2890
40.3000,,-0.0005,,0.0343,,0.5838,,0.2908
40.8000,,-0.0005,,0.0345,,0.5867,,0.2928
41.3000,,-0.0006,,0.0348,,0.5893,,0.2947
41.8000,,-0.0006,,0.0349,,0.5917,,0.2965
42.3000,,-0.0006,,0.0352,,0.5937,,0.2975
42.8000,,-0.0006,,0.0351,,0.5961,,0.2989
43.3000,,-0.0005,,0.0352,,0.5981,,0.2998
43.8000,,-0.0007,,0.0355,,0.6003,,0.3007
44.3000,,-0.0003,,0.0353,,0.6023,,0.3012
44.8000,,-0.0008,,0.0358,,0.6045,,0.3024
45.3000,,-0.0007,,0.0358,,0.6064,,0.3031
45.8000,,-0.0006,,0.0358,,0.6084,,0.3039
46.3000,,-0.0006,,0.0359,,0.6105,,0.3046
46.8000,,-0.0007,,0.0361,,0.6126,,0.3053
47.3000,,-0.0007,,0.0362,,0.6142,,0.3062
47.8000,,-0.0004,,0.0359,,0.6159,,0.3062
