Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3BH1\melt1.dux
Date Acquired:,,,"April 23, 2007 12:01 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.7000,,-0.0010,,2.7564,,3.0352,,1.4577
29.9000,,-0.0008,,2.7563,,3.0808,,1.4680
30.4000,,-0.0012,,2.7802,,3.0812,,1.4649
30.9000,,-0.0012,,2.8050,,3.0355,,1.4708
31.4000,,-0.0009,,2.7799,,3.0351,,1.4717
31.9000,,-0.0012,,2.8050,,3.0812,,1.4731
32.3000,,-0.0010,,2.8048,,3.0810,,1.4790
32.8000,,-0.0011,,2.8312,,3.1322,,1.4802
33.3000,,-0.0011,,2.8312,,3.1323,,1.4827
33.8000,,-0.0010,,2.8311,,3.1321,,1.4850
34.3000,,-0.0014,,2.8595,,3.1325,,1.4866
34.8000,,-0.0014,,2.8895,,3.1325,,1.4878
35.3000,,-0.0012,,2.8893,,3.1323,,1.4901
35.8000,,-0.0014,,2.8596,,3.1906,,1.4941
36.3000,,-0.0014,,2.8596,,3.0814,,1.4953
36.7000,,-0.0014,,2.8895,,3.1325,,1.4978
37.3000,,-0.0015,,2.8896,,3.1327,,1.4992
37.7000,,-0.0015,,2.8896,,3.1906,,1.5017
38.2000,,-0.0017,,2.9220,,3.1908,,1.5032
38.7000,,-0.0017,,2.9220,,3.1908,,1.5044
39.2000,,-0.0016,,2.8897,,3.1907,,1.5069
39.7000,,-0.0017,,2.8898,,3.1909,,1.5083
40.2000,,-0.0016,,2.9219,,3.1327,,1.5121
40.7000,,-0.0019,,2.9222,,3.1910,,1.5137
41.2000,,-0.0018,,2.9221,,3.1329,,1.5149
41.7000,,-0.0020,,2.9222,,3.1331,,1.5177
42.1000,,-0.0019,,2.9222,,3.1910,,1.5202
42.6000,,-0.0020,,2.9223,,3.1331,,1.5217
43.2000,,-0.0020,,2.9223,,3.1911,,1.5243
43.7000,,-0.0019,,2.9222,,3.1910,,1.5269
44.2000,,-0.0020,,2.9571,,3.2581,,1.5311
44.7000,,-0.0020,,2.9570,,3.1911,,1.5324
45.1000,,-0.0020,,2.9949,,3.1912,,1.5352
45.6000,,-0.0019,,2.9948,,3.1911,,1.5378
46.1000,,-0.0021,,3.0363,,3.2582,,1.5422
46.6000,,-0.0021,,2.9950,,3.1913,,1.5436
47.1000,,-0.0021,,2.9950,,3.2582,,1.5464
47.6000,,-0.0020,,3.0363,,3.2581,,1.5505
