Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3BH1\melt3_2.dux
Date Acquired:,,,"April 23, 2007 5:05 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
30.9000,,0.0002,,0.0222,,2.2481,,0.7313
30.7000,,0.0004,,0.0222,,2.2551,,0.7322
31.2000,,0.0003,,0.0219,,2.2625,,0.7332
31.6000,,0.0003,,0.0217,,2.2699,,0.7340
32.1000,,0.0004,,0.0215,,2.2774,,0.7353
32.5000,,0.0004,,0.0214,,2.2774,,0.7362
32.9000,,0.0003,,0.0213,,2.2775,,0.7369
33.4000,,0.0002,,0.0213,,2.2852,,0.7380
33.8000,,0.0002,,0.0213,,2.2852,,0.7389
34.3000,,0.0003,,0.0211,,2.2929,,0.7402
34.7000,,0.0003,,0.0210,,2.2929,,0.7408
35.2000,,0.0003,,0.0209,,2.2929,,0.7419
35.7000,,0.0003,,0.0208,,2.3009,,0.7426
36.2000,,0.0004,,0.0207,,2.3009,,0.7437
36.6000,,0.0003,,0.0208,,2.3091,,0.7446
37.1000,,0.0003,,0.0208,,2.3090,,0.7457
37.6000,,0.0003,,0.0206,,2.3257,,0.7466
38.1000,,0.0003,,0.0206,,2.3257,,0.7473
38.5000,,0.0003,,0.0205,,2.3258,,0.7485
39.1000,,0.0003,,0.0205,,2.3343,,0.7491
39.6000,,0.0003,,0.0204,,2.3257,,0.7500
40.0000,,0.0004,,0.0203,,2.3343,,0.7508
40.5000,,0.0003,,0.0204,,2.3431,,0.7518
41.0000,,0.0003,,0.0204,,2.3431,,0.7527
41.5000,,0.0002,,0.0204,,2.3521,,0.7537
42.0000,,0.0004,,0.0202,,2.3520,,0.7547
42.5000,,0.0003,,0.0202,,2.3612,,0.7557
43.0000,,0.0003,,0.0202,,2.3521,,0.7567
43.5000,,0.0003,,0.0201,,2.3705,,0.7578
44.0000,,0.0004,,0.0200,,2.3705,,0.7586
44.5000,,0.0002,,0.0200,,2.3706,,0.7597
44.9000,,0.0003,,0.0200,,2.3801,,0.7605
45.5000,,0.0002,,0.0199,,2.3802,,0.7615
45.9000,,0.0002,,0.0200,,2.3707,,0.7633
46.4000,,0.0002,,0.0198,,2.3899,,0.7641
46.9000,,0.0002,,0.0197,,2.3899,,0.7650
47.4000,,0.0003,,0.0196,,2.3999,,0.7664
47.9000,,0.0003,,0.0195,,2.4101,,0.7678
48.4000,,0.0004,,0.0194,,2.4100,,0.7692
