Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3BH1\melt4.dux
Date Acquired:,,,"April 24, 2007 9:13 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.4000,,0.0001,,0.2832,,1.2494,,0.4228
29.9000,,0.0001,,0.2835,,1.2517,,0.4238
30.4000,,0.0000,,0.2840,,1.2547,,0.4241
30.8000,,-0.0000,,0.2847,,1.2577,,0.4252
31.4000,,-0.0001,,0.2852,,1.2600,,0.4254
31.8000,,-0.0002,,0.2856,,1.2646,,0.4258
32.2000,,-0.0003,,0.2860,,1.2655,,0.4265
32.7000,,-0.0002,,0.2865,,1.2685,,0.4269
33.2000,,-0.0004,,0.2871,,1.2709,,0.4279
33.7000,,-0.0004,,0.2876,,1.2732,,0.4280
34.2000,,-0.0004,,0.2881,,1.2748,,0.4284
34.7000,,-0.0005,,0.2886,,1.2788,,0.4292
35.2000,,-0.0005,,0.2891,,1.2811,,0.4294
35.7000,,-0.0006,,0.2898,,1.2836,,0.4302
36.2000,,-0.0007,,0.2904,,1.2868,,0.4306
36.7000,,-0.0007,,0.2908,,1.2892,,0.4310
37.2000,,-0.0007,,0.2911,,1.2925,,0.4316
37.7000,,-0.0008,,0.2915,,1.2950,,0.4323
38.2000,,-0.0008,,0.2917,,1.2974,,0.4326
38.7000,,-0.0008,,0.2917,,1.2999,,0.4330
39.1000,,-0.0010,,0.2918,,1.3025,,0.4337
39.7000,,-0.0011,,0.2918,,1.3051,,0.4342
40.1000,,-0.0010,,0.2916,,1.3075,,0.4349
40.7000,,-0.0011,,0.2915,,1.3101,,0.4358
41.2000,,-0.0012,,0.2915,,1.3127,,0.4361
41.6000,,-0.0012,,0.2912,,1.3153,,0.4366
42.1000,,-0.0012,,0.2915,,1.3178,,0.4369
42.7000,,-0.0013,,0.2922,,1.3214,,0.4376
43.1000,,-0.0014,,0.2926,,1.3231,,0.4382
43.6000,,-0.0014,,0.2936,,1.3258,,0.4386
44.1000,,-0.0015,,0.2946,,1.3285,,0.4392
44.6000,,-0.0015,,0.2958,,1.3311,,0.4399
45.1000,,-0.0015,,0.2972,,1.3347,,0.4403
45.6000,,-0.0016,,0.2986,,1.3366,,0.4412
46.1000,,-0.0016,,0.2998,,1.3401,,0.4417
46.6000,,-0.0016,,0.3010,,1.3419,,0.4421
47.1000,,-0.0017,,0.3023,,1.3456,,0.4428
47.6000,,-0.0017,,0.3034,,1.3484,,0.4437
