Sample,Pathlength,Temperature,Absorbance
1,0.1,11.2,1.5154
1,0.1,11.5,1.5155
1,0.1,12,1.5166
1,0.1,12.5,1.5185
1,0.1,12.9,1.5165
1,0.1,13.5,1.5166
1,0.1,13.9,1.5184
1,0.1,14.4,1.5184
1,0.1,14.9,1.5184
1,0.1,15.4,1.5192
1,0.1,15.9,1.5209
1,0.1,16.4,1.521
1,0.1,17,1.5219
1,0.1,17.4,1.5221
1,0.1,17.9,1.5248
1,0.1,18.4,1.5255
1,0.1,19,1.5276
1,0.1,19.5,1.5294
1,0.1,19.9,1.5304
1,0.1,20.5,1.5321
1,0.1,21,1.5338
1,0.1,21.5,1.5363
1,0.1,22,1.5355
1,0.1,22.5,1.5374
1,0.1,23,1.5403
1,0.1,23.5,1.542
1,0.1,24,1.545
1,0.1,24.5,1.545
1,0.1,25,1.5488
1,0.1,25.5,1.5508
1,0.1,26,1.5524
1,0.1,26.5,1.5532
1,0.1,26.9,1.5558
1,0.1,27.4,1.557
1,0.1,27.8,1.5611
1,0.1,28.2,1.5621
1,0.1,28.6,1.5617
1,0.1,29.1,1.566
1,0.1,29.5,1.5678
1,0.1,29.9,1.5686
1,0.1,30.3,1.5717
1,0.1,30.7,1.5736
1,0.1,31.2,1.5757
1,0.1,31.7,1.5788
1,0.1,32.2,1.5798
1,0.1,32.7,1.5826
1,0.1,33.2,1.586
1,0.1,33.7,1.5879
1,0.1,34.2,1.5912
1,0.1,34.6,1.5936
1,0.1,35.1,1.5955
1,0.1,35.6,1.5987
1,0.1,36.2,1.601
1,0.1,36.6,1.6031
1,0.1,37.1,1.6071
1,0.1,37.6,1.6083
1,0.1,38,1.6115
1,0.1,38.5,1.6151
1,0.1,39,1.615
1,0.1,39.4,1.6203
1,0.1,40,1.6237
1,0.1,40.4,1.6257
1,0.1,41,1.6294
1,0.1,41.4,1.6316
1,0.1,41.9,1.635
1,0.1,42.4,1.6387
1,0.1,42.9,1.6434
1,0.1,43.4,1.6457
1,0.1,43.9,1.649
1,0.1,44.3,1.6524
1,0.1,44.8,1.6552
1,0.1,45.4,1.6585
1,0.1,45.9,1.6634
1,0.1,46.3,1.6686
1,0.1,46.8,1.6721
1,0.1,47.4,1.6757
1,0.1,47.8,1.6807
1,0.1,48.3,1.6887
1,0.1,48.8,1.693
1,0.1,49.3,1.7007
1,0.1,49.8,1.705
1,0.1,50.3,1.7117
1,0.1,50.8,1.7187
1,0.1,51.3,1.7256
1,0.1,51.7,1.7327
1,0.1,52.3,1.7386
1,0.1,52.8,1.746
1,0.1,53.2,1.7507
1,0.1,53.8,1.7597
1,0.1,54.3,1.7705
1,0.1,54.8,1.7767
1,0.1,55.3,1.7864
1,0.1,55.7,1.7963
1,0.1,56.2,1.8027
1,0.1,56.7,1.8103
1,0.1,57.2,1.8206
1,0.1,57.7,1.8347
1,0.1,58.2,1.8401
1,0.1,58.7,1.8513
1,0.1,59.3,1.8631
1,0.1,59.7,1.8746
1,0.1,60.2,1.8848
1,0.1,60.6,1.8996
1,0.1,61.2,1.908
1,0.1,61.7,1.9235
1,0.1,62.2,1.9328
1,0.1,62.6,1.9418
1,0.1,63.1,1.9583
1,0.1,63.6,1.9703
1,0.1,64.2,1.983
1,0.1,64.7,1.9961
1,0.1,65.1,2.007
1,0.1,65.7,2.0208
1,0.1,66.1,2.0294
1,0.1,66.6,2.0466
1,0.1,67.1,2.0558
1,0.1,67.6,2.0681
1,0.1,68.1,2.0805
1,0.1,68.6,2.0872
1,0.1,69.1,2.1004
1,0.1,69.6,2.1142
1,0.1,70.1,2.1212
1,0.1,70.6,2.1392
1,0.1,71.1,2.1538
1,0.1,71.6,2.1577
1,0.1,72,2.1695
1,0.1,72.5,2.1814
1,0.1,73.1,2.1854
1,0.1,73.6,2.2064
1,0.1,74,2.2107
1,0.1,74.5,2.215
1,0.1,75,2.2193
1,0.1,75.5,2.2239
1,0.1,76,2.2375
1,0.1,76.5,2.2514
1,0.1,77,2.2564
1,0.1,77.5,2.2662
1,0.1,78,2.271
1,0.1,78.5,2.281
1,0.1,78.9,2.2965
1,0.1,79.6,2.2913
1,0.1,80,2.3019
1,0.1,80.4,2.3239
1,0.1,81,2.3294
1,0.1,81.6,2.3348
1,0.1,81.9,2.3294
1,0.1,82.5,2.335
1,0.1,82.9,2.3588
1,0.1,83.4,2.3589
1,0.1,84,2.3651
1,0.1,84.5,2.3711
1,0.1,85,2.3711
1,0.1,85.4,2.3838
1,0.1,86,2.3904
1,0.1,86.4,2.3969
1,0.1,86.9,2.4039
1,0.1,87.3,2.4038
1,0.1,87.8,2.4036
1,0.1,88.3,2.4243
1,0.1,88.8,2.4243
1,0.1,89.4,2.4388
1,0.1,89.9,2.4387
1,0.1,90.3,2.446
1,0.1,90.9,2.4612
1,0.1,91.3,2.477
1,0.1,91.8,2.4851
1,0.1,92.2,2.4848
1,0.1,92.8,2.4847
1,0.1,93.2,2.4931
1,0.1,94,2.5013
1,0.1,94.3,2.5274
1,0.1,94.7,2.5458
1,0.1,95.3,2.5458
1,0.1,95.8,2.5649
1,0.1,96.2,2.5552
1,0.1,96.7,2.555
1,0.1,97.2,2.5747
1,0.1,97.6,2.5845
1,0.1,98,2.595
1,0.1,98.4,2.5949
1,0.1,98.8,2.6279
1,0.1,98.9,2.6276
1,0.1,99.1,2.6164
1,0.1,99.4,2.639
1,0.1,99.4,2.6389
1,0.1,100.1,2.6754
1,0.1,100.5,2.6882
1,0.1,101,2.7155
1,0.1,101.5,2.7442
1,0.1,102.1,2.7152
1,0.1,102.3,2.7293
1,0.1,103,2.7441
1,0.1,103.4,2.7912
1,0.1,103.8,2.808
1,0.1,104.6,2.808
1,0.1,104.6,2.8078
1,0.1,105,2.8255
1,0.1,105.8,2.8076
1,0.1,106.4,2.863
1,0.1,106.8,2.9265
1,0.1,107,2.9263
4,0.5,11.2,1.5407
4,0.5,11.5,1.5416
4,0.5,12,1.5428
4,0.5,12.5,1.5439
4,0.5,12.9,1.5445
4,0.5,13.5,1.5447
4,0.5,13.9,1.5457
4,0.5,14.4,1.5485
4,0.5,14.9,1.5475
4,0.5,15.4,1.5484
4,0.5,15.9,1.5503
4,0.5,16.4,1.5513
4,0.5,17,1.5523
4,0.5,17.4,1.5534
4,0.5,17.9,1.5562
4,0.5,18.4,1.559
4,0.5,19,1.5602
4,0.5,19.5,1.5603
4,0.5,19.9,1.5613
4,0.5,20.5,1.5651
4,0.5,21,1.568
4,0.5,21.5,1.5697
4,0.5,22,1.5718
4,0.5,22.5,1.5718
4,0.5,23,1.574
4,0.5,23.5,1.5778
4,0.5,24,1.5832
4,0.5,24.5,1.5842
4,0.5,25,1.5862
4,0.5,25.5,1.5894
4,0.5,26,1.5933
4,0.5,26.5,1.5943
4,0.5,26.9,1.5971
4,0.5,27.4,1.6005
4,0.5,27.8,1.6039
4,0.5,28.2,1.6072
4,0.5,28.6,1.609
4,0.5,29.1,1.6104
4,0.5,29.5,1.6136
4,0.5,29.9,1.6145
4,0.5,30.3,1.6179
4,0.5,30.7,1.62
4,0.5,31.2,1.6235
4,0.5,31.7,1.6247
4,0.5,32.2,1.6258
4,0.5,32.7,1.6312
4,0.5,33.2,1.6327
4,0.5,33.7,1.6337
4,0.5,34.2,1.6385
4,0.5,34.6,1.6388
4,0.5,35.1,1.6433
4,0.5,35.6,1.6469
4,0.5,36.2,1.6494
4,0.5,36.6,1.6517
4,0.5,37.1,1.6562
4,0.5,37.6,1.66
4,0.5,38,1.6611
4,0.5,38.5,1.6639
4,0.5,39,1.665
4,0.5,39.4,1.6698
4,0.5,40,1.6736
4,0.5,40.4,1.6784
4,0.5,41,1.68
4,0.5,41.4,1.6837
4,0.5,41.9,1.6863
4,0.5,42.4,1.6918
4,0.5,42.9,1.6958
4,0.5,43.4,1.6997
4,0.5,43.9,1.6994
4,0.5,44.3,1.7073
4,0.5,44.8,1.7105
4,0.5,45.4,1.7143
4,0.5,45.9,1.717
4,0.5,46.3,1.7243
4,0.5,46.8,1.7269
4,0.5,47.4,1.7295
4,0.5,47.8,1.7366
4,0.5,48.3,1.7398
4,0.5,48.8,1.7446
4,0.5,49.3,1.7533
4,0.5,49.8,1.7551
4,0.5,50.3,1.7581
4,0.5,50.8,1.7643
4,0.5,51.3,1.7704
4,0.5,51.7,1.7783
4,0.5,52.3,1.7832
4,0.5,52.8,1.7881
4,0.5,53.2,1.7933
4,0.5,53.8,1.7981
4,0.5,54.3,1.8049
4,0.5,54.8,1.8099
4,0.5,55.3,1.8186
4,0.5,55.7,1.8257
4,0.5,56.2,1.829
4,0.5,56.7,1.8351
4,0.5,57.2,1.8423
4,0.5,57.7,1.8533
4,0.5,58.2,1.857
4,0.5,58.7,1.8628
4,0.5,59.3,1.8749
4,0.5,59.7,1.8807
4,0.5,60.2,1.8931
4,0.5,60.6,1.9017
4,0.5,61.2,1.9102
4,0.5,61.7,1.919
4,0.5,62.2,1.926
4,0.5,62.6,1.9325
4,0.5,63.1,1.944
4,0.5,63.6,1.9555
4,0.5,64.2,1.9654
4,0.5,64.7,1.9805
4,0.5,65.1,1.9884
4,0.5,65.7,2.0016
4,0.5,66.1,2.0044
4,0.5,66.6,2.0179
4,0.5,67.1,2.0265
4,0.5,67.6,2.035
4,0.5,68.1,2.0465
4,0.5,68.6,2.0557
4,0.5,69.1,2.0679
4,0.5,69.6,2.0776
4,0.5,70.1,2.084
4,0.5,70.6,2.1005
4,0.5,71.1,2.1138
4,0.5,71.6,2.1174
4,0.5,72,2.1317
4,0.5,72.5,2.1426
4,0.5,73.1,2.1463
4,0.5,73.6,2.1654
4,0.5,74,2.1733
4,0.5,74.5,2.1772
4,0.5,75,2.1852
4,0.5,75.5,2.1895
4,0.5,76,2.202
4,0.5,76.5,2.2148
4,0.5,77,2.2194
4,0.5,77.5,2.2284
4,0.5,78,2.2374
4,0.5,78.5,2.2466
4,0.5,78.9,2.2609
4,0.5,79.6,2.2659
4,0.5,80,2.2709
4,0.5,80.4,2.2913
4,0.5,81,2.2964
4,0.5,81.6,2.296
4,0.5,81.9,2.3071
4,0.5,82.5,2.3124
4,0.5,82.9,2.3236
4,0.5,83.4,2.3351
4,0.5,84,2.3351
4,0.5,84.5,2.3349
4,0.5,85,2.3466
4,0.5,85.4,2.3526
4,0.5,86,2.3711
4,0.5,86.4,2.3773
4,0.5,86.9,2.3776
4,0.5,87.3,2.3839
4,0.5,87.8,2.3837
4,0.5,88.3,2.4035
4,0.5,88.8,2.4035
4,0.5,89.4,2.4103
4,0.5,89.9,2.4242
4,0.5,90.3,2.4386
4,0.5,90.9,2.446
4,0.5,91.3,2.4612
4,0.5,91.8,2.469
4,0.5,92.2,2.4688
4,0.5,92.8,2.4766
4,0.5,93.2,2.4848
4,0.5,94,2.4929
4,0.5,94.3,2.5185
4,0.5,94.7,2.5273
4,0.5,95.3,2.5273
4,0.5,95.8,2.5551
4,0.5,96.2,2.5457
4,0.5,96.7,2.5455
4,0.5,97.2,2.5747
4,0.5,97.6,2.5743
4,0.5,98,2.595
4,0.5,98.4,2.5949
4,0.5,98.8,2.6279
4,0.5,98.9,2.6163
4,0.5,99.1,2.6054
4,0.5,99.4,2.639
4,0.5,99.4,2.6389
4,0.5,100.1,2.6628
4,0.5,100.5,2.6882
4,0.5,101,2.7155
4,0.5,101.5,2.7295
4,0.5,102.1,2.7014
4,0.5,102.3,2.7293
4,0.5,103,2.7593
4,0.5,103.4,2.8082
4,0.5,103.8,2.7909
4,0.5,104.6,2.808
4,0.5,104.6,2.8078
4,0.5,105,2.8077
4,0.5,105.8,2.8253
4,0.5,106.4,2.8832
4,0.5,106.8,2.9042
4,0.5,107,2.9498
7,1,11.2,0.3255
7,1,11.5,0.3246
7,1,12,0.3246
7,1,12.5,0.3254
7,1,12.9,0.3253
7,1,13.5,0.3259
7,1,13.9,0.3245
7,1,14.4,0.3249
7,1,14.9,0.3253
7,1,15.4,0.3254
7,1,15.9,0.3255
7,1,16.4,0.3262
7,1,17,0.3267
7,1,17.4,0.3263
7,1,17.9,0.3266
7,1,18.4,0.3275
7,1,19,0.3282
7,1,19.5,0.3285
7,1,19.9,0.3292
7,1,20.5,0.329
7,1,21,0.3295
7,1,21.5,0.3298
7,1,22,0.3294
7,1,22.5,0.3305
7,1,23,0.3312
7,1,23.5,0.3315
7,1,24,0.3331
7,1,24.5,0.3331
7,1,25,0.3332
7,1,25.5,0.3353
7,1,26,0.3349
7,1,26.5,0.3362
7,1,26.9,0.3362
7,1,27.4,0.3371
7,1,27.8,0.3373
7,1,28.2,0.3376
7,1,28.6,0.3387
7,1,29.1,0.3398
7,1,29.5,0.3399
7,1,29.9,0.3394
7,1,30.3,0.3401
7,1,30.7,0.3398
7,1,31.2,0.3404
7,1,31.7,0.3404
7,1,32.2,0.3415
7,1,32.7,0.3414
7,1,33.2,0.3425
7,1,33.7,0.3436
7,1,34.2,0.3434
7,1,34.6,0.3439
7,1,35.1,0.3448
7,1,35.6,0.3455
7,1,36.2,0.3471
7,1,36.6,0.3471
7,1,37.1,0.3468
7,1,37.6,0.347
7,1,38,0.3474
7,1,38.5,0.3488
7,1,39,0.3486
7,1,39.4,0.3491
7,1,40,0.3494
7,1,40.4,0.3494
7,1,41,0.3506
7,1,41.4,0.3505
7,1,41.9,0.351
7,1,42.4,0.352
7,1,42.9,0.3524
7,1,43.4,0.3527
7,1,43.9,0.3528
7,1,44.3,0.3528
7,1,44.8,0.3538
7,1,45.4,0.3544
7,1,45.9,0.3548
7,1,46.3,0.3556
7,1,46.8,0.3561
7,1,47.4,0.3563
7,1,47.8,0.3569
7,1,48.3,0.3571
7,1,48.8,0.3583
7,1,49.3,0.3587
7,1,49.8,0.3597
7,1,50.3,0.3603
7,1,50.8,0.3611
7,1,51.3,0.3619
7,1,51.7,0.3626
7,1,52.3,0.3633
7,1,52.8,0.3642
7,1,53.2,0.3653
7,1,53.8,0.366
7,1,54.3,0.3667
7,1,54.8,0.368
7,1,55.3,0.3683
7,1,55.7,0.3693
7,1,56.2,0.3701
7,1,56.7,0.3716
7,1,57.2,0.373
7,1,57.7,0.3736
7,1,58.2,0.3744
7,1,58.7,0.3754
7,1,59.3,0.377
7,1,59.7,0.3779
7,1,60.2,0.3796
7,1,60.6,0.3809
7,1,61.2,0.3823
7,1,61.7,0.3841
7,1,62.2,0.3858
7,1,62.6,0.3868
7,1,63.1,0.3881
7,1,63.6,0.3897
7,1,64.2,0.3918
7,1,64.7,0.3933
7,1,65.1,0.3952
7,1,65.7,0.397
7,1,66.1,0.3985
7,1,66.6,0.4004
7,1,67.1,0.4021
7,1,67.6,0.4039
7,1,68.1,0.4055
7,1,68.6,0.4073
7,1,69.1,0.409
7,1,69.6,0.411
7,1,70.1,0.4127
7,1,70.6,0.4147
7,1,71.1,0.4162
7,1,71.6,0.4179
7,1,72,0.42
7,1,72.5,0.4216
7,1,73.1,0.423
7,1,73.6,0.4243
7,1,74,0.4269
7,1,74.5,0.428
7,1,75,0.4299
7,1,75.5,0.4309
7,1,76,0.4331
7,1,76.5,0.4347
7,1,77,0.4358
7,1,77.5,0.4376
7,1,78,0.4393
7,1,78.5,0.4402
7,1,78.9,0.4416
7,1,79.6,0.4432
7,1,80,0.4437
7,1,80.4,0.4458
7,1,81,0.4466
7,1,81.6,0.4481
7,1,81.9,0.4486
7,1,82.5,0.45
7,1,82.9,0.4513
7,1,83.4,0.4527
7,1,84,0.4543
7,1,84.5,0.4545
7,1,85,0.4559
7,1,85.4,0.457
7,1,86,0.4579
7,1,86.4,0.4583
7,1,86.9,0.4598
7,1,87.3,0.4608
7,1,87.8,0.4614
7,1,88.3,0.4625
7,1,88.8,0.4634
7,1,89.4,0.4641
7,1,89.9,0.4657
7,1,90.3,0.4661
7,1,90.9,0.4672
7,1,91.3,0.4674
7,1,91.8,0.4687
7,1,92.2,0.4691
7,1,92.8,0.4701
7,1,93.2,0.4711
7,1,94,0.4718
7,1,94.3,0.472
7,1,94.7,0.4735
7,1,95.3,0.474
7,1,95.8,0.4743
7,1,96.2,0.4755
7,1,96.7,0.4758
7,1,97.2,0.4767
7,1,97.6,0.4775
7,1,98,0.4781
7,1,98.4,0.4791
7,1,98.8,0.4795
7,1,98.9,0.4801
7,1,99.1,0.4803
7,1,99.4,0.4812
7,1,99.4,0.4815
7,1,100.1,0.4823
7,1,100.5,0.4828
7,1,101,0.4832
7,1,101.5,0.4841
7,1,102.1,0.4849
7,1,102.3,0.4859
7,1,103,0.4863
7,1,103.4,0.4863
7,1,103.8,0.4875
7,1,104.6,0.4879
7,1,104.6,0.4885
7,1,105,0.4896
7,1,105.8,0.4893
7,1,106.4,0.4901
7,1,106.8,0.4913
7,1,107,0.4916
5,0.5,11.4,1.0025
5,0.5,11.8,1.0028
5,0.5,12.3,1.0034
5,0.5,12.8,1.0037
5,0.5,13.2,1.0042
5,0.5,13.7,1.0053
5,0.5,14.2,1.0057
5,0.5,14.7,1.006
5,0.5,15.2,1.0066
5,0.5,15.7,1.0076
5,0.5,16.2,1.0085
5,0.5,16.7,1.0095
5,0.5,17.1,1.0109
5,0.5,17.7,1.0114
5,0.5,18.2,1.012
5,0.5,18.6,1.0137
5,0.5,19.1,1.0148
5,0.5,19.6,1.0163
5,0.5,20.2,1.0176
5,0.5,20.6,1.0195
5,0.5,21.2,1.0216
5,0.5,21.7,1.0238
5,0.5,22.2,1.0258
5,0.5,22.7,1.0273
5,0.5,23.2,1.0292
5,0.5,23.6,1.0312
5,0.5,24.2,1.0338
5,0.5,24.7,1.0364
5,0.5,25.2,1.0385
5,0.5,25.7,1.0409
5,0.5,26.2,1.043
5,0.5,26.6,1.0452
5,0.5,27,1.0475
5,0.5,27.5,1.0496
5,0.5,27.9,1.0511
5,0.5,28.3,1.0535
5,0.5,28.7,1.0554
5,0.5,29.2,1.0575
5,0.5,29.6,1.0593
5,0.5,30,1.0611
5,0.5,30.4,1.0631
5,0.5,30.8,1.0648
5,0.5,31.3,1.0669
5,0.5,31.7,1.0691
5,0.5,32.2,1.071
5,0.5,32.7,1.0725
5,0.5,33.2,1.0753
5,0.5,33.7,1.0772
5,0.5,34.2,1.0799
5,0.5,34.7,1.0818
5,0.5,35.2,1.0833
5,0.5,35.7,1.0856
5,0.5,36.2,1.0878
5,0.5,36.7,1.0899
5,0.5,37.1,1.0919
5,0.5,37.6,1.0937
5,0.5,38,1.0958
5,0.5,38.5,1.0989
5,0.5,39,1.1013
5,0.5,39.5,1.1034
5,0.5,40,1.1057
5,0.5,40.5,1.1071
5,0.5,41,1.1103
5,0.5,41.5,1.1123
5,0.5,41.9,1.1151
5,0.5,42.4,1.1176
5,0.5,42.9,1.12
5,0.5,43.4,1.1225
5,0.5,43.9,1.125
5,0.5,44.4,1.1264
5,0.5,44.9,1.1296
5,0.5,45.4,1.1322
5,0.5,45.9,1.134
