Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3S5\melt1.dux
Date Acquired:,,,"March 28, 2006 1:14 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
11.2000,,-0.0003,,1.5154,,1.5407,,0.3255
11.5000,,-0.0003,,1.5155,,1.5416,,0.3246
12.0000,,-0.0006,,1.5166,,1.5428,,0.3246
12.5000,,-0.0007,,1.5185,,1.5439,,0.3254
12.9000,,-0.0005,,1.5165,,1.5445,,0.3253
13.5000,,-0.0006,,1.5166,,1.5447,,0.3259
13.9000,,-0.0006,,1.5184,,1.5457,,0.3245
14.4000,,-0.0006,,1.5184,,1.5485,,0.3249
14.9000,,-0.0006,,1.5184,,1.5475,,0.3253
15.4000,,-0.0005,,1.5192,,1.5484,,0.3254
15.9000,,-0.0005,,1.5209,,1.5503,,0.3255
16.4000,,-0.0006,,1.5210,,1.5513,,0.3262
17.0000,,-0.0006,,1.5219,,1.5523,,0.3267
17.4000,,-0.0008,,1.5221,,1.5534,,0.3263
17.9000,,-0.0008,,1.5248,,1.5562,,0.3266
18.4000,,-0.0006,,1.5255,,1.5590,,0.3275
19.0000,,-0.0009,,1.5276,,1.5602,,0.3282
19.5000,,-0.0010,,1.5294,,1.5603,,0.3285
19.9000,,-0.0010,,1.5304,,1.5613,,0.3292
20.5000,,-0.0009,,1.5321,,1.5651,,0.3290
21.0000,,-0.0008,,1.5338,,1.5680,,0.3295
21.5000,,-0.0005,,1.5363,,1.5697,,0.3298
22.0000,,-0.0006,,1.5355,,1.5718,,0.3294
22.5000,,-0.0007,,1.5374,,1.5718,,0.3305
23.0000,,-0.0008,,1.5403,,1.5740,,0.3312
23.5000,,-0.0007,,1.5420,,1.5778,,0.3315
24.0000,,-0.0009,,1.5450,,1.5832,,0.3331
24.5000,,-0.0009,,1.5450,,1.5842,,0.3331
25.0000,,-0.0009,,1.5488,,1.5862,,0.3332
25.5000,,-0.0010,,1.5508,,1.5894,,0.3353
26.0000,,-0.0007,,1.5524,,1.5933,,0.3349
26.5000,,-0.0006,,1.5532,,1.5943,,0.3362
26.9000,,-0.0004,,1.5558,,1.5971,,0.3362
27.4000,,-0.0006,,1.5570,,1.6005,,0.3371
27.8000,,-0.0007,,1.5611,,1.6039,,0.3373
28.2000,,-0.0009,,1.5621,,1.6072,,0.3376
28.6000,,-0.0005,,1.5617,,1.6090,,0.3387
29.1000,,-0.0008,,1.5660,,1.6104,,0.3398
