Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3S5\melt3.dux
Date Acquired:,,,"March 30, 2006 8:30 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.7000,,0.0034,,0.5451,,0.6100,,0.1380
11.0000,,0.0022,,0.5453,,0.6110,,0.1391
11.4000,,-0.0003,,0.5476,,0.6142,,0.1417
11.9000,,-0.0006,,0.5477,,0.6156,,0.1422
12.4000,,-0.0009,,0.5479,,0.6164,,0.1429
12.9000,,-0.0011,,0.5484,,0.6175,,0.1431
13.4000,,-0.0012,,0.5490,,0.6185,,0.1438
13.9000,,-0.0013,,0.5499,,0.6191,,0.1437
14.4000,,-0.0014,,0.5502,,0.6188,,0.1432
14.9000,,-0.0017,,0.5516,,0.6195,,0.1436
15.4000,,-0.0017,,0.5526,,0.6204,,0.1437
15.9000,,-0.0018,,0.5536,,0.6214,,0.1440
16.4000,,-0.0017,,0.5539,,0.6219,,0.1440
16.9000,,-0.0017,,0.5545,,0.6226,,0.1441
17.4000,,-0.0015,,0.5550,,0.6236,,0.1440
17.9000,,-0.0014,,0.5556,,0.6242,,0.1442
18.4000,,-0.0018,,0.5564,,0.6255,,0.1449
18.9000,,-0.0015,,0.5567,,0.6261,,0.1447
19.4000,,-0.0016,,0.5576,,0.6273,,0.1452
19.9000,,-0.0014,,0.5580,,0.6284,,0.1452
20.4000,,-0.0016,,0.5589,,0.6295,,0.1455
20.9000,,-0.0018,,0.5598,,0.6311,,0.1458
21.4000,,-0.0007,,0.5598,,0.6311,,0.1449
22.0000,,-0.0014,,0.5612,,0.6336,,0.1460
22.4000,,-0.0019,,0.5628,,0.6357,,0.1468
23.0000,,-0.0018,,0.5639,,0.6368,,0.1469
23.5000,,-0.0016,,0.5648,,0.6380,,0.1470
24.0000,,-0.0017,,0.5660,,0.6396,,0.1474
24.5000,,-0.0016,,0.5671,,0.6410,,0.1477
25.0000,,-0.0018,,0.5685,,0.6426,,0.1482
25.5000,,-0.0016,,0.5693,,0.6443,,0.1483
26.0000,,-0.0018,,0.5708,,0.6462,,0.1489
26.4000,,-0.0015,,0.5715,,0.6473,,0.1489
26.8000,,-0.0016,,0.5727,,0.6491,,0.1494
27.2000,,-0.0021,,0.5743,,0.6506,,0.1500
27.6000,,-0.0020,,0.5750,,0.6517,,0.1502
28.1000,,-0.0018,,0.5760,,0.6529,,0.1502
28.6000,,-0.0021,,0.5774,,0.6543,,0.1507
