Sample,Pathlength,Temperature,Absorbance
1,0.1,29.8,1.5995
1,0.1,30.2,1.6028
1,0.1,30.7,1.6078
1,0.1,31.2,1.6061
1,0.1,31.7,1.6112
1,0.1,32.2,1.6163
1,0.1,32.6,1.6163
1,0.1,33.2,1.6197
1,0.1,33.6,1.6232
1,0.1,34.1,1.6266
1,0.1,34.6,1.6283
1,0.1,35.2,1.6319
1,0.1,35.6,1.6336
1,0.1,36.1,1.6372
1,0.1,36.6,1.639
1,0.1,37.1,1.6407
1,0.1,37.6,1.6463
1,0.1,38.1,1.6499
1,0.1,38.6,1.6519
1,0.1,39.1,1.6537
1,0.1,39.6,1.6593
1,0.1,40.1,1.6649
1,0.1,40.6,1.6668
1,0.1,41.1,1.6707
1,0.1,41.5,1.6785
1,0.1,42.0,1.6824
1,0.1,42.5,1.6865
1,0.1,43.0,1.6945
1,0.1,43.5,1.7007
1,0.1,44.0,1.7069
1,0.1,44.5,1.7133
1,0.1,45.0,1.7176
1,0.1,45.5,1.724
1,0.1,46.0,1.7306
1,0.1,46.5,1.7373
1,0.1,47.0,1.7463
1,0.1,47.5,1.7534
1,0.1,48.0,1.7604
1,0.1,48.5,1.7676
1,0.1,49.0,1.7773
1,0.1,49.5,1.7848
1,0.1,50.0,1.7898
1,0.1,50.4,1.7975
1,0.1,50.9,1.8028
1,0.1,51.4,1.8107
1,0.1,52.0,1.8187
1,0.1,52.4,1.8298
1,0.1,52.9,1.8354
1,0.1,53.4,1.8411
1,0.1,53.9,1.8468
1,0.1,54.4,1.8556
1,0.1,54.9,1.8645
1,0.1,55.4,1.8706
1,0.1,55.9,1.8768
1,0.1,56.4,1.8862
1,0.1,56.9,1.8924
1,0.1,57.4,1.9023
1,0.1,57.9,1.9056
1,0.1,58.4,1.9156
1,0.1,58.9,1.9224
1,0.1,59.3,1.933
1,0.1,59.9,1.9329
1,0.1,60.4,1.9436
1,0.1,60.8,1.9546
1,0.1,61.3,1.9546
1,0.1,61.8,1.9583
1,0.1,62.3,1.9621
1,0.1,62.9,1.9697
1,0.1,63.3,1.9775
1,0.1,63.8,1.9775
1,0.1,64.4,1.9853
1,0.1,64.8,1.9853
1,0.1,65.2,1.9974
1,0.1,65.8,2.0016
1,0.1,66.3,2.0056
1,0.1,66.8,2.0141
1,0.1,67.3,2.0227
1,0.1,67.8,2.0228
1,0.1,68.2,2.0228
1,0.1,68.8,2.027
1,0.1,69.2,2.036
1,0.1,69.7,2.0359
1,0.1,70.3,2.0404
1,0.1,70.7,2.0495
1,0.1,71.3,2.0542
1,0.1,71.7,2.0541
1,0.1,72.3,2.0588
1,0.1,72.7,2.0684
1,0.1,73.1,2.0781
1,0.1,73.7,2.0732
1,0.1,74.1,2.083
1,0.1,74.7,2.083
1,0.1,75.1,2.0931
1,0.1,75.6,2.093
1,0.1,76.2,2.1086
1,0.1,76.7,2.1086
1,0.1,77.2,2.1139
1,0.1,77.6,2.1246
1,0.1,78.2,2.1194
1,0.1,78.6,2.1303
1,0.1,79.1,2.1303
1,0.1,79.7,2.1415
1,0.1,80.1,2.1358
1,0.1,80.6,2.1473
1,0.1,81.1,2.1473
1,0.1,81.6,2.153
1,0.1,82.0,2.165
1,0.1,82.5,2.1649
1,0.1,83.0,2.1709
1,0.1,83.5,2.177
1,0.1,84.1,2.1833
1,0.1,84.6,2.1832
1,0.1,85.1,2.196
1,0.1,85.5,2.1959
1,0.1,86.0,2.2091
1,0.1,86.4,2.2158
1,0.1,87.0,2.2158
1,0.1,87.5,2.2158
1,0.1,88.0,2.2295
1,0.1,88.4,2.2366
1,0.1,89.0,2.2437
1,0.1,89.5,2.2439
1,0.1,90.1,2.251
1,0.1,90.5,2.2509
1,0.1,90.9,2.2659
1,0.1,91.4,2.2658
1,0.1,91.8,2.2735
1,0.1,92.2,2.2813
1,0.1,92.5,2.2893
1,0.1,92.6,2.2972
1,0.1,92.9,2.2973
1,0.1,93.2,2.2972
1,0.1,93.3,2.3138
1,0.1,93.7,2.3225
1,0.1,94.2,2.3401
1,0.1,94.6,2.3399
1,0.1,95.3,2.3491
1,0.1,95.8,2.368
1,0.1,96.4,2.3777
1,0.1,96.9,2.3679
1,0.1,97.2,2.3875
1,0.1,97.7,2.3977
1,0.1,98.3,2.4082
1,0.1,98.6,2.408
1,0.1,99.6,2.441
1,0.1,99.8,2.4409
1,0.1,100.2,2.4295
1,0.1,100.7,2.4524
1,0.1,101.0,2.4641
1,0.1,101.4,2.4763
1,0.1,101.7,2.4887
1,0.1,101.9,2.5013
1,0.1,102.1,2.5015
1,0.1,102.3,2.5148
1,0.1,102.3,2.5145
1,0.1,102.5,2.5283
1,0.1,102.5,2.5423
1,0.1,102.7,2.5881
1,0.1,102.7,2.588
4,0.5,29.8,1.5818
4,0.5,30.2,1.5835
