Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap14s Melt 1 043007.dux
Date Acquired:,,,"April 30, 2007 4:57 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.8000,,0.0002,,1.5995,,1.5818,,0.6393
30.2000,,0.0001,,1.6028,,1.5835,,0.6402
30.7000,,0.0002,,1.6078,,1.5866,,0.6411
31.2000,,0.0002,,1.6061,,1.5882,,0.6420
31.7000,,0.0001,,1.6112,,1.5915,,0.6428
32.2000,,0.0000,,1.6163,,1.5964,,0.6436
32.6000,,0.0000,,1.6163,,1.5964,,0.6447
33.2000,,0.0001,,1.6197,,1.5980,,0.6455
33.6000,,0.0000,,1.6232,,1.6029,,0.6465
34.1000,,0.0001,,1.6266,,1.6045,,0.6472
34.6000,,0.0001,,1.6283,,1.6078,,0.6482
35.2000,,0.0001,,1.6319,,1.6095,,0.6493
35.6000,,0.0001,,1.6336,,1.6129,,0.6504
36.1000,,0.0001,,1.6372,,1.6163,,0.6516
36.6000,,0.0001,,1.6390,,1.6180,,0.6529
37.1000,,0.0002,,1.6407,,1.6214,,0.6539
37.6000,,0.0001,,1.6463,,1.6266,,0.6551
38.1000,,0.0001,,1.6499,,1.6301,,0.6566
38.6000,,0.0000,,1.6519,,1.6338,,0.6576
39.1000,,0.0000,,1.6537,,1.6373,,0.6591
39.6000,,0.0000,,1.6593,,1.6427,,0.6602
40.1000,,0.0001,,1.6649,,1.6463,,0.6621
40.6000,,0.0001,,1.6668,,1.6518,,0.6636
41.1000,,0.0000,,1.6707,,1.6537,,0.6656
41.5000,,0.0000,,1.6785,,1.6593,,0.6667
42.0000,,0.0000,,1.6824,,1.6649,,0.6686
42.5000,,0.0000,,1.6865,,1.6707,,0.6705
43.0000,,0.0001,,1.6945,,1.6707,,0.6722
43.5000,,0.0000,,1.7007,,1.6805,,0.6744
44.0000,,0.0000,,1.7069,,1.6864,,0.6767
44.5000,,-0.0000,,1.7133,,1.6926,,0.6788
45.0000,,0.0000,,1.7176,,1.6966,,0.6809
45.5000,,0.0000,,1.7240,,1.7027,,0.6828
46.0000,,0.0001,,1.7306,,1.7111,,0.6850
46.5000,,0.0001,,1.7373,,1.7132,,0.6870
47.0000,,0.0001,,1.7463,,1.7239,,0.6904
47.5000,,0.0000,,1.7534,,1.7285,,0.6923
48.0000,,0.0001,,1.7604,,1.7328,,0.6947
48.5000,,0.0001,,1.7676,,1.7418,,0.6971
