Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap18s Melt 3 091007.dux
Date Acquired:,,,"September 10, 2007 9:35 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.8000,,0.0001,,0.4250,,0.5454,,0.2548
30.2000,,0.0001,,0.4253,,0.5459,,0.2552
30.7000,,0.0002,,0.4261,,0.5468,,0.2556
31.2000,,0.0002,,0.4268,,0.5479,,0.2560
31.6000,,0.0002,,0.4276,,0.5488,,0.2565
32.1000,,0.0003,,0.4282,,0.5499,,0.2569
32.5000,,0.0003,,0.4290,,0.5505,,0.2572
33.0000,,0.0003,,0.4299,,0.5519,,0.2578
33.5000,,0.0003,,0.4307,,0.5529,,0.2584
34.0000,,0.0003,,0.4315,,0.5542,,0.2589
34.5000,,0.0004,,0.4326,,0.5554,,0.2595
35.0000,,0.0004,,0.4334,,0.5566,,0.2601
35.5000,,0.0004,,0.4346,,0.5584,,0.2608
36.0000,,0.0004,,0.4359,,0.5598,,0.2617
36.4000,,0.0005,,0.4369,,0.5609,,0.2621
37.0000,,0.0005,,0.4384,,0.5627,,0.2630
37.5000,,0.0005,,0.4395,,0.5644,,0.2637
38.0000,,0.0005,,0.4412,,0.5660,,0.2647
38.4000,,0.0004,,0.4426,,0.5679,,0.2655
38.9000,,0.0004,,0.4445,,0.5699,,0.2665
39.5000,,0.0005,,0.4461,,0.5719,,0.2675
39.9000,,0.0005,,0.4476,,0.5740,,0.2685
40.4000,,0.0005,,0.4495,,0.5763,,0.2695
40.8000,,0.0005,,0.4513,,0.5785,,0.2705
41.4000,,0.0005,,0.4532,,0.5811,,0.2718
41.9000,,0.0006,,0.4553,,0.5836,,0.2730
42.4000,,0.0006,,0.4574,,0.5861,,0.2742
42.9000,,0.0006,,0.4597,,0.5890,,0.2755
43.4000,,0.0006,,0.4622,,0.5920,,0.2769
43.9000,,0.0007,,0.4646,,0.5949,,0.2780
44.4000,,0.0007,,0.4670,,0.5979,,0.2795
44.9000,,0.0007,,0.4696,,0.6012,,0.2810
45.3000,,0.0007,,0.4723,,0.6043,,0.2825
45.8000,,0.0006,,0.4750,,0.6074,,0.2842
46.4000,,0.0007,,0.4777,,0.6112,,0.2856
46.8000,,0.0007,,0.4804,,0.6144,,0.2871
47.4000,,0.0008,,0.4833,,0.6176,,0.2887
47.8000,,0.0007,,0.4862,,0.6214,,0.2904
48.3000,,0.0007,,0.4891,,0.6246,,0.2922
