Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap2s Melt 2 021507.dux
Date Acquired:,,,"February 15, 2007 3:23 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.6000,,0.0002,,0.6515,,1.0161,,0.3964
30.0000,,0.0002,,0.6522,,1.0173,,0.3969
30.5000,,0.0002,,0.6532,,1.0188,,0.3972
31.0000,,0.0003,,0.6538,,1.0200,,0.3975
31.5000,,0.0003,,0.6548,,1.0207,,0.3977
32.0000,,0.0003,,0.6552,,1.0216,,0.3982
32.4000,,0.0002,,0.6556,,1.0228,,0.3984
32.9000,,0.0004,,0.6561,,1.0235,,0.3986
33.4000,,0.0003,,0.6564,,1.0244,,0.3990
33.9000,,0.0003,,0.6567,,1.0264,,0.3993
34.4000,,0.0004,,0.6566,,1.0275,,0.3996
34.9000,,0.0003,,0.6569,,1.0284,,0.4001
35.4000,,0.0006,,0.6562,,1.0289,,0.4001
35.9000,,0.0003,,0.6566,,1.0304,,0.4007
36.4000,,0.0003,,0.6569,,1.0313,,0.4012
36.9000,,0.0004,,0.6575,,1.0324,,0.4015
37.4000,,0.0006,,0.6585,,1.0330,,0.4016
37.8000,,0.0003,,0.6601,,1.0345,,0.4022
38.3000,,0.0003,,0.6626,,1.0357,,0.4027
38.9000,,0.0003,,0.6650,,1.0370,,0.4030
39.3000,,0.0004,,0.6668,,1.0382,,0.4033
39.8000,,0.0003,,0.6684,,1.0395,,0.4038
40.3000,,0.0004,,0.6698,,1.0411,,0.4040
40.8000,,0.0003,,0.6713,,1.0416,,0.4047
41.4000,,0.0003,,0.6724,,1.0433,,0.4050
41.8000,,0.0003,,0.6735,,1.0437,,0.4054
42.3000,,0.0003,,0.6745,,1.0453,,0.4059
42.8000,,0.0003,,0.6756,,1.0462,,0.4062
43.3000,,0.0003,,0.6768,,1.0474,,0.4066
43.8000,,0.0002,,0.6778,,1.0493,,0.4074
44.3000,,0.0003,,0.6787,,1.0500,,0.4077
44.8000,,0.0003,,0.6792,,1.0508,,0.4082
45.3000,,0.0002,,0.6802,,1.0531,,0.4088
45.8000,,0.0002,,0.6809,,1.0535,,0.4095
46.3000,,0.0003,,0.6819,,1.0552,,0.4096
46.8000,,0.0003,,0.6828,,1.0573,,0.4104
47.3000,,0.0003,,0.6842,,1.0578,,0.4109
47.8000,,0.0002,,0.6854,,1.0601,,0.4113
48.3000,,0.0002,,0.6865,,1.0614,,0.4121
