Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap2s Melt 3 021607.dux
Date Acquired:,,,"February 16, 2007 10:42 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,No
Ramp 2:,,,Yes
  Start Temperature:,,,45.0 °C
  Delay:,,,0.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
43.8000,,0.0023,,0.3890,,0.6487,,0.2438
44.5000,,0.0051,,0.3898,,0.6492,,0.2440
45.0000,,0.0061,,0.3907,,0.6503,,0.2445
45.5000,,0.0074,,0.3913,,0.6512,,0.2448
46.1000,,0.0083,,0.3919,,0.6522,,0.2452
46.6000,,0.0088,,0.3927,,0.6534,,0.2456
47.1000,,0.0092,,0.3932,,0.6543,,0.2459
47.6000,,0.0093,,0.3938,,0.6554,,0.2464
48.2000,,0.0093,,0.3944,,0.6571,,0.2467
48.7000,,0.0094,,0.3953,,0.6579,,0.2472
49.2000,,0.0094,,0.3961,,0.6589,,0.2476
49.7000,,0.0094,,0.3971,,0.6600,,0.2481
50.1000,,0.0095,,0.3978,,0.6613,,0.2484
50.7000,,0.0094,,0.3987,,0.6624,,0.2489
51.2000,,0.0094,,0.3996,,0.6638,,0.2495
51.7000,,0.0095,,0.4004,,0.6652,,0.2500
52.2000,,0.0094,,0.4012,,0.6665,,0.2505
52.7000,,0.0094,,0.4020,,0.6678,,0.2511
53.2000,,0.0094,,0.4031,,0.6694,,0.2516
53.7000,,0.0094,,0.4042,,0.6709,,0.2522
54.2000,,0.0094,,0.4054,,0.6723,,0.2527
54.7000,,0.0095,,0.4064,,0.6741,,0.2534
55.1000,,0.0095,,0.4075,,0.6757,,0.2539
55.7000,,0.0095,,0.4085,,0.6775,,0.2546
56.2000,,0.0096,,0.4096,,0.6790,,0.2552
56.7000,,0.0096,,0.4110,,0.6810,,0.2561
57.2000,,0.0094,,0.4126,,0.6832,,0.2570
57.7000,,0.0096,,0.4140,,0.6864,,0.2575
58.2000,,0.0096,,0.4151,,0.6888,,0.2583
58.6000,,0.0096,,0.4167,,0.6890,,0.2592
59.1000,,0.0096,,0.4185,,0.6919,,0.2601
59.7000,,0.0095,,0.4201,,0.6938,,0.2610
60.2000,,0.0095,,0.4220,,0.6971,,0.2619
60.7000,,0.0095,,0.4237,,0.6998,,0.2628
61.1000,,0.0096,,0.4255,,0.7029,,0.2639
61.7000,,0.0095,,0.4278,,0.7050,,0.2650
62.1000,,0.0095,,0.4297,,0.7086,,0.2662
62.7000,,0.0095,,0.4319,,0.7124,,0.2676
63.1000,,0.0095,,0.4341,,0.7151,,0.2688
