Sample	Pathlength	Temperature	Absorbance
1	0.1	29.7	1.3494
1	0.1	30.1	1.3515
1	0.1	30.6	1.3536
1	0.1	31.1	1.3536
1	0.1	31.6	1.3568
1	0.1	32.1	1.358
1	0.1	32.5	1.36
1	0.1	33	1.3622
1	0.1	33.9	1.3654
1	0.1	34.5	1.3686
1	0.1	35	1.372
1	0.1	35.5	1.3731
1	0.1	36	1.3753
1	0.1	36.4	1.3764
1	0.1	36.9	1.3787
1	0.1	37.4	1.3808
1	0.1	37.9	1.382
1	0.1	38.4	1.3832
1	0.1	38.9	1.3867
1	0.1	39.5	1.3877
1	0.1	39.9	1.3911
1	0.1	40.4	1.3923
1	0.1	40.9	1.3945
1	0.1	41.4	1.397
1	0.1	41.9	1.3981
1	0.1	42.4	1.4005
1	0.1	42.9	1.404
1	0.1	43.3	1.404
1	0.1	43.9	1.4064
1	0.1	44.4	1.4088
1	0.1	44.9	1.41
1	0.1	45.4	1.4148
1	0.1	45.8	1.4172
1	0.1	46.4	1.4184
1	0.1	46.9	1.4221
1	0.1	47.4	1.4234
1	0.1	47.8	1.4271
1	0.1	48.3	1.4296
1	0.1	48.9	1.4321
1	0.1	49.4	1.436
1	0.1	49.8	1.4385
1	0.1	50.3	1.4423
1	0.1	50.8	1.4436
1	0.1	51.3	1.4476
1	0.1	51.8	1.4515
1	0.1	52.3	1.4555
1	0.1	52.8	1.4596
1	0.1	53.3	1.4636
1	0.1	53.8	1.4662
1	0.1	54.3	1.4718
1	0.1	54.7	1.4759
1	0.1	55.3	1.4802
1	0.1	55.7	1.4873
1	0.1	56.2	1.4903
1	0.1	56.8	1.496
1	0.1	57.3	1.5019
1	0.1	57.7	1.5064
1	0.1	58.3	1.5125
1	0.1	58.8	1.5187
1	0.1	59.2	1.5249
1	0.1	59.7	1.5296
1	0.1	60.2	1.5376
1	0.1	60.7	1.5441
1	0.1	61.2	1.5507
1	0.1	61.7	1.5557
1	0.1	62.2	1.5643
1	0.1	62.7	1.5694
1	0.1	63.2	1.5781
1	0.1	63.7	1.5852
1	0.1	64.2	1.5925
1	0.1	64.7	1.6017
1	0.1	65.1	1.6073
1	0.1	65.7	1.6169
1	0.1	66.2	1.6228
1	0.1	66.7	1.6287
1	0.1	67.2	1.6387
1	0.1	67.7	1.6449
1	0.1	68.1	1.6511
1	0.1	68.6	1.6596
1	0.1	69.1	1.6659
1	0.1	69.6	1.6747
1	0.1	70.1	1.6813
1	0.1	70.7	1.6881
1	0.1	71.1	1.695
1	0.1	71.6	1.6997
1	0.1	72.2	1.7091
1	0.1	72.6	1.7139
1	0.1	73	1.7212
1	0.1	73.5	1.7236
1	0.1	74.1	1.7287
1	0.1	74.5	1.7363
1	0.1	75.1	1.7413
1	0.1	75.5	1.7491
1	0.1	76.1	1.7543
1	0.1	76.6	1.7624
1	0.1	77.1	1.7651
1	0.1	77.5	1.7761
1	0.1	78	1.7845
1	0.1	78.5	1.7931
1	0.1	79	1.8019
1	0.1	79.5	1.8079
1	0.1	80	1.8169
1	0.1	80.5	1.8231
1	0.1	81	1.8262
1	0.1	81.5	1.8294
1	0.1	81.9	1.8293
1	0.1	82.4	1.8356
1	0.1	82.9	1.8388
1	0.1	83.4	1.8421
1	0.1	83.9	1.8454
1	0.1	84.5	1.8454
1	0.1	85	1.8553
1	0.1	85.5	1.8585
1	0.1	85.9	1.862
1	0.1	86.3	1.8723
1	0.1	86.9	1.8723
1	0.1	87.2	1.8758
1	0.1	87.8	1.883
1	0.1	88.3	1.8865
1	0.1	88.9	1.8936
1	0.1	89.3	1.8973
1	0.1	90	1.901
1	0.1	90.3	1.901
1	0.1	90.6	1.9048
1	0.1	90.9	1.9011
1	0.1	91	1.9084
1	0.1	91.3	1.9086
1	0.1	91.5	1.9122
1	0.1	91.7	1.9162
1	0.1	92.4	1.9199
1	0.1	92.8	1.9277
1	0.1	93	1.9238
1	0.1	93.7	1.9316
1	0.1	94.2	1.9357
1	0.1	94.7	1.9356
1	0.1	95	1.9356
1	0.1	95.6	1.9437
1	0.1	96.2	1.9478
1	0.1	96.7	1.9478
1	0.1	97.2	1.9561
1	0.1	97.3	1.9518
1	0.1	98	1.9518
1	0.1	98.6	1.956
1	0.1	99	1.9519
1	0.1	99.5	1.9476
1	0.1	99.8	1.9476
1	0.1	100.1	1.9517
1	0.1	100.3	1.9517
1	0.1	100.5	1.9517
4	0.5	29.7	1.3494
4	0.5	30.1	1.3494
4	0.5	30.6	1.3526
4	0.5	31.1	1.3526
4	0.5	31.6	1.3546
4	0.5	32.1	1.3558
4	0.5	32.5	1.3568
4	0.5	33	1.3579
4	0.5	33.9	1.3611
4	0.5	34.5	1.3611
4	0.5	35	1.3633
4	0.5	35.5	1.3644
4	0.5	36	1.3665
4	0.5	36.4	1.3676
4	0.5	36.9	1.3699
4	0.5	37.4	1.3708
4	0.5	37.9	1.372
4	0.5	38.4	1.3731
4	0.5	38.9	1.3754
4	0.5	39.5	1.3765
4	0.5	39.9	1.3775
4	0.5	40.4	1.3798
4	0.5	40.9	1.382
4	0.5	41.4	1.3821
4	0.5	41.9	1.3843
4	0.5	42.4	1.3855
4	0.5	42.9	1.3889
4	0.5	43.3	1.39
4	0.5	43.9	1.3924
4	0.5	44.4	1.3923
4	0.5	44.9	1.3946
4	0.5	45.4	1.397
4	0.5	45.8	1.3993
4	0.5	46.4	1.4016
4	0.5	46.9	1.4028
4	0.5	47.4	1.4064
4	0.5	47.8	1.41
4	0.5	48.3	1.4136
4	0.5	48.9	1.4147
4	0.5	49.4	1.4173
4	0.5	49.8	1.4222
4	0.5	50.3	1.4258
4	0.5	50.8	1.4296
4	0.5	51.3	1.4309
4	0.5	51.8	1.4347
4	0.5	52.3	1.4385
4	0.5	52.8	1.4411
4	0.5	53.3	1.4463
4	0.5	53.8	1.4502
4	0.5	54.3	1.4542
4	0.5	54.7	1.4581
4	0.5	55.3	1.4636
4	0.5	55.7	1.4677
4	0.5	56.2	1.4705
4	0.5	56.8	1.476
4	0.5	57.3	1.483
4	0.5	57.7	1.4874
4	0.5	58.3	1.4917
4	0.5	58.8	1.4991
4	0.5	59.2	1.5066
4	0.5	59.7	1.511
4	0.5	60.2	1.5172
4	0.5	60.7	1.5218
4	0.5	61.2	1.5297
4	0.5	61.7	1.5377
4	0.5	62.2	1.5442
4	0.5	62.7	1.5524
4	0.5	63.2	1.5591
4	0.5	63.7	1.5659
4	0.5	64.2	1.5746
4	0.5	64.7	1.5799
