Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap25s Melt 3 10807.dux
Date Acquired:,,,"October 08, 2007 4:45 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
29.7000,,0.0000,,0.3989,,0.4869,,0.2250
30.1000,,0.0000,,0.3996,,0.4876,,0.2252
30.6000,,0.0001,,0.4000,,0.4878,,0.2256
31.1000,,0.0000,,0.4008,,0.4885,,0.2259
31.6000,,0.0001,,0.4015,,0.4890,,0.2260
32.1000,,0.0001,,0.4023,,0.4893,,0.2263
32.5000,,0.0000,,0.4032,,0.4898,,0.2265
33.0000,,0.0000,,0.4039,,0.4904,,0.2267
33.5000,,0.0001,,0.4046,,0.4905,,0.2270
33.9000,,0.0000,,0.4057,,0.4911,,0.2273
34.5000,,-0.0000,,0.4066,,0.4918,,0.2276
34.9000,,0.0001,,0.4072,,0.4922,,0.2278
35.5000,,0.0001,,0.4079,,0.4929,,0.2280
35.9000,,0.0001,,0.4087,,0.4933,,0.2281
36.4000,,0.0001,,0.4092,,0.4936,,0.2285
36.9000,,0.0001,,0.4098,,0.4944,,0.2288
37.4000,,0.0001,,0.4102,,0.4946,,0.2290
37.9000,,0.0001,,0.4106,,0.4953,,0.2291
38.4000,,0.0000,,0.4112,,0.4959,,0.2296
38.9000,,0.0000,,0.4116,,0.4965,,0.2298
39.4000,,0.0000,,0.4123,,0.4971,,0.2302
39.9000,,0.0000,,0.4127,,0.4977,,0.2304
40.4000,,0.0000,,0.4134,,0.4983,,0.2309
40.8000,,0.0001,,0.4138,,0.4988,,0.2309
41.4000,,0.0000,,0.4146,,0.4993,,0.2314
41.9000,,0.0000,,0.4152,,0.5006,,0.2318
42.4000,,0.0000,,0.4159,,0.5009,,0.2322
42.9000,,0.0002,,0.4165,,0.5017,,0.2323
43.3000,,0.0000,,0.4173,,0.5026,,0.2328
43.8000,,0.0000,,0.4180,,0.5035,,0.2331
44.3000,,0.0001,,0.4187,,0.5046,,0.2337
44.8000,,0.0000,,0.4195,,0.5053,,0.2340
45.3000,,0.0001,,0.4200,,0.5060,,0.2343
45.8000,,0.0001,,0.4211,,0.5067,,0.2347
46.3000,,0.0000,,0.4220,,0.5079,,0.2353
46.8000,,0.0000,,0.4227,,0.5086,,0.2357
47.3000,,0.0000,,0.4238,,0.5093,,0.2362
47.8000,,-0.0001,,0.4246,,0.5104,,0.2368
48.3000,,0.0000,,0.4255,,0.5115,,0.2371
