Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 2 022007.dux
Date Acquired:,,,"February 20, 2007 10:45 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
30.7000,,0.0001,,0.8308,,1.1473,,0.4799
30.6000,,0.0000,,0.8308,,1.1495,,0.4815
31.1000,,0.0001,,0.8334,,1.1522,,0.4820
31.6000,,0.0001,,0.8363,,1.1561,,0.4832
32.1000,,0.0001,,0.8395,,1.1600,,0.4842
32.5000,,0.0000,,0.8417,,1.1623,,0.4854
32.9000,,0.0001,,0.8438,,1.1662,,0.4860
33.4000,,0.0002,,0.8462,,1.1690,,0.4870
33.9000,,0.0001,,0.8492,,1.1730,,0.4882
34.3000,,0.0000,,0.8515,,1.1754,,0.4891
34.8000,,0.0001,,0.8545,,1.1789,,0.4899
35.3000,,0.0001,,0.8573,,1.1824,,0.4909
35.8000,,0.0002,,0.8603,,1.1853,,0.4920
36.3000,,0.0001,,0.8626,,1.1883,,0.4930
36.8000,,0.0001,,0.8655,,1.1914,,0.4937
37.2000,,0.0001,,0.8677,,1.1938,,0.4947
37.8000,,0.0001,,0.8709,,1.1974,,0.4954
38.2000,,0.0001,,0.8737,,1.1998,,0.4965
38.7000,,-0.0002,,0.8764,,1.2027,,0.4975
39.2000,,-0.0003,,0.8797,,1.2058,,0.4984
39.7000,,-0.0003,,0.8820,,1.2083,,0.4992
40.2000,,-0.0002,,0.8847,,1.2108,,0.5001
40.7000,,-0.0003,,0.8868,,1.2133,,0.5008
41.2000,,-0.0003,,0.8901,,1.2172,,0.5015
41.7000,,-0.0003,,0.8928,,1.2184,,0.5024
42.2000,,-0.0002,,0.8955,,1.2216,,0.5033
42.7000,,-0.0003,,0.8980,,1.2230,,0.5043
43.1000,,-0.0003,,0.9005,,1.2275,,0.5050
43.7000,,-0.0002,,0.9038,,1.2294,,0.5057
44.1000,,-0.0002,,0.9066,,1.2307,,0.5067
44.7000,,-0.0003,,0.9091,,1.2341,,0.5072
45.2000,,-0.0002,,0.9119,,1.2354,,0.5080
45.6000,,-0.0003,,0.9146,,1.2388,,0.5093
46.1000,,-0.0003,,0.9171,,1.2395,,0.5095
46.6000,,-0.0002,,0.9189,,1.2427,,0.5104
47.1000,,-0.0002,,0.9209,,1.2455,,0.5112
47.6000,,-0.0003,,0.9225,,1.2489,,0.5118
48.1000,,-0.0002,,0.9254,,1.2496,,0.5124
