Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 3 022007.dux
Date Acquired:,,,"February 20, 2007 12:43 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
30.0000,,0.0002,,0.5428,,0.7622,,0.3130
30.5000,,0.0002,,0.5449,,0.7633,,0.3140
30.9000,,0.0002,,0.5458,,0.7657,,0.3147
31.4000,,0.0002,,0.5456,,0.7679,,0.3155
31.9000,,0.0002,,0.5457,,0.7704,,0.3162
32.4000,,0.0002,,0.5463,,0.7726,,0.3172
32.8000,,0.0002,,0.5465,,0.7746,,0.3176
33.3000,,0.0003,,0.5475,,0.7766,,0.3181
33.8000,,0.0003,,0.5485,,0.7785,,0.3188
34.3000,,0.0004,,0.5500,,0.7811,,0.3195
34.8000,,0.0003,,0.5514,,0.7828,,0.3203
35.3000,,0.0003,,0.5530,,0.7852,,0.3209
35.8000,,0.0003,,0.5545,,0.7871,,0.3214
36.2000,,0.0003,,0.5555,,0.7887,,0.3220
36.8000,,0.0003,,0.5567,,0.7907,,0.3226
37.2000,,0.0004,,0.5581,,0.7928,,0.3231
37.8000,,0.0003,,0.5593,,0.7948,,0.3235
38.3000,,0.0003,,0.5603,,0.7965,,0.3243
38.7000,,0.0003,,0.5613,,0.7985,,0.3248
39.2000,,0.0003,,0.5619,,0.8000,,0.3252
39.7000,,0.0004,,0.5623,,0.8020,,0.3256
40.2000,,0.0003,,0.5623,,0.8041,,0.3264
40.8000,,0.0004,,0.5617,,0.8049,,0.3270
41.2000,,0.0004,,0.5609,,0.8066,,0.3273
41.7000,,0.0004,,0.5608,,0.8083,,0.3277
42.2000,,0.0004,,0.5611,,0.8096,,0.3284
42.7000,,0.0004,,0.5611,,0.8114,,0.3289
43.2000,,0.0004,,0.5614,,0.8134,,0.3294
43.7000,,0.0004,,0.5632,,0.8147,,0.3301
44.2000,,0.0005,,0.5657,,0.8159,,0.3303
44.7000,,0.0004,,0.5674,,0.8172,,0.3310
45.2000,,0.0004,,0.5685,,0.8187,,0.3316
45.6000,,0.0005,,0.5695,,0.8205,,0.3318
46.2000,,0.0005,,0.5698,,0.8208,,0.3325
46.7000,,0.0004,,0.5704,,0.8226,,0.3328
47.2000,,0.0004,,0.5710,,0.8239,,0.3333
47.6000,,0.0005,,0.5724,,0.8254,,0.3337
48.2000,,0.0004,,0.5739,,0.8271,,0.3344
48.6000,,0.0005,,0.5757,,0.8275,,0.3350
