Sample,Pathlength,Temperature,Absorbance
1,0.1,30.6,1.7079
1,0.1,30.8,1.7079
1,0.1,31.2,1.7097
1,0.1,31.7,1.7117
1,0.1,32.1,1.7135
1,0.1,32.6,1.7173
1,0.1,33.0,1.7191
1,0.1,33.4,1.7209
1,0.1,33.9,1.7266
1,0.1,34.3,1.7266
1,0.1,34.8,1.7286
1,0.1,35.3,1.7323
1,0.1,35.8,1.7324
1,0.1,36.3,1.7361
1,0.1,36.7,1.7382
1,0.1,37.3,1.7421
1,0.1,37.7,1.7441
1,0.1,38.2,1.7481
1,0.1,38.7,1.7521
1,0.1,39.2,1.7541
1,0.1,39.7,1.7561
1,0.1,40.1,1.7602
1,0.1,40.6,1.7644
1,0.1,41.2,1.7686
1,0.1,41.6,1.7728
1,0.1,42.1,1.775
1,0.1,42.6,1.7813
1,0.1,43.1,1.7835
1,0.1,43.6,1.7879
1,0.1,44.1,1.7922
1,0.1,44.6,1.7989
1,0.1,45.1,1.8034
1,0.1,45.6,1.8081
1,0.1,46.1,1.815
1,0.1,46.5,1.8197
1,0.1,47.0,1.8245
1,0.1,47.6,1.8318
1,0.1,48.0,1.8342
1,0.1,48.6,1.8415
1,0.1,49.0,1.8465
1,0.1,49.5,1.8541
1,0.1,50.0,1.8592
1,0.1,50.5,1.8671
1,0.1,51.0,1.8724
1,0.1,51.5,1.8804
1,0.1,51.9,1.886
1,0.1,52.5,1.897
1,0.1,53.0,1.9056
1,0.1,53.5,1.9114
1,0.1,54.0,1.9203
1,0.1,54.4,1.9264
1,0.1,55.0,1.9355
1,0.1,55.5,1.9449
1,0.1,56.0,1.9543
1,0.1,56.4,1.964
1,0.1,57.0,1.9741
1,0.1,57.4,1.9809
1,0.1,58.0,1.9913
1,0.1,58.4,1.9984
1,0.1,59.0,2.0092
1,0.1,59.4,2.0241
1,0.1,59.9,2.0316
1,0.1,60.4,2.0433
1,0.1,61.0,2.0473
1,0.1,61.3,2.0553
1,0.1,61.9,2.0719
1,0.1,62.4,2.076
1,0.1,62.9,2.0846
1,0.1,63.4,2.0934
1,0.1,63.9,2.1024
1,0.1,64.4,2.1116
1,0.1,64.8,2.1162
1,0.1,65.4,2.1209
1,0.1,65.9,2.1338
1,0.1,66.4,2.1353
1,0.1,66.8,2.1399
1,0.1,67.3,2.1502
1,0.1,67.8,2.1571
1,0.1,68.4,2.1708
1,0.1,68.8,2.1709
1,0.1,69.3,2.1762
1,0.1,69.8,2.1816
1,0.1,70.4,2.1926
1,0.1,70.8,2.197
1,0.1,71.3,2.2038
1,0.1,71.8,2.2095
1,0.1,72.2,2.2153
1,0.1,72.8,2.2155
1,0.1,73.3,2.2334
1,0.1,73.8,2.2334
1,0.1,74.3,2.2277
1,0.1,74.8,2.2457
1,0.1,75.3,2.2456
1,0.1,75.7,2.2457
1,0.1,76.3,2.2513
1,0.1,76.8,2.2479
1,0.1,77.2,2.2559
1,0.1,77.8,2.265
1,0.1,78.2,2.263
1,0.1,78.7,2.2699
1,0.1,79.3,2.2823
1,0.1,79.7,2.2781
1,0.1,80.1,2.2818
1,0.1,80.7,2.2822
1,0.1,81.1,2.2905
1,0.1,81.7,2.2989
1,0.1,82.1,2.299
1,0.1,82.7,2.3061
1,0.1,83.2,2.3208
1,0.1,83.7,2.3168
1,0.1,84.1,2.3269
1,0.1,84.6,2.336
1,0.1,85.1,2.3413
1,0.1,85.6,2.336
1,0.1,86.1,2.3437
1,0.1,86.6,2.3439
1,0.1,87.2,2.3517
1,0.1,87.7,2.3597
1,0.1,88.2,2.3681
1,0.1,88.6,2.3598
1,0.1,89.1,2.3597
1,0.1,89.6,2.3765
1,0.1,90.1,2.3938
1,0.1,90.5,2.3929
1,0.1,91.0,2.3936
1,0.1,91.6,2.4026
1,0.1,92.1,2.4117
1,0.1,92.5,2.4118
1,0.1,93.1,2.4117
1,0.1,93.6,2.4205
1,0.1,93.9,2.4275
1,0.1,94.5,2.4174
1,0.1,94.8,2.4113
1,0.1,95.1,2.4207
1,0.1,95.7,2.4206
1,0.1,95.8,2.4204
1,0.1,96.0,2.4205
1,0.1,96.1,2.4299
1,0.1,96.6,2.4396
1,0.1,96.9,2.4394
1,0.1,97.4,2.4297
1,0.1,97.9,2.4393
1,0.1,98.5,2.4296
1,0.1,99.0,2.4296
1,0.1,99.5,2.4393
1,0.1,99.9,2.4294
1,0.1,100.4,2.4391
1,0.1,100.9,2.449
1,0.1,101.3,2.4489
1,0.1,101.6,2.459
1,0.1,102.4,2.4802
1,0.1,102.7,2.4802
1,0.1,103.1,2.4694
1,0.1,103.7,2.4693
1,0.1,104.1,2.4692
1,0.1,104.5,2.4909
1,0.1,104.7,2.4798
1,0.1,104.9,2.4907
