Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap8 Melt 1 121206.dux
Date Acquired:,,,"December 12, 2006 2:56 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,30.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
30.6000,,-0.0000,,1.7079,,1.7480,,0.6445
30.8000,,-0.0000,,1.7079,,1.7460,,0.6442
31.2000,,0.0000,,1.7097,,1.7460,,0.6448
31.7000,,-0.0001,,1.7117,,1.7521,,0.6459
32.1000,,-0.0001,,1.7135,,1.7541,,0.6469
32.6000,,-0.0001,,1.7173,,1.7562,,0.6480
33.0000,,-0.0001,,1.7191,,1.7582,,0.6486
33.4000,,0.0000,,1.7209,,1.7602,,0.6493
33.9000,,-0.0001,,1.7266,,1.7644,,0.6503
34.3000,,-0.0001,,1.7266,,1.7644,,0.6511
34.8000,,-0.0001,,1.7286,,1.7686,,0.6519
35.3000,,-0.0000,,1.7323,,1.7685,,0.6527
35.8000,,-0.0001,,1.7324,,1.7728,,0.6537
36.3000,,0.0000,,1.7361,,1.7748,,0.6547
36.7000,,-0.0001,,1.7382,,1.7770,,0.6556
37.3000,,-0.0001,,1.7421,,1.7813,,0.6569
37.7000,,-0.0000,,1.7441,,1.7835,,0.6578
38.2000,,-0.0001,,1.7481,,1.7879,,0.6588
38.7000,,-0.0001,,1.7521,,1.7879,,0.6600
39.2000,,-0.0001,,1.7541,,1.7923,,0.6613
39.7000,,-0.0000,,1.7561,,1.7967,,0.6621
40.1000,,-0.0000,,1.7602,,1.7989,,0.6631
40.6000,,-0.0001,,1.7644,,1.8012,,0.6644
41.2000,,-0.0001,,1.7686,,1.8058,,0.6659
41.6000,,-0.0001,,1.7728,,1.8104,,0.6671
42.1000,,-0.0001,,1.7750,,1.8128,,0.6683
42.6000,,0.0000,,1.7813,,1.8197,,0.6697
43.1000,,-0.0000,,1.7835,,1.8221,,0.6712
43.6000,,-0.0001,,1.7879,,1.8293,,0.6731
44.1000,,-0.0000,,1.7922,,1.8317,,0.6746
44.6000,,-0.0000,,1.7989,,1.8365,,0.6759
45.1000,,0.0000,,1.8034,,1.8439,,0.6778
45.6000,,-0.0001,,1.8081,,1.8465,,0.6794
46.1000,,-0.0000,,1.8150,,1.8515,,0.6812
46.5000,,-0.0001,,1.8197,,1.8567,,0.6835
47.0000,,-0.0001,,1.8245,,1.8645,,0.6851
47.6000,,-0.0001,,1.8318,,1.8645,,0.6874
48.0000,,-0.0001,,1.8342,,1.8698,,0.6889
