Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap8 Melt 2 121206.dux
Date Acquired:,,,"December 12, 2006 4:34 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,No
Ramp 2:,,,Yes
  Start Temperature:,,,45.0 °C
  Delay:,,,0.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,1.0 °C
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
45.9000,,-0.0001,,0.9083,,1.1049,,0.3993
45.6000,,-0.0001,,0.9113,,1.1171,,0.4048
46.6000,,-0.0000,,0.9172,,1.1239,,0.4071
47.6000,,-0.0000,,0.9240,,1.1307,,0.4095
48.6000,,-0.0001,,0.9308,,1.1373,,0.4122
49.6000,,-0.0001,,0.9375,,1.1459,,0.4148
50.6000,,-0.0001,,0.9454,,1.1542,,0.4179
51.5000,,-0.0001,,0.9529,,1.1631,,0.4208
52.5000,,-0.0003,,0.9613,,1.1713,,0.4241
53.5000,,-0.0003,,0.9687,,1.1806,,0.4274
54.5000,,-0.0003,,0.9777,,1.1902,,0.4311
55.5000,,-0.0003,,0.9872,,1.2005,,0.4347
56.4000,,-0.0003,,0.9965,,1.2099,,0.4381
57.4000,,-0.0004,,1.0062,,1.2202,,0.4419
58.5000,,-0.0004,,1.0163,,1.2306,,0.4458
59.5000,,-0.0004,,1.0267,,1.2426,,0.4497
60.4000,,-0.0005,,1.0358,,1.2517,,0.4536
61.4000,,-0.0005,,1.0442,,1.2630,,0.4572
62.4000,,-0.0007,,1.0529,,1.2726,,0.4611
63.4000,,-0.0006,,1.0612,,1.2822,,0.4645
64.4000,,-0.0006,,1.0701,,1.2914,,0.4681
65.4000,,-0.0006,,1.0783,,1.3008,,0.4712
66.4000,,-0.0007,,1.0859,,1.3097,,0.4743
67.4000,,-0.0006,,1.0930,,1.3194,,0.4770
68.4000,,-0.0007,,1.1000,,1.3288,,0.4801
69.3000,,-0.0007,,1.1060,,1.3366,,0.4826
70.4000,,-0.0007,,1.1116,,1.3422,,0.4851
71.3000,,-0.0007,,1.1173,,1.3478,,0.4875
72.2000,,-0.0007,,1.1231,,1.3552,,0.4893
73.3000,,-0.0008,,1.1276,,1.3611,,0.4917
74.2000,,-0.0007,,1.1324,,1.3678,,0.4940
75.2000,,-0.0007,,1.1368,,1.3746,,0.4955
76.1000,,-0.0006,,1.1413,,1.3806,,0.4974
77.3000,,-0.0007,,1.1459,,1.3860,,0.4994
78.2000,,-0.0005,,1.1494,,1.3940,,0.5006
79.3000,,-0.0006,,1.1530,,1.3986,,0.5022
80.1000,,-0.0006,,1.1562,,1.4032,,0.5033
81.2000,,-0.0005,,1.1603,,1.4087,,0.5049
