Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_2\HP5_4_2_147.dux
Date Acquired:,,,"April 26, 2018 12:37 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.8000,,0.0002,,1.3340,,1.8737,,0.5787
11.1000,,0.0002,,1.3360,,1.8737,,0.5796
11.6000,,0.0002,,1.3370,,1.8737,,0.5799
12.1000,,0.0003,,1.3360,,1.8771,,0.5806
12.6000,,0.0003,,1.3380,,1.8771,,0.5811
13.1000,,0.0003,,1.3390,,1.8806,,0.5822
13.5000,,0.0004,,1.3400,,1.8806,,0.5827
14.1000,,0.0006,,1.3410,,1.8841,,0.5837
14.5000,,0.0005,,1.3430,,1.8876,,0.5844
15.0000,,0.0005,,1.3430,,1.8911,,0.5853
15.5000,,0.0006,,1.3450,,1.8911,,0.5859
16.0000,,0.0006,,1.3450,,1.8983,,0.5869
16.5000,,0.0006,,1.3471,,1.8947,,0.5876
17.0000,,0.0006,,1.3491,,1.9019,,0.5885
17.5000,,0.0007,,1.3512,,1.8983,,0.5894
18.0000,,0.0006,,1.3522,,1.9019,,0.5905
18.5000,,0.0007,,1.3542,,1.9056,,0.5912
19.0000,,0.0009,,1.3574,,1.9093,,0.5921
19.5000,,0.0008,,1.3594,,1.9168,,0.5930
20.1000,,0.0007,,1.3647,,1.9168,,0.5940
20.5000,,0.0008,,1.3658,,1.9206,,0.5949
21.0000,,0.0007,,1.3690,,1.9283,,0.5957
21.5000,,0.0008,,1.3733,,1.9322,,0.5967
22.0000,,0.0009,,1.3765,,1.9361,,0.5975
22.6000,,0.0009,,1.3809,,1.9361,,0.5986
23.0000,,0.0010,,1.3842,,1.9401,,0.5995
23.6000,,0.0010,,1.3875,,1.9481,,0.6004
24.1000,,0.0010,,1.3920,,1.9481,,0.6015
24.6000,,0.0010,,1.3943,,1.9522,,0.6022
25.1000,,0.0010,,1.3989,,1.9563,,0.6031
25.6000,,0.0010,,1.4012,,1.9605,,0.6038
26.0000,,0.0009,,1.4058,,1.9647,,0.6046
26.5000,,0.0011,,1.4093,,1.9689,,0.6051
26.8000,,0.0011,,1.4105,,1.9647,,0.6055
27.3000,,0.0010,,1.4140,,1.9775,,0.6064
27.7000,,0.0009,,1.4152,,1.9775,,0.6070
28.1000,,0.0010,,1.4212,,1.9819,,0.6075
28.6000,,0.0011,,1.4212,,1.9863,,0.6083
29.1000,,0.0011,,1.4248,,1.9907,,0.6087
