Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_2\HP5_4_2_369.dux
Date Acquired:,,,"April 27, 2018 9:49 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.0000,,0.0004,,0.2833,,0.8465,,0.3319
10.2000,,0.0001,,0.2836,,0.8465,,0.3320
10.7000,,-0.0000,,0.2839,,0.8485,,0.3323
11.3000,,-0.0004,,0.2843,,0.8488,,0.3338
11.7000,,-0.0005,,0.2847,,0.8478,,0.3341
12.2000,,-0.0006,,0.2852,,0.8538,,0.3337
12.7000,,-0.0008,,0.2854,,0.8575,,0.3339
13.2000,,-0.0010,,0.2861,,0.8582,,0.3343
13.7000,,-0.0010,,0.2863,,0.8548,,0.3349
14.2000,,-0.0008,,0.2868,,0.8531,,0.3351
14.7000,,-0.0008,,0.2871,,0.8552,,0.3356
15.2000,,-0.0009,,0.2874,,0.8592,,0.3362
15.7000,,-0.0006,,0.2878,,0.8609,,0.3364
16.2000,,-0.0007,,0.2882,,0.8603,,0.3368
16.7000,,-0.0009,,0.2887,,0.8616,,0.3373
17.2000,,-0.0010,,0.2893,,0.8620,,0.3378
17.8000,,-0.0013,,0.2898,,0.8623,,0.3383
18.2000,,-0.0012,,0.2904,,0.8633,,0.3387
18.8000,,-0.0012,,0.2909,,0.8651,,0.3392
19.2000,,-0.0013,,0.2915,,0.8664,,0.3398
19.8000,,-0.0013,,0.2922,,0.8689,,0.3402
20.2000,,-0.0014,,0.2929,,0.8706,,0.3407
20.8000,,-0.0014,,0.2936,,0.8713,,0.3413
21.2000,,-0.0014,,0.2942,,0.8727,,0.3419
21.8000,,-0.0013,,0.2949,,0.8759,,0.3424
22.3000,,-0.0011,,0.2954,,0.8777,,0.3428
22.8000,,-0.0013,,0.2961,,0.8780,,0.3432
23.4000,,-0.0015,,0.2968,,0.8791,,0.3436
23.9000,,-0.0014,,0.2974,,0.8823,,0.3442
24.4000,,-0.0015,,0.2980,,0.8838,,0.3446
24.9000,,-0.0016,,0.2984,,0.8859,,0.3449
25.3000,,-0.0015,,0.2989,,0.8881,,0.3452
25.8000,,-0.0013,,0.2999,,0.8900,,0.3458
26.3000,,-0.0015,,0.3003,,0.8903,,0.3461
26.8000,,-0.0014,,0.3010,,0.8922,,0.3466
27.3000,,-0.0009,,0.3015,,0.8940,,0.3470
27.7000,,-0.0014,,0.3021,,0.8966,,0.3471
