Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_2\HP5_4_2_3'6'9'.dux
Date Acquired:,,,"April 27, 2018 1:01 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.4000,,0.0000,,0.1886,,0.4677,,0.2461
10.7000,,0.0000,,0.1886,,0.4674,,0.2463
11.2000,,0.0000,,0.1887,,0.4678,,0.2464
11.7000,,0.0000,,0.1889,,0.4682,,0.2465
12.2000,,0.0000,,0.1890,,0.4684,,0.2467
12.7000,,0.0000,,0.1891,,0.4685,,0.2471
13.2000,,0.0000,,0.1892,,0.4692,,0.2472
13.7000,,0.0001,,0.1894,,0.4696,,0.2475
14.2000,,0.0000,,0.1896,,0.4699,,0.2475
14.7000,,0.0001,,0.1897,,0.4703,,0.2476
15.2000,,0.0001,,0.1898,,0.4708,,0.2480
15.7000,,0.0002,,0.1901,,0.4712,,0.2484
16.2000,,0.0001,,0.1902,,0.4718,,0.2487
16.7000,,0.0000,,0.1903,,0.4723,,0.2489
17.2000,,0.0001,,0.1905,,0.4730,,0.2493
17.7000,,0.0002,,0.1908,,0.4734,,0.2494
18.3000,,0.0001,,0.1911,,0.4740,,0.2498
18.7000,,0.0001,,0.1914,,0.4747,,0.2502
19.3000,,0.0001,,0.1917,,0.4754,,0.2506
19.8000,,0.0002,,0.1919,,0.4756,,0.2507
20.3000,,0.0001,,0.1922,,0.4766,,0.2512
20.8000,,0.0003,,0.1925,,0.4777,,0.2515
21.3000,,0.0002,,0.1927,,0.4783,,0.2516
21.8000,,0.0001,,0.1928,,0.4788,,0.2519
22.3000,,0.0002,,0.1932,,0.4795,,0.2522
22.8000,,0.0003,,0.1935,,0.4799,,0.2524
23.3000,,0.0002,,0.1939,,0.4799,,0.2527
23.8000,,0.0002,,0.1943,,0.4799,,0.2529
24.3000,,0.0003,,0.1945,,0.4802,,0.2533
24.9000,,0.0003,,0.1947,,0.4806,,0.2534
25.3000,,0.0001,,0.1950,,0.4811,,0.2536
25.8000,,0.0002,,0.1953,,0.4811,,0.2539
26.2000,,0.0002,,0.1953,,0.4812,,0.2541
26.6000,,0.0002,,0.1956,,0.4812,,0.2542
27.1000,,0.0002,,0.1959,,0.4813,,0.2544
27.6000,,0.0001,,0.1962,,0.4816,,0.2548
28.0000,,0.0001,,0.1964,,0.4820,,0.2548
28.4000,,0.0002,,0.1968,,0.4823,,0.2548
28.9000,,0.0003,,0.1970,,0.4826,,0.2550
