Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8003356
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Current Members-Red UV\Sharear\HP5_4_4\HP5_4_4_258.dux
Date Acquired:,,,"April 18, 2018 9:44 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.2000,,0.0001,,0.3816,,0.5489,,0.3866
10.5000,,0.0006,,0.3822,,0.5491,,0.3868
11.0000,,0.0007,,0.3829,,0.5493,,0.3875
11.5000,,0.0009,,0.3832,,0.5496,,0.3880
12.0000,,0.0008,,0.3838,,0.5501,,0.3879
12.5000,,0.0009,,0.3844,,0.5504,,0.3883
13.0000,,0.0009,,0.3849,,0.5508,,0.3885
13.5000,,0.0009,,0.3854,,0.5512,,0.3884
14.0000,,0.0009,,0.3859,,0.5517,,0.3889
14.5000,,0.0009,,0.3866,,0.5521,,0.3892
15.0000,,0.0010,,0.3872,,0.5531,,0.3893
15.5000,,0.0009,,0.3878,,0.5536,,0.3898
16.0000,,0.0010,,0.3886,,0.5545,,0.3905
16.5000,,0.0008,,0.3893,,0.5556,,0.3913
17.0000,,0.0009,,0.3901,,0.5567,,0.3918
17.5000,,0.0008,,0.3910,,0.5579,,0.3922
18.1000,,0.0008,,0.3919,,0.5590,,0.3927
18.6000,,0.0007,,0.3928,,0.5601,,0.3931
19.1000,,0.0007,,0.3935,,0.5614,,0.3937
19.6000,,0.0007,,0.3944,,0.5624,,0.3944
20.1000,,0.0006,,0.3952,,0.5634,,0.3949
20.6000,,0.0008,,0.3959,,0.5645,,0.3956
21.1000,,0.0009,,0.3968,,0.5653,,0.3960
21.6000,,0.0009,,0.3976,,0.5665,,0.3965
22.1000,,0.0007,,0.3984,,0.5672,,0.3969
22.6000,,0.0006,,0.3991,,0.5684,,0.3974
23.1000,,0.0007,,0.4000,,0.5691,,0.3977
23.7000,,0.0004,,0.4006,,0.5700,,0.3983
24.1000,,0.0003,,0.4016,,0.5713,,0.3986
24.7000,,0.0002,,0.4024,,0.5721,,0.3991
25.1000,,0.0005,,0.4031,,0.5730,,0.3994
25.6000,,0.0003,,0.4039,,0.5735,,0.3997
26.0000,,0.0004,,0.4046,,0.5742,,0.4001
26.5000,,0.0005,,0.4053,,0.5748,,0.4004
26.9000,,0.0003,,0.4058,,0.5752,,0.4004
27.4000,,0.0003,,0.4066,,0.5761,,0.4008
27.9000,,0.0004,,0.4073,,0.5769,,0.4011
28.4000,,0.0004,,0.4079,,0.5781,,0.4015
