Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8003356
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Current Members-Red UV\Sharear\HP5_4_4\HP5_4_4_369.dux
Date Acquired:,,,"April 18, 2018 12:13 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.6000,,-0.0000,,0.2188,,0.3502,,0.2638
10.9000,,-0.0002,,0.2188,,0.3502,,0.2639
11.5000,,-0.0002,,0.2188,,0.3502,,0.2641
11.9000,,-0.0002,,0.2188,,0.3504,,0.2641
12.5000,,-0.0003,,0.2187,,0.3502,,0.2642
12.9000,,-0.0003,,0.2188,,0.3499,,0.2642
13.5000,,-0.0003,,0.2188,,0.3496,,0.2644
14.0000,,-0.0005,,0.2190,,0.3494,,0.2648
14.5000,,-0.0004,,0.2192,,0.3490,,0.2651
15.0000,,-0.0005,,0.2194,,0.3490,,0.2654
15.5000,,-0.0004,,0.2197,,0.3490,,0.2657
16.0000,,-0.0004,,0.2200,,0.3490,,0.2658
16.5000,,-0.0005,,0.2206,,0.3493,,0.2662
17.0000,,-0.0005,,0.2208,,0.3496,,0.2661
17.5000,,-0.0006,,0.2211,,0.3501,,0.2664
18.0000,,-0.0005,,0.2215,,0.3504,,0.2666
18.5000,,-0.0005,,0.2220,,0.3507,,0.2669
19.0000,,-0.0005,,0.2222,,0.3512,,0.2672
19.5000,,-0.0006,,0.2227,,0.3515,,0.2677
20.1000,,-0.0005,,0.2230,,0.3519,,0.2679
20.5000,,-0.0004,,0.2233,,0.3524,,0.2683
21.1000,,-0.0004,,0.2235,,0.3528,,0.2685
21.6000,,-0.0005,,0.2240,,0.3532,,0.2686
22.1000,,-0.0006,,0.2241,,0.3538,,0.2689
22.6000,,-0.0005,,0.2245,,0.3541,,0.2693
23.1000,,-0.0005,,0.2247,,0.3547,,0.2696
23.6000,,-0.0008,,0.2249,,0.3554,,0.2698
24.1000,,-0.0008,,0.2252,,0.3557,,0.2699
24.6000,,-0.0007,,0.2254,,0.3562,,0.2702
25.1000,,-0.0008,,0.2257,,0.3565,,0.2705
25.7000,,-0.0008,,0.2259,,0.3568,,0.2706
26.1000,,-0.0009,,0.2262,,0.3569,,0.2708
26.5000,,-0.0010,,0.2266,,0.3576,,0.2711
27.0000,,-0.0010,,0.2269,,0.3582,,0.2713
27.4000,,-0.0010,,0.2271,,0.3587,,0.2715
27.8000,,-0.0011,,0.2273,,0.3594,,0.2716
28.2000,,-0.0010,,0.2275,,0.3597,,0.2717
