Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8003356
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Current Members-Red UV\Sharear\HP5_4_4\HP5_4_4_3'6'9'.dux
Date Acquired:,,,"April 18, 2018 2:54 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,No
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.8000,,-0.0003,,0.1186,,0.2011,,0.1846
11.1000,,-0.0002,,0.1184,,0.2011,,0.1833
11.6000,,-0.0003,,0.1184,,0.2012,,0.1815
12.1000,,-0.0005,,0.1184,,0.2013,,0.1814
12.6000,,-0.0004,,0.1183,,0.2008,,0.1814
13.1000,,-0.0004,,0.1183,,0.2008,,0.1811
13.6000,,-0.0005,,0.1184,,0.2008,,0.1814
14.1000,,-0.0006,,0.1184,,0.2009,,0.1813
14.6000,,-0.0005,,0.1184,,0.2010,,0.1813
15.1000,,-0.0006,,0.1185,,0.2012,,0.1816
15.6000,,-0.0006,,0.1186,,0.2012,,0.1813
16.1000,,-0.0006,,0.1186,,0.2014,,0.1815
16.6000,,-0.0007,,0.1187,,0.2016,,0.1816
17.1000,,-0.0007,,0.1188,,0.2018,,0.1817
17.6000,,-0.0007,,0.1191,,0.2021,,0.1820
18.1000,,-0.0006,,0.1191,,0.2023,,0.1822
18.6000,,-0.0008,,0.1194,,0.2024,,0.1823
19.2000,,-0.0007,,0.1195,,0.2028,,0.1827
19.6000,,-0.0007,,0.1195,,0.2029,,0.1829
20.2000,,-0.0006,,0.1196,,0.2032,,0.1835
20.7000,,-0.0006,,0.1197,,0.2035,,0.1835
21.2000,,-0.0007,,0.1200,,0.2036,,0.1836
21.7000,,-0.0007,,0.1200,,0.2039,,0.1840
22.2000,,-0.0009,,0.1201,,0.2040,,0.1841
22.7000,,-0.0009,,0.1201,,0.2042,,0.1841
23.2000,,-0.0009,,0.1203,,0.2045,,0.1841
23.7000,,-0.0010,,0.1203,,0.2046,,0.1843
24.2000,,-0.0010,,0.1204,,0.2048,,0.1844
24.7000,,-0.0010,,0.1205,,0.2050,,0.1845
25.2000,,-0.0011,,0.1204,,0.2052,,0.1846
25.7000,,-0.0011,,0.1205,,0.2054,,0.1847
26.2000,,-0.0012,,0.1208,,0.2055,,0.1851
26.6000,,-0.0011,,0.1207,,0.2057,,0.1853
27.0000,,-0.0012,,0.1208,,0.2057,,0.1853
27.5000,,-0.0013,,0.1209,,0.2059,,0.1853
27.9000,,-0.0014,,0.1208,,0.2060,,0.1853
28.3000,,-0.0014,,0.1210,,0.2062,,0.1855
