Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_9\HP5_4_9_147.dux
Date Acquired:,,,"June 14, 2018 9:19 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.1000,,-0.0001,,0.5616,,0.8635,,0.2320
10.4000,,-0.0003,,0.5623,,0.8642,,0.2323
10.9000,,-0.0010,,0.5627,,0.8649,,0.2325
11.4000,,-0.0014,,0.5632,,0.8653,,0.2325
11.9000,,-0.0017,,0.5637,,0.8660,,0.2325
12.4000,,-0.0018,,0.5623,,0.8663,,0.2325
12.9000,,-0.0018,,0.5627,,0.8670,,0.2327
13.4000,,-0.0018,,0.5632,,0.8670,,0.2329
13.9000,,-0.0018,,0.5637,,0.8681,,0.2333
14.4000,,-0.0018,,0.5643,,0.8684,,0.2336
14.9000,,-0.0018,,0.5648,,0.8691,,0.2339
15.4000,,-0.0018,,0.5651,,0.8699,,0.2342
15.9000,,-0.0018,,0.5655,,0.8706,,0.2345
16.4000,,-0.0019,,0.5660,,0.8713,,0.2347
16.9000,,-0.0019,,0.5662,,0.8716,,0.2349
17.4000,,-0.0018,,0.5669,,0.8723,,0.2352
17.9000,,-0.0019,,0.5674,,0.8727,,0.2352
18.4000,,-0.0018,,0.5679,,0.8734,,0.2354
19.0000,,-0.0018,,0.5685,,0.8745,,0.2350
19.4000,,-0.0019,,0.5694,,0.8748,,0.2347
19.9000,,-0.0019,,0.5697,,0.8759,,0.2343
20.5000,,-0.0019,,0.5702,,0.8770,,0.2338
21.0000,,-0.0017,,0.5709,,0.8780,,0.2333
21.5000,,-0.0017,,0.5717,,0.8788,,0.2334
22.0000,,-0.0018,,0.5724,,0.8795,,0.2334
22.5000,,-0.0019,,0.5731,,0.8806,,0.2336
23.0000,,-0.0019,,0.5742,,0.8817,,0.2338
23.5000,,-0.0019,,0.5750,,0.8831,,0.2340
24.0000,,-0.0019,,0.5759,,0.8846,,0.2342
24.5000,,-0.0020,,0.5776,,0.8853,,0.2345
25.0000,,-0.0022,,0.5785,,0.8868,,0.2347
25.5000,,-0.0023,,0.5797,,0.8886,,0.2352
26.0000,,-0.0023,,0.5810,,0.8901,,0.2355
26.3000,,-0.0023,,0.5821,,0.8923,,0.2357
26.8000,,-0.0019,,0.5839,,0.8942,,0.2361
27.3000,,-0.0021,,0.5852,,0.8964,,0.2365
27.8000,,-0.0023,,0.5868,,0.8987,,0.2370
