Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_9\HP5_4_9_258.dux
Date Acquired:,,,"June 14, 2018 12:13 PM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.7000,,0.0028,,0.1721,,0.5821,,0.3927
10.9000,,0.0038,,0.1747,,0.5831,,0.3749
11.4000,,0.0037,,0.1724,,0.5828,,0.3017
11.9000,,0.0036,,0.1722,,0.5828,,0.2324
12.3000,,0.0031,,0.1718,,0.5831,,0.2206
12.8000,,0.0029,,0.1714,,0.5830,,0.2207
13.3000,,0.0024,,0.1711,,0.5831,,0.2208
13.8000,,0.0021,,0.1708,,0.5835,,0.2210
14.3000,,0.0016,,0.1707,,0.5835,,0.2211
14.8000,,0.0013,,0.1703,,0.5837,,0.2215
15.3000,,0.0012,,0.1704,,0.5842,,0.2217
15.8000,,0.0011,,0.1704,,0.5846,,0.2218
16.3000,,0.0011,,0.1706,,0.5851,,0.2221
16.8000,,0.0010,,0.1708,,0.5853,,0.2224
17.3000,,0.0011,,0.1709,,0.5860,,0.2228
17.8000,,0.0011,,0.1711,,0.5866,,0.2228
18.3000,,0.0012,,0.1713,,0.5871,,0.2231
18.8000,,0.0012,,0.1715,,0.5873,,0.2232
19.3000,,0.0012,,0.1717,,0.5878,,0.2234
19.8000,,0.0012,,0.1720,,0.5884,,0.2235
20.3000,,0.0012,,0.1722,,0.5891,,0.2237
20.8000,,0.0012,,0.1724,,0.5896,,0.2238
21.4000,,0.0012,,0.1726,,0.5902,,0.2240
21.8000,,0.0012,,0.1728,,0.5911,,0.2243
22.4000,,0.0012,,0.1731,,0.5916,,0.2245
22.9000,,0.0011,,0.1733,,0.5922,,0.2245
23.4000,,0.0011,,0.1736,,0.5931,,0.2248
23.9000,,0.0012,,0.1737,,0.5936,,0.2250
24.4000,,0.0012,,0.1738,,0.5946,,0.2252
24.9000,,0.0010,,0.1743,,0.5953,,0.2254
25.4000,,0.0011,,0.1746,,0.5964,,0.2256
25.8000,,0.0010,,0.1749,,0.5973,,0.2258
26.3000,,0.0009,,0.1752,,0.5982,,0.2260
26.6000,,0.0009,,0.1755,,0.5995,,0.2261
27.1000,,0.0008,,0.1760,,0.6003,,0.2264
27.5000,,0.0008,,0.1765,,0.6016,,0.2266
28.0000,,0.0007,,0.1769,,0.6029,,0.2270
28.4000,,0.0008,,0.1773,,0.6044,,0.2273
28.9000,,0.0008,,0.1778,,0.6055,,0.2275
