Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Sharear 260 280
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Sharear\HP5_4_9\HP5_4_9_3'6'9'.dux
Date Acquired:,,,"June 15, 2018 10:43 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,260.0 nm
Use of 2nd WL:,,,2nd WL
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.1000,,0.0001,,0.1873,,0.4177,,0.3833
10.4000,,0.0013,,0.1926,,0.4216,,0.4007
10.9000,,0.0003,,0.1911,,0.4208,,0.4062
11.4000,,-0.0003,,0.1821,,0.4169,,0.4021
11.9000,,-0.0005,,0.1646,,0.4120,,0.3862
12.4000,,-0.0006,,0.1567,,0.4079,,0.3142
12.9000,,-0.0008,,0.1565,,0.4065,,0.2143
13.4000,,-0.0008,,0.1565,,0.4061,,0.1994
13.9000,,-0.0011,,0.1567,,0.4061,,0.1995
14.4000,,-0.0012,,0.1567,,0.4062,,0.1995
14.9000,,-0.0012,,0.1567,,0.4064,,0.1999
15.4000,,-0.0012,,0.1568,,0.4067,,0.2001
15.9000,,-0.0011,,0.1567,,0.4068,,0.2004
16.4000,,-0.0010,,0.1568,,0.4070,,0.2004
16.9000,,-0.0011,,0.1569,,0.4072,,0.2007
17.4000,,-0.0011,,0.1570,,0.4072,,0.2007
17.9000,,-0.0011,,0.1571,,0.4075,,0.2010
18.4000,,-0.0010,,0.1573,,0.4076,,0.2010
19.0000,,-0.0010,,0.1574,,0.4079,,0.2011
19.4000,,-0.0009,,0.1574,,0.4082,,0.2013
20.0000,,-0.0008,,0.1575,,0.4085,,0.2014
20.4000,,-0.0006,,0.1576,,0.4090,,0.2016
21.0000,,-0.0000,,0.1578,,0.4094,,0.2019
21.5000,,0.0001,,0.1579,,0.4098,,0.2019
22.0000,,0.0001,,0.1580,,0.4102,,0.2022
22.5000,,0.0007,,0.1582,,0.4105,,0.2023
23.0000,,0.0009,,0.1584,,0.4108,,0.2025
23.5000,,0.0011,,0.1585,,0.4111,,0.2026
24.0000,,0.0015,,0.1587,,0.4115,,0.2026
24.5000,,0.0019,,0.1588,,0.4121,,0.2028
25.0000,,0.0026,,0.1589,,0.4127,,0.2031
25.5000,,0.0027,,0.1594,,0.4131,,0.2033
25.9000,,0.0033,,0.1595,,0.4136,,0.2037
26.4000,,0.0037,,0.1596,,0.4140,,0.2039
26.8000,,0.0041,,0.1598,,0.4147,,0.2036
27.3000,,0.0046,,0.1601,,0.4150,,0.2039
27.8000,,0.0053,,0.1605,,0.4158,,0.2041
28.3000,,0.0058,,0.1609,,0.4166,,0.2042
