Sample,Temperature,Absorbance,Pathlength
1,4.78,0.004394531,1
1,5.5,-0.000579834,1
1,6.03,0.000778,1
1,6.52,0.001037598,1
1,7.03,0.001068115,1
1,7.53,0.001678467,1
1,8.02,0.001800537,1
1,8.54,0.00175,1
1,9.04,0.000992,1
1,9.54,0.00145,1
1,10.04,0.00112915,1
1,10.55,0.00087,1
1,11.05,0.001525879,1
1,11.55,0.000946045,1
1,12.06,0.0009,1
1,12.56,0.00154,1
1,13.06,0.00136,1
1,13.56,0.000823975,1
1,14.07,0.000640869,1
1,14.57,0.000671387,1
1,15.07,0.000579834,1
1,15.58,0.000717,1
1,16.08,0.000762939,1
1,16.58,0.001434326,1
1,17.09,0.000992,1
1,17.6,0.00127,1
1,18.11,0.000946045,1
1,18.61,0.000992,1
1,19.12,0.00088501,1
1,19.63,0.000823975,1
1,20.13,0.00127,1
1,20.68,0.000595,1
1,21.16,0.000854492,1
1,21.67,0.000687,1
1,22.16,0.000976563,1
1,22.65,0.001403809,1
1,23.16,0.001037598,1
1,23.65,0.000732422,1
1,24.14,0.0009,1
1,24.64,0.000762939,1
1,25.14,0.00127,1
1,25.63,0.001251221,1
1,26.12,0.001983643,1
1,26.64,0.00127,1
1,27.19,0.000992,1
1,27.68,0.0013,1
1,28.19,0.00112915,1
1,28.66,0.001525879,1
1,29.16,0.001678467,1
1,29.67,0.00172,1
1,30.16,0.001861572,1
1,30.66,0.001525879,1
1,31.16,0.00166,1
1,31.66,0.001403809,1
1,32.16,0.0023,1
1,32.67,0.002258301,1
1,33.17,0.00166,1
1,33.67,0.00172,1
1,34.17,0.001953125,1
1,34.67,0.00145,1
1,35.17,0.002166748,1
1,35.68,0.001708984,1
1,36.18,0.0013,1
1,36.68,0.001525879,1
1,37.18,0.00177002,1
1,37.69,0.00157,1
1,38.19,0.001586914,1
1,38.69,0.00172,1
1,39.2,0.00154,1
1,39.7,0.00172,1
1,40.19,0.00185,1
1,40.7,0.00221,1
1,41.2,0.00188,1
1,41.7,0.002319336,1
1,42.21,0.00212,1
1,42.71,0.00185,1
1,43.21,0.00233,1
1,43.72,0.001831055,1
1,44.2,0.001617432,1
1,44.71,0.00172,1
1,45.23,0.00117,1
1,45.72,0.001373291,1
1,46.22,0.001800537,1
1,46.73,0.001190186,1
1,47.23,0.000823975,1
1,47.96,0.00243,1
1,48.7,0.000443,1
1,49.22,0.000823975,1
1,49.74,-0.000107,1
1,50.23,0.000762939,1
1,50.73,0.000595,1
1,51.22,0.000549316,1
1,51.74,0.000412,1
1,52.23,0.00088501,1
1,52.75,0.000610352,1
1,53.23,0.000809,1
1,53.74,0.000732422,1
1,54.24,0.000610352,1
1,54.74,0.000732422,1
1,55.25,0.000854492,1
1,55.75,0.00088501,1
1,56.25,0.00154,1
1,56.76,0.000579834,1
1,57.24,0.001312256,1
1,57.76,0.00124,1
1,58.26,0.001190186,1
1,58.75,0.00166,1
1,59.24,0.001464844,1
1,59.76,0.00157,1
1,60.26,0.00175,1
1,60.77,0.00201416,1
1,61.27,0.001861572,1
1,61.78,0.002,1
1,62.28,0.002166748,1
1,62.78,0.00243,1
1,63.27,0.002410889,1
1,63.78,0.002624512,1
1,64.29,0.00215,1
1,64.79,0.00243,1
1,65.28,0.002807617,1
1,65.8,0.00233,1
1,66.28,0.003234863,1
1,66.79,0.002960205,1
1,67.3,0.003814697,1
1,67.8,0.003417969,1
1,68.3,0.00325,1
1,68.81,0.00322,1
1,69.31,0.00368,1
1,69.82,0.00453,1
1,70.32,0.003875732,1
1,70.8,0.00432,1
1,71.32,0.00426,1
1,71.82,0.004089355,1
1,72.33,0.0049,1
1,72.82,0.00491333,1
1,73.33,0.00471,1
1,73.82,0.00526,1
1,74.33,0.005371094,1
1,74.83,0.004943848,1
1,75.34,0.005737305,1
1,75.83,0.00584,1
1,76.34,0.006,1
1,76.84,0.005554199,1
1,77.35,0.00645,1
1,77.84,0.006286621,1
1,78.34,0.00645,1
1,78.85,0.00597,1
1,79.35,0.00680542,1
1,79.85,0.00722,1
1,80.35,0.006896973,1
1,80.85,0.00691,1
1,81.36,0.007171631,1
1,81.86,0.00774,1
1,82.36,0.007537842,1
1,82.86,0.007537842,1
1,83.37,0.00768,1
1,83.86,0.008544922,1
1,84.37,0.008483887,1
1,84.88,0.008453369,1
1,85.37,0.00862,1
1,85.87,0.00984,1
1,86.38,0.00958252,1
1,86.89,0.0088,1
1,87.38,0.00969,1
1,87.89,0.0102,1
1,88.39,0.01,1
1,88.89,0.0107,1
1,89.39,0.010314941,1
1,89.89,0.010253906,1
1,90.4,0.010925293,1
1,90.9,0.0112,1
1,91.4,0.011322021,1
1,91.9,0.0119,1
1,92.4,0.0116,1
1,92.91,0.012084961,1
1,93.41,0.013153076,1
1,93.91,0.0122,1
1,94.41,0.012634277,1
1,94.91,0.01361084,1
1,95.42,0.013916016,1
2,4.77,0.272323608,1
2,5.5,0.271255493,1
