Sample,Temperature,Absorbance,Pathlength
2,4.99,0.182018887,1
2,5.52,0.181030522,1
2,6.01,0.181289369,1
2,6.51,0.181093276,1
2,7.03,0.181137334,1
2,7.53,0.180831909,1
2,8.03,0.180999755,1
2,8.53,0.181533813,1
2,9.03,0.180847168,1
2,9.55,0.18147543,1
2,10.04,0.181198121,1
2,10.55,0.181152343,1
2,11.05,0.181093276,1
2,11.55,0.181685264,1
2,12.06,0.18133545,1
2,12.56,0.180828535,1
2,13.06,0.180252075,1
2,13.56,0.180469736,1
2,14.07,0.181015015,1
2,14.57,0.181895781,1
2,15.08,0.18057251,1
2,15.58,0.180969238,1
2,16.09,0.181412676,1
2,16.59,0.181565264,1
2,17.09,0.181575347,1
2,17.6,0.18157959,1
2,18.09,0.181804746,1
2,18.6,0.180938721,1
2,19.11,0.181838989,1
2,19.61,0.182114229,1
2,20.12,0.181716919,1
2,20.68,0.182221558,1
2,21.15,0.181900605,1
2,21.66,0.182238887,1
2,22.15,0.18144226,1
2,22.65,0.181743193,1
2,23.15,0.181549072,1
2,23.64,0.181582593,1
2,24.14,0.182159424,1
2,24.63,0.182601929,1
2,25.13,0.182831909,1
2,25.62,0.181914146,1
2,26.13,0.183242798,1
2,26.65,0.182754517,1
2,27.19,0.183078638,1
2,27.71,0.182678223,1
2,28.19,0.18283081,1
2,28.7,0.182662963,1
2,29.19,0.182662964,1
2,29.69,0.182344497,1
2,30.18,0.183149072,1
2,30.69,0.183238555,1
2,31.18,0.182871826,1
2,31.68,0.182495118,1
2,32.18,0.183166504,1
2,32.67,0.182998657,1
2,33.17,0.183135987,1
2,33.66,0.183195366,1
2,34.17,0.183319092,1
2,34.69,0.182969072,1
2,35.18,0.18349166,1
2,35.69,0.183352612,1
2,36.18,0.183808823,1
2,36.68,0.183151245,1
2,37.19,0.183059692,1
2,37.69,0.183563233,1
2,38.2,0.184585571,1
2,38.7,0.18423021,1
2,39.2,0.183926753,1
2,39.7,0.184276504,1
2,40.21,0.184203999,1
2,40.7,0.1847229,1
2,41.2,0.18394667,1
2,41.71,0.184738159,1
2,42.21,0.184600597,1
2,42.72,0.184782798,1
2,43.22,0.185092632,1
2,43.72,0.185626689,1
2,44.23,0.185759878,1
2,44.72,0.186006606,1
2,45.23,0.186397476,1
2,45.73,0.186798095,1
2,46.23,0.187240601,1
2,46.73,0.188522339,1
2,47.24,0.187835694,1
2,47.96,0.184936523,1
2,48.72,0.18882793,1
2,49.25,0.189395776,1
2,49.74,0.190277163,1
2,50.24,0.18939209,1
2,50.75,0.189634058,1
2,51.25,0.190259668,1
2,51.74,0.191360473,1
2,52.23,0.188980103,1
2,52.76,0.192108154,1
