Sample,Temperature,Absorbance,Pathlength
1,4.91,0.165466309,1
1,5.49,0.164703369,1
1,6.02,0.165054321,1
1,6.51,0.165420532,1
1,7.02,0.165679932,1
1,7.51,0.165679932,1
1,8.03,0.165756226,1
1,8.54,0.165878296,1
1,9.04,0.165710449,1
1,9.54,0.166015625,1
1,10.04,0.165939331,1
1,10.55,0.166351318,1
1,11.06,0.166687012,1
1,11.55,0.166183472,1
1,12.06,0.166595459,1
1,12.56,0.166442871,1
1,13.06,0.166549683,1
1,13.56,0.166793823,1
1,14.07,0.166809082,1
1,14.57,0.166748047,1
1,15.07,0.167053223,1
1,15.58,0.16734314,1
1,16.08,0.16734314,1
1,16.58,0.167388916,1
1,17.08,0.167724609,1
1,17.59,0.167694092,1
1,18.09,0.168365479,1
1,18.6,0.168457031,1
1,19.1,0.168792725,1
1,19.61,0.168777466,1
1,20.12,0.168960571,1
1,20.66,0.169464111,1
1,21.15,0.169967651,1
1,21.65,0.169891357,1
1,22.15,0.170837402,1
1,22.64,0.171173096,1
1,23.15,0.171081543,1
1,23.64,0.171844482,1
1,24.14,0.172470093,1
1,24.63,0.172836304,1
1,25.12,0.173294067,1
1,25.63,0.17364502,1
1,26.13,0.174758911,1
1,26.65,0.174438477,1
1,27.2,0.175140381,1
1,27.7,0.175964355,1
1,28.21,0.177352905,1
1,28.71,0.177154541,1
1,29.2,0.177459717,1
1,29.71,0.178833008,1
1,30.18,0.17855835,1
1,30.68,0.179641724,1
1,31.19,0.179748535,1
1,31.69,0.180648804,1
1,32.18,0.181274414,1
1,32.67,0.181625366,1
1,33.19,0.181991577,1
1,33.69,0.182601929,1
1,34.18,0.183258057,1
1,34.69,0.183944702,1
1,35.19,0.184280396,1
1,35.68,0.184967041,1
1,36.19,0.18548584,1
1,36.69,0.186325073,1
1,37.19,0.186553955,1
1,37.7,0.186523438,1
1,38.19,0.187011719,1
1,38.7,0.187469482,1
1,39.2,0.187728882,1
1,39.72,0.188049316,1
1,40.22,0.188217163,1
1,40.71,0.188674927,1
1,41.22,0.189285278,1
1,41.71,0.189498901,1
1,42.22,0.189407349,1
1,42.72,0.189834595,1
1,43.22,0.190093994,1
1,43.73,0.190429688,1
1,44.23,0.190551758,1
1,44.73,0.19078064,1
1,45.23,0.191009521,1
1,45.73,0.191619873,1
1,46.23,0.190750122,1
1,46.72,0.191436768,1
1,47.23,0.191375732,1
1,47.96,0.19128418,1
1,48.71,0.191970825,1
1,49.24,0.192077637,1
1,49.74,0.193023682,1
