Sample,Temperature,Absorbance,Pathlength
3,4.98,0.390501538,1
3,5.49,0.390425371,1
3,6,0.390454688,1
3,6.5,0.390074087,1
3,7.01,0.39125061,1
3,7.51,0.391448745,1
3,8.02,0.390396118,1
3,8.52,0.391039863,1
3,9.02,0.391589863,1
3,9.51,0.391662597,1
3,10.03,0.390731812,1
3,10.53,0.390853882,1
3,11.04,0.390825723,1
3,11.54,0.391311646,1
3,12.05,0.390792847,1
3,12.54,0.391523486,1
3,13.05,0.3904921,1
3,13.55,0.391315205,1
3,14.06,0.391032969,1
3,14.56,0.389598643,1
3,15.06,0.391220093,1
3,15.56,0.390945434,1
3,16.06,0.390609741,1
3,16.57,0.390567876,1
3,17.07,0.391145806,1
3,17.58,0.391082764,1
3,18.07,0.391036987,1
3,18.58,0.391084771,1
3,19.09,0.391067505,1
3,19.59,0.390456924,1
3,20.1,0.389820195,1
3,20.65,0.390660112,1
3,21.13,0.389940029,1
3,21.63,0.390106201,1
3,22.13,0.390568042,1
3,22.62,0.390518188,1
3,23.13,0.38999939,1
3,23.63,0.390075683,1
3,24.12,0.38885498,1
3,24.62,0.38923645,1
3,25.11,0.389109512,1
3,25.61,0.389678955,1
3,26.1,0.389923096,1
3,26.68,0.389175415,1
3,27.19,0.388735288,1
3,27.68,0.388839722,1
3,28.19,0.389816284,1
3,28.7,0.389798745,1
3,29.19,0.38952564,1
3,29.7,0.390975908,1
3,30.19,0.391418457,1
3,30.68,0.391216426,1
3,31.18,0.390443921,1
3,31.68,0.390350342,1
3,32.18,0.39189148,1
3,32.67,0.391418457,1
3,33.18,0.392460835,1
3,33.67,0.392074893,1
3,34.16,0.392317646,1
3,34.67,0.393993525,1
3,35.18,0.393313257,1
3,35.68,0.393474727,1
3,36.17,0.393795161,1
3,36.68,0.393920899,1
3,37.18,0.39567665,1
3,37.69,0.395809155,1
3,38.19,0.395797729,1
3,38.69,0.397486753,1
3,39.19,0.396422095,1
3,39.7,0.396273481,1
3,40.2,0.397415161,1
3,40.7,0.39813729,1
3,41.2,0.400238037,1
3,41.7,0.401138305,1
3,42.21,0.400868096,1
3,42.7,0.40184021,1
3,43.22,0.40461731,1
3,43.72,0.405105591,1
3,44.22,0.406402588,1
3,44.72,0.406692505,1
3,45.22,0.408508301,1
3,45.71,0.408173267,1
3,46.23,0.40939331,1
3,46.72,0.410565625,1
3,47.22,0.410995483,1
3,47.96,0.415179141,1
3,48.72,0.414779663,1
3,49.24,0.418244937,1
3,49.73,0.417329595,1
3,50.24,0.419124956,1
3,50.75,0.421936035,1
3,51.24,0.423794146,1
3,51.75,0.424336299,1
3,52.25,0.426286318,1
3,52.75,0.428741455,1
3,53.26,0.427764536,1
3,53.76,0.430435181,1
3,54.25,0.432465278,1
3,54.75,0.431182862,1
3,55.25,0.433319092,1
3,55.77,0.436350742,1
3,56.26,0.437361279,1
3,56.75,0.435775757,1
3,57.27,0.439178467,1
3,57.77,0.440063476,1
3,58.26,0.43943666,1
3,58.76,0.439525293,1
3,59.26,0.441970469,1
3,59.77,0.441661855,1
3,60.25,0.44262229,1
3,60.76,0.443682744,1
3,61.27,0.442718506,1
3,61.78,0.442232827,1
3,62.27,0.443588257,1
3,62.78,0.444334565,1
3,63.28,0.444056636,1
3,63.77,0.444825083,1
3,64.28,0.445281982,1
